Rid;status;fecha_dictamen
340;rechazado;2002-01-13
342;aprobado;2018-05-25
343;rechazado;2018-02-11
344;aprobado;2012-01-14
345;aprobado;1992-10-27
346;rechazado;2018-10-07
347;rechazado;2018-01-22
349;rechazado;2011-10-22
350;rechazado;2017-05-15
351;aprobado;2017-03-12
353;rechazado;2017-04-11
354;rechazado;1997-08-11
355;rechazado;2009-06-10
356;aprobado;2017-07-08
359;rechazado;2013-04-20
361;rechazado;2015-09-17
364;rechazado;2009-05-11
365;aprobado;1995-08-07
367;rechazado;2019-04-04
368;aprobado;2016-06-16
370;aprobado;2013-12-03
371;aprobado;2011-02-07
373;aprobado;2009-05-15
374;rechazado;2018-11-15
375;rechazado;1980-01-05
376;rechazado;2016-03-06
380;rechazado;2018-05-03
381;rechazado;2019-03-11
382;aprobado;1990-06-17
385;aprobado;1999-05-10
387;rechazado;2017-07-23
388;rechazado;2018-05-02
390;aprobado;2018-09-21
391;rechazado;2008-02-17
395;aprobado;1969-12-30
397;aprobado;2009-11-26
399;aprobado;2015-12-26
400;rechazado;2016-11-23
402;rechazado;2019-08-05
403;aprobado;1985-06-15
405;aprobado;2003-05-14
406;aprobado;2007-10-20
407;rechazado;1993-03-05
409;rechazado;2019-03-04
410;aprobado;2019-02-27
412;aprobado;2016-05-08
413;aprobado;2012-12-25
414;rechazado;2015-08-29
415;aprobado;2018-03-28
418;rechazado;2017-06-08
419;aprobado;2016-04-04
420;aprobado;1996-02-15
421;aprobado;2005-03-25
422;aprobado;2014-07-31
424;rechazado;1999-05-09
425;aprobado;2013-07-25
426;aprobado;2018-07-17
427;aprobado;2014-10-31
428;rechazado;1996-01-08
430;rechazado;1997-09-19
431;rechazado;2017-05-16
432;rechazado;2011-08-19
434;rechazado;2015-01-03
436;rechazado;2016-07-06
437;aprobado;2010-08-04
439;rechazado;2006-12-01
440;rechazado;2019-02-17
441;aprobado;2012-08-10
442;aprobado;2014-08-16
444;rechazado;2011-01-03
445;rechazado;2019-01-18
446;aprobado;2019-05-16
447;rechazado;2005-03-03
448;aprobado;1994-01-27
449;rechazado;2019-05-07
450;rechazado;2014-07-12
451;rechazado;2010-11-20
452;aprobado;1995-10-27
453;rechazado;1989-07-12
455;rechazado;1996-05-05
456;rechazado;2015-05-31
457;rechazado;2015-09-14
459;aprobado;2003-11-04
460;aprobado;2013-01-12
461;rechazado;1973-03-19
462;aprobado;2004-04-10
463;rechazado;2018-08-22
464;rechazado;2017-05-12
465;aprobado;2018-06-24
466;rechazado;2018-03-07
469;aprobado;2019-08-30
471;rechazado;2019-05-04
473;rechazado;2019-01-04
474;aprobado;2010-03-24
475;rechazado;2019-06-13
477;aprobado;2015-04-01
478;aprobado;2019-05-27
482;aprobado;2007-04-17
486;aprobado;2019-04-29
487;rechazado;2019-08-23
489;rechazado;2018-03-24
490;rechazado;1998-09-27
492;rechazado;1996-07-10
493;rechazado;2015-05-27
494;aprobado;2018-07-28
495;rechazado;2018-05-08
497;aprobado;2014-07-02
498;aprobado;1999-05-20
499;aprobado;2019-02-16
501;aprobado;2016-07-23
504;rechazado;2003-07-31
506;rechazado;2011-02-24
510;rechazado;1990-11-14
511;aprobado;1994-04-11
512;aprobado;2019-02-17
513;rechazado;2017-10-04
514;aprobado;2016-08-21
515;rechazado;2018-04-30
518;rechazado;2019-07-07
521;aprobado;2016-12-08
523;rechazado;1999-01-29
525;rechazado;2006-02-25
527;rechazado;1971-02-01
528;aprobado;2014-04-23
529;aprobado;2010-10-22
530;rechazado;2017-05-01
531;rechazado;2019-08-17
532;rechazado;2009-08-26
533;aprobado;2002-04-26
536;rechazado;2016-01-27
537;aprobado;2012-03-12
540;aprobado;1997-09-07
541;aprobado;2019-04-06
542;aprobado;2004-08-25
543;rechazado;2016-09-14
544;rechazado;1993-07-10
545;aprobado;2010-01-23
546;rechazado;2008-12-02
547;rechazado;2018-04-12
549;aprobado;1994-04-03
551;rechazado;2018-12-11
552;rechazado;2017-01-09
553;rechazado;1992-01-22
554;aprobado;2007-02-21
556;rechazado;2007-10-25
557;rechazado;2009-04-12
558;rechazado;2018-12-05
560;rechazado;2016-03-14
562;aprobado;2015-01-18
563;aprobado;2012-09-16
564;aprobado;1995-07-10
565;rechazado;1985-11-01
566;rechazado;2016-01-04
567;rechazado;2019-06-29
568;rechazado;1995-11-26
569;aprobado;1982-05-12
570;rechazado;2010-06-16
572;aprobado;2015-04-27
574;rechazado;2013-05-13
575;rechazado;2006-07-03
577;rechazado;2011-03-27
579;rechazado;2019-04-12
580;rechazado;2015-06-29
582;rechazado;2015-02-05
585;aprobado;2019-04-20
586;rechazado;2008-09-24
587;aprobado;2000-01-24
588;aprobado;2007-01-26
589;aprobado;1995-02-04
590;aprobado;2008-11-24
591;aprobado;2018-07-15
592;rechazado;2014-06-16
595;aprobado;2019-08-09
596;aprobado;2018-04-11
597;rechazado;2013-10-20
598;aprobado;2013-04-26
599;aprobado;2015-08-23
600;rechazado;2011-11-14
601;rechazado;2019-08-18
602;rechazado;2013-08-21
604;rechazado;2001-09-22
605;aprobado;2016-12-08
606;aprobado;2002-06-30
607;rechazado;2018-01-12
609;rechazado;2019-06-28
610;rechazado;2019-07-03
611;rechazado;2000-05-06
612;rechazado;1996-11-13
613;rechazado;2010-06-12
614;aprobado;1994-03-16
615;rechazado;2000-01-05
616;rechazado;2011-09-22
617;rechazado;2016-03-06
619;aprobado;1985-01-07
620;rechazado;2010-12-11
622;aprobado;2017-10-30
624;aprobado;2004-07-27
625;rechazado;2011-11-24
626;aprobado;1999-06-02
627;aprobado;2009-04-25
628;rechazado;1994-10-15
629;rechazado;2014-07-02
632;aprobado;2001-06-26
633;aprobado;1984-09-25
634;aprobado;2016-05-05
635;aprobado;2017-11-25
639;aprobado;2019-03-13
641;aprobado;2019-08-27
646;rechazado;2017-12-03
647;aprobado;2018-10-14
650;aprobado;2018-12-03
653;aprobado;2018-09-22
654;rechazado;2018-08-23
657;aprobado;1999-07-27
658;rechazado;2017-10-16
659;rechazado;2019-02-06
660;aprobado;1993-09-25
661;aprobado;2010-11-16
664;rechazado;2012-01-31
665;rechazado;2002-06-30
667;rechazado;2017-10-14
668;rechazado;2018-08-26
669;aprobado;2010-05-03
670;aprobado;1995-03-23
671;aprobado;2014-12-06
672;rechazado;2019-03-02
674;aprobado;2019-04-03
675;rechazado;2012-03-11
677;aprobado;2011-04-23
678;rechazado;2019-08-20
679;aprobado;2018-12-14
680;rechazado;2011-09-06
682;aprobado;1992-11-20
685;aprobado;2019-03-31
691;aprobado;2004-09-28
692;rechazado;2016-04-30
693;aprobado;2001-07-23
694;aprobado;1997-10-18
697;rechazado;2002-05-31
699;rechazado;1975-03-09
700;aprobado;2017-07-08
701;aprobado;2018-01-30
703;rechazado;2019-08-01
705;rechazado;2000-01-01
706;rechazado;2019-05-26
707;rechazado;1998-07-01
708;rechazado;2019-08-28
709;aprobado;1995-12-21
711;rechazado;2008-08-16
712;rechazado;2018-09-08
713;rechazado;2013-06-26
714;aprobado;2018-12-29
715;aprobado;2017-10-12
716;aprobado;2017-06-24
718;rechazado;2000-10-22
719;rechazado;2013-01-08
720;aprobado;2017-02-13
722;rechazado;2015-04-02
723;rechazado;2005-12-29
724;rechazado;2007-05-16
725;rechazado;2018-04-22
726;aprobado;2004-06-25
727;aprobado;1982-05-11
728;rechazado;2019-08-06
729;aprobado;2018-09-14
730;rechazado;2018-07-30
731;rechazado;2018-09-02
733;rechazado;2010-05-20
734;aprobado;2009-05-30
735;rechazado;2013-12-25
739;rechazado;2019-05-02
740;rechazado;2018-07-21
742;rechazado;2007-08-24
743;aprobado;2012-09-24
744;aprobado;2015-12-27
745;rechazado;2014-12-26
746;rechazado;1991-03-17
747;aprobado;2017-08-21
750;aprobado;2011-07-05
753;aprobado;2019-05-24
754;aprobado;1985-09-05
755;rechazado;2007-05-16
756;aprobado;2003-10-01
757;rechazado;2017-07-28
759;aprobado;2017-02-01
761;rechazado;2019-08-11
762;rechazado;2018-03-04
763;rechazado;2000-02-06
764;rechazado;2002-05-04
766;aprobado;2015-10-17
770;rechazado;1997-08-08
774;aprobado;2019-06-01
775;rechazado;2008-06-08
776;aprobado;2012-09-03
777;aprobado;2015-06-20
778;aprobado;2019-06-27
779;rechazado;2012-02-27
783;aprobado;2017-11-03
784;rechazado;2016-07-16
786;aprobado;2019-08-11
787;aprobado;2019-06-20
789;aprobado;2009-11-20
796;aprobado;2015-05-15
797;rechazado;2019-08-24
798;rechazado;1997-02-12
799;aprobado;2019-05-08
801;rechazado;2017-02-01
804;rechazado;1982-02-08
805;rechazado;1996-08-16
808;aprobado;2018-11-30
809;rechazado;2011-01-19
810;rechazado;2017-05-31
811;rechazado;2016-04-20
812;rechazado;2019-07-08
813;rechazado;1975-02-23
815;aprobado;2006-05-28
817;aprobado;2017-03-01
819;aprobado;2017-07-28
820;aprobado;2009-12-01
821;rechazado;1999-10-25
823;aprobado;1997-06-16
824;aprobado;2018-03-13
826;aprobado;1994-09-13
829;rechazado;2016-08-07
831;rechazado;2019-08-01
832;aprobado;2016-10-06
833;aprobado;2019-07-03
834;aprobado;2017-05-06
835;aprobado;2011-01-12
836;aprobado;2003-01-03
837;aprobado;2015-11-22
838;rechazado;2014-05-25
841;rechazado;2015-04-18
842;aprobado;2014-05-16
843;aprobado;2018-06-21
844;aprobado;2018-08-08
846;rechazado;2010-01-17
848;rechazado;2019-07-02
850;rechazado;1988-05-07
851;aprobado;2016-10-04
853;rechazado;2006-12-18
854;aprobado;2016-08-04
855;rechazado;2018-08-25
856;aprobado;2019-07-25
857;rechazado;2004-06-29
858;rechazado;2011-10-03
862;rechazado;2003-12-18
864;aprobado;1990-08-10
868;aprobado;1996-07-07
869;rechazado;2008-10-03
870;rechazado;2019-04-25
871;rechazado;1995-04-25
872;rechazado;2015-12-22
874;rechazado;1991-03-08
878;rechazado;1995-07-18
879;aprobado;2017-05-14
881;rechazado;2019-04-03
883;aprobado;2016-07-03
884;aprobado;2016-06-26
885;aprobado;2019-04-03
886;aprobado;2019-02-24
888;aprobado;2013-06-03
890;rechazado;1989-06-16
891;aprobado;2009-09-17
892;aprobado;2011-08-25
893;rechazado;2018-08-14
895;rechazado;2004-12-03
896;rechazado;2014-11-11
897;rechazado;1995-01-03
900;rechazado;2019-01-05
901;rechazado;2015-02-13
902;aprobado;2014-08-14
903;aprobado;2016-03-24
904;aprobado;1976-02-06
905;rechazado;2003-10-16
906;aprobado;2017-05-23
907;aprobado;2018-10-30
908;aprobado;2014-09-21
909;rechazado;1992-02-04
911;aprobado;2017-11-23
912;rechazado;1992-01-12
913;aprobado;2012-08-29
914;aprobado;2014-01-13
915;aprobado;2012-04-19
916;aprobado;2010-02-18
918;aprobado;1985-07-23
920;rechazado;2019-04-21
922;rechazado;2006-01-18
924;aprobado;2019-05-18
925;aprobado;2014-07-07
926;aprobado;2019-07-08
927;rechazado;2019-03-23
928;aprobado;2019-07-29
930;rechazado;2018-04-07
931;rechazado;2016-11-17
932;aprobado;1987-04-08
934;rechazado;1964-09-30
935;aprobado;2018-08-15
936;aprobado;2012-06-09
937;aprobado;2014-12-15
938;aprobado;2017-07-16
941;aprobado;2015-01-27
942;rechazado;2002-10-26
943;rechazado;2009-11-08
945;aprobado;2018-11-13
948;aprobado;2019-08-07
950;aprobado;2007-04-12
953;aprobado;2012-08-01
956;rechazado;2018-08-25
957;rechazado;2018-07-27
958;rechazado;2018-07-12
959;aprobado;2016-12-14
960;rechazado;2018-11-28
961;rechazado;2015-01-27
963;rechazado;2001-03-10
964;rechazado;2019-07-03
966;aprobado;2010-11-29
967;aprobado;2018-08-02
969;aprobado;2001-03-31
970;rechazado;1981-11-07
971;aprobado;2010-07-05
972;rechazado;2011-03-02
973;rechazado;2016-10-30
975;aprobado;1990-06-29
979;aprobado;2019-04-07
981;rechazado;2016-12-31
982;aprobado;2019-04-15
983;rechazado;2010-05-28
984;aprobado;2017-06-16
985;rechazado;1980-11-15
987;rechazado;2007-04-07
988;rechazado;1996-04-14
992;aprobado;2017-03-23
996;rechazado;2009-01-20
997;rechazado;2018-09-26
998;rechazado;2019-04-16
999;rechazado;1985-01-30
1000;rechazado;2016-11-03
1005;rechazado;2011-11-14
1007;rechazado;2007-08-27
1008;rechazado;2016-07-26
1011;rechazado;2013-07-25
1012;aprobado;2019-08-10
1013;aprobado;2002-03-13
1014;aprobado;2016-11-19
1015;rechazado;2000-05-04
1016;aprobado;2017-10-09
1017;rechazado;1979-04-12
1018;aprobado;2016-03-04
1019;rechazado;2006-01-10
1021;rechazado;2009-03-27
1022;aprobado;2010-04-26
1023;rechazado;2012-08-05
1027;rechazado;2013-11-13
1028;aprobado;2005-12-22
1029;aprobado;2015-01-09
1030;rechazado;2019-03-14
1031;aprobado;1980-08-19
1034;rechazado;2015-07-31
1035;rechazado;2006-11-21
1036;aprobado;2006-12-11
1037;rechazado;2017-06-15
1038;rechazado;2019-06-22
1039;rechazado;2015-04-13
1042;rechazado;2018-10-07
1044;aprobado;2012-08-13
1046;rechazado;2015-01-29
1048;rechazado;2012-09-02
1049;aprobado;2001-05-18
1051;rechazado;2018-01-26
1052;rechazado;2005-09-02
1054;aprobado;2009-10-08
1055;aprobado;2016-08-24
1056;aprobado;2009-03-06
1057;rechazado;2017-02-22
1058;rechazado;2016-03-02
1060;rechazado;2018-10-30
1061;rechazado;2011-12-20
1063;aprobado;1993-05-23
1064;rechazado;2019-03-18
1065;rechazado;2007-12-18
1066;aprobado;2013-01-11
1067;aprobado;2016-02-12
1071;rechazado;1984-12-01
1073;rechazado;2016-06-28
1075;rechazado;2012-09-04
1076;rechazado;2017-05-20
1077;rechazado;2004-11-08
1078;aprobado;2015-01-10
1080;aprobado;2016-04-10
1081;aprobado;2018-07-10
1084;aprobado;1992-09-29
1085;rechazado;2006-01-03
1086;rechazado;2019-05-26
1089;aprobado;1999-09-19
1090;rechazado;2016-11-03
1093;aprobado;2019-06-24
1094;aprobado;2015-07-24
1096;aprobado;2018-08-24
1098;aprobado;2007-07-08
1099;aprobado;2007-11-20
1100;aprobado;2018-06-18
1101;rechazado;2017-02-13
1104;rechazado;2013-09-09
1105;rechazado;2001-05-01
1106;aprobado;1970-04-10
1107;rechazado;2017-12-08
1108;aprobado;2014-05-05
1109;aprobado;2018-11-08
1113;rechazado;2014-01-22
1114;rechazado;2014-04-29
1115;rechazado;2014-01-02
1116;aprobado;2019-08-17
1117;rechazado;2007-12-21
1118;aprobado;2011-07-23
1119;aprobado;2018-01-27
1121;rechazado;2001-07-13
1123;aprobado;1996-11-30
1126;aprobado;2012-06-13
1127;rechazado;2019-02-17
1128;rechazado;2007-05-26
1129;aprobado;1979-12-16
1130;rechazado;2019-08-04
1131;aprobado;1999-03-02
1132;rechazado;2016-06-28
1133;aprobado;2019-08-08
1134;rechazado;2019-01-07
1135;aprobado;2019-08-20
1137;aprobado;2019-08-28
1138;rechazado;2012-08-03
1139;aprobado;2000-09-04
1140;rechazado;2011-05-27
1142;aprobado;2014-09-12
1143;aprobado;2000-07-28
1145;rechazado;2018-10-30
1146;aprobado;2018-09-15
1147;rechazado;1975-12-21
1149;aprobado;2005-11-15
1150;aprobado;2017-10-08
1152;aprobado;2019-07-28
1153;rechazado;2017-11-11
1154;aprobado;2015-07-05
1155;rechazado;2019-07-15
1156;aprobado;1994-12-06
1157;rechazado;1980-02-03
1158;aprobado;2000-12-15
1159;rechazado;2000-03-30
1160;rechazado;2002-06-17
1163;aprobado;2019-08-12
1164;aprobado;1994-03-03
1167;aprobado;2016-04-07
1169;aprobado;2014-10-18
1170;rechazado;2004-01-19
1173;rechazado;2014-12-08
1175;aprobado;1997-09-07
1176;aprobado;1994-07-31
1177;rechazado;2018-05-25
1179;rechazado;1990-09-23
1180;aprobado;1999-02-18
1181;rechazado;2019-02-28
1184;aprobado;2005-07-03
1185;rechazado;2016-07-10
1186;aprobado;2017-05-12
1188;aprobado;2001-02-09
1190;aprobado;2011-12-18
1191;rechazado;2005-03-02
1192;aprobado;2017-08-30
1193;aprobado;2010-01-25
1195;rechazado;2018-09-20
1196;aprobado;2015-02-18
1199;aprobado;2017-06-22
1201;aprobado;2019-08-26
1202;aprobado;2003-02-14
1203;rechazado;1988-12-19
1206;rechazado;2019-08-17
1210;aprobado;1996-10-17
1212;aprobado;2002-06-16
1213;rechazado;2009-06-09
1214;rechazado;2004-12-22
1215;aprobado;2016-03-05
1217;rechazado;2018-05-23
1218;rechazado;2019-06-13
1220;aprobado;2019-02-21
1221;rechazado;2013-07-27
1222;rechazado;2019-05-08
1225;aprobado;2011-07-01
1226;aprobado;1996-09-06
1228;aprobado;2017-12-27
1229;aprobado;2012-11-18
1231;rechazado;1991-11-09
1233;aprobado;2019-08-12
1234;aprobado;1992-08-27
1236;rechazado;2009-09-04
1237;aprobado;2016-12-13
1240;rechazado;2019-08-02
1241;aprobado;2018-11-26
1242;aprobado;2014-01-07
1244;rechazado;2019-02-03
1245;rechazado;1999-11-14
1246;aprobado;2018-04-20
1249;rechazado;2010-09-23
1250;aprobado;2017-04-05
1251;aprobado;2019-07-04
1254;rechazado;2019-07-30
1256;aprobado;2015-12-22
1257;rechazado;2000-02-19
1260;rechazado;2018-01-15
1261;aprobado;2018-10-14
1262;aprobado;2007-12-28
1271;rechazado;2017-06-25
1274;aprobado;2009-03-27
1275;rechazado;2007-09-28
1276;aprobado;2012-02-09
1278;aprobado;2019-08-13
1279;rechazado;2019-03-27
1280;rechazado;2014-07-08
1283;rechazado;2019-07-30
1284;aprobado;2017-06-28
1287;aprobado;2018-01-11
1289;aprobado;1994-05-24
1291;rechazado;2009-10-02
1292;aprobado;2017-03-20
1293;rechazado;2016-04-22
1295;aprobado;1981-11-05
1296;aprobado;2016-03-03
1299;rechazado;2004-02-28
1300;rechazado;2006-12-19
1301;rechazado;1999-08-26
1306;rechazado;2015-11-19
1308;aprobado;2019-06-04
1309;rechazado;2014-03-04
1310;rechazado;2017-10-22
1312;aprobado;2017-08-27
1313;rechazado;2019-01-12
1315;aprobado;2009-08-03
1316;aprobado;2014-06-02
1317;rechazado;2002-05-04
1318;rechazado;2006-05-13
1321;aprobado;2018-04-22
1322;aprobado;2019-07-08
1324;aprobado;2009-12-30
1325;rechazado;2014-06-17
1327;aprobado;2003-02-16
1328;aprobado;2018-01-20
1330;rechazado;2003-02-27
1331;rechazado;2007-01-07
1333;aprobado;2017-12-28
1334;aprobado;2011-10-06
1335;aprobado;2015-05-31
1336;rechazado;2010-07-21
1337;aprobado;2010-12-17
1341;rechazado;2013-11-27
1342;rechazado;1995-11-04
1343;rechazado;2018-07-01
1344;aprobado;2019-05-24
1345;aprobado;2007-02-27
1346;aprobado;2014-11-27
1347;aprobado;2019-07-05
1348;aprobado;2007-04-26
1350;aprobado;2007-10-17
1351;aprobado;2013-02-13
1352;aprobado;2003-08-23
1353;rechazado;2018-09-16
1354;aprobado;1982-03-05
1355;rechazado;2005-04-28
1356;rechazado;2018-06-29
1358;rechazado;2009-06-09
1359;rechazado;2015-04-18
1360;rechazado;2009-05-21
1362;aprobado;2004-04-11
1363;aprobado;2019-05-15
1364;rechazado;1996-05-03
1366;rechazado;2015-09-26
1368;rechazado;1996-04-26
1369;rechazado;2018-12-08
1370;aprobado;2017-03-03
1371;aprobado;2016-02-02
1373;aprobado;2019-07-23
1375;aprobado;2011-06-20
1376;aprobado;2013-08-03
1377;rechazado;2016-04-03
1378;aprobado;2019-08-01
1379;rechazado;1982-06-15
1380;aprobado;2007-05-06
1381;rechazado;1981-05-09
1382;rechazado;2019-07-05
1383;aprobado;2013-06-22
1384;rechazado;2016-07-08
1385;rechazado;2015-09-19
1386;rechazado;2018-07-29
1392;rechazado;2005-06-09
1393;aprobado;2000-06-02
1396;rechazado;2017-05-23
1397;rechazado;1992-02-09
1398;rechazado;2005-11-06
1399;rechazado;2018-01-03
1401;rechazado;2010-11-21
1402;aprobado;2004-11-13
1403;rechazado;2003-03-08
1404;aprobado;2019-01-14
1406;rechazado;2015-07-06
1407;aprobado;2017-10-24
1408;rechazado;2000-12-03
1409;rechazado;2004-07-05
1415;rechazado;2014-04-25
1416;rechazado;2010-09-19
1417;rechazado;2004-06-05
1418;aprobado;2007-10-08
1420;rechazado;2019-05-29
1421;aprobado;2018-02-14
1423;aprobado;2012-09-28
1425;aprobado;2019-07-19
1427;rechazado;2011-02-15
1430;rechazado;2001-12-25
1432;rechazado;2018-12-16
1433;rechazado;2012-02-04
1435;aprobado;2018-02-02
1436;rechazado;2004-01-08
1437;aprobado;2012-09-09
1439;aprobado;2017-01-28
1440;aprobado;1990-10-26
1441;rechazado;1991-04-21
1442;aprobado;2007-10-05
1443;rechazado;2004-03-03
1444;aprobado;2018-03-14
1445;aprobado;2012-08-28
1447;aprobado;1990-06-04
1448;aprobado;1972-05-26
1451;aprobado;2018-01-13
1453;aprobado;2013-03-05
1454;aprobado;2016-02-16
1456;aprobado;2009-11-22
1458;rechazado;2017-06-27
1460;rechazado;2016-01-17
1461;rechazado;2018-11-29
1463;aprobado;1993-09-28
1465;aprobado;2008-01-30
1467;aprobado;2018-09-17
1468;rechazado;2016-08-28
1469;rechazado;2018-07-08
1470;rechazado;2009-11-22
1472;rechazado;2010-10-07
1474;aprobado;2000-09-04
1476;rechazado;2016-05-22
1477;rechazado;2006-05-07
1478;aprobado;2000-12-28
1481;aprobado;2002-01-17
1482;aprobado;2012-05-21
1483;rechazado;2018-09-25
