Pid;﻿tipo;nombre;latitud;longitud;region;comuna;fecha apertura
42;1;Peckett;-3.813.105.043;-7.283.364.805;XII de Magallanes y de la Antartica Chilena;Cabo de Hornos;1953-11-03
43;3;SL Green Realty Corporation;-2.308.275.252;-6.942.137.751;I de Tarapaca;Iquique;1987-05-29
44;2;Chunghwa Telecom Co., Ltd.;-1.607.171.874;-7.126.601.916;II de Antofagasta;Taltal;1959-11-13
45;2;Forterra, Inc.;-4.007.139.215;-708.392.399;II de Antofagasta;San Pedro de Atacama;2015-10-16
46;1;Refugio;-3.887.962.997;-7.156.971.803;III de Atacama;Diego de Almagro;1979-01-14
47;3;China Lodging Group, Limited;-3.082.234.614;-6.838.792.591;I de Tarapaca;Huara;1950-09-21
48;2;International Seaways, Inc.;-2.439.457.601;-7.224.669.649;XIV de Los Rios;Panguipulli;2010-08-29
49;2;Financial Engines, Inc.;-4.638.747.254;-7.075.437.214;I de Tarapaca;Camiña;1979-06-18
50;3;Nuveen Connecticut Quality Municipal Income Fund;-5.096.642.298;-7.049.199.065;III de Atacama;Tierra Amarilla;1955-05-29
51;1;La Coipa;-2.759.189.821;-7.120.349.032;III de Atacama;Diego de Almagro;1970-02-11
52;1;Dorado;-2.839.381.633;-73.986.472;XII de Magallanes y de la Antartica Chilena;San Gregorio;1953-12-15
53;2;Mackinac Financial Corporation;-4.364.479.261;-7.381.374.064;IV de Coquimbo;Ovalle;1988-11-06
54;3;Cogentix Medical, Inc.;-1.995.010.196;-7.364.662.812;Metropolitana de Santiago;Maria Pinto;1975-04-24
55;1;Cerro Colorado;-242.080.116;-6.850.685.053;I de Tarapaca;Pica;1955-09-14
56;2;Dynatronics Corporation;-1.863.187.163;-7.291.612.967;VIII del Bio-Bio;Santa Barbara;1964-05-01
57;3;R.R. Donnelley & Sons Company;-2.911.125.862;-7.123.158.585;II de Antofagasta;Maria Elena;1966-04-26
58;1;Trongol;-2.959.632.621;-7.303.948.187;VIII del Bio-Bio;Yumbel;2004-06-21
59;2;FTI Consulting, Inc.;-4.714.991.504;-7.168.093.803;IV de Coquimbo;Combarbala;1996-12-10
60;1;Inacesa - El Way;-3.529.287.156;-71.086.893;II de Antofagasta;Antofagasta;1974-09-03
61;3;RiverNorth Opportunities Fund, Inc.;-3.126.504.384;-6.884.962.811;II de Antofagasta;Taltal;2017-05-21
62;3;AmerisourceBergen Corporation (Holding Co);-5.124.200.404;-7.028.150.702;I de Tarapaca;Colchane;2004-06-14
63;2;Evolving Systems, Inc.;-5.214.362.392;-7.216.782.523;IV de Coquimbo;Andacollo;1991-01-21
64;2;UMH Properties, Inc.;-4.264.166.805;-6.965.466.815;II de Antofagasta;San Pedro de Atacama;1971-12-09
65;1;Arenal;-1.715.562.623;-7.295.433.214;XII de Magallanes y de la Antartica Chilena;Porvenir;2013-04-20
66;2;Suncor EnergyInc.;-5.343.772.961;-7.202.622.649;III de Atacama;Freirina;1983-09-18
67;2;Elkhorn Commodity Rotation Strategy ETF;-2.369.506.956;-6.947.807.235;I de Tarapaca;Iquique;1989-08-02
68;1;La Patagua;-2.356.366.992;-7.274.754.506;V de Valparaiso;Juan Fernandez;1990-11-07
69;2;Terreno Realty Corporation;-5.105.668.234;-6.994.491.088;I de Tarapaca;Colchane;1995-11-26
70;2;CenterPoint Energy, Inc.;-2.746.471.657;-7.145.300.923;II de Antofagasta;Mejillones;1982-06-08
71;2;Enel Generacion Chile S.A.;-2.999.809.319;-7.358.981.351;V de Valparaiso;Quintero;1957-10-20
72;2;Edge Therapeutics, Inc.;-4.271.445.035;-7.047.732.534;II de Antofagasta;Mejillones;1967-03-31
73;3;Under Armour, Inc.;-3.756.572.452;-7.273.158.473;III de Atacama;Caldera;2007-05-25
74;1;El Volcan;-3.031.364.111;-734.247.602;Metropolitana de Santiago;Isla de Maipo;1960-03-24
75;1;El Soldado;-2.153.551.614;-7.207.976.852;V de Valparaiso;Quilpue;2004-04-16
76;2;KT Corporation;-1.799.072.303;-7.316.470.936;Metropolitana de Santiago;Talagante;1956-02-12
77;1;ACF - Lagunas;-3.313.604.943;-6.934.122.626;I de Tarapaca;Huara;1957-09-05
78;3;First Hawaiian, Inc.;-3.735.857.076;-7.131.032.115;III de Atacama;Caldera;1987-10-11
79;3;Randgold Resources Limited;-4.817.720.516;-7.338.634.755;Metropolitana de Santiago;El Monte;1971-10-30
80;1;III de Atacama Minerals - Aguas Blancas;-4.731.394.603;-7.123.903.468;II de Antofagasta;Sierra Gorda;1998-11-19
81;2;Urstadt Biddle Properties Inc.;-4.718.797.047;-7.354.860.045;VII del Maule;Contulmo;1994-07-16
82;1;Chimberos;-1.929.980.419;-7.051.275.141;III de Atacama;Chañaral;2016-01-01
83;3;JA Solar Holdings, Co., Ltd.;-3.870.897.824;-6.963.632.309;III de Atacama;Caldera;2017-10-05
84;1;CMP - Algarrobo;-3.007.242.537;-718.258.599;III de Atacama;Alto del Carmen;1995-05-30
85;2;Idera Pharmaceuticals, Inc.;-2.389.837.221;-6.822.308.586;I de Tarapaca;Pica;2008-01-07
86;1;Montecristo;-4.276.191.411;-7.115.455.864;II de Antofagasta;Antofagasta;1961-06-08
87;3;Special Opportunities Fund Inc.;-2.269.430.514;-7.158.466.488;V de Valparaiso;Quilpue;1968-09-09
88;2;AGCO Corporation;-5.131.250.495;-7.209.715.256;III de Atacama;Copiapo;1963-04-23
89;1;Lenga;-1.985.382.799;-741.091.388;XII de Magallanes y de la Antartica Chilena;Natales;1980-07-14
90;1;Julia;-3.042.536.025;-7.020.419.998;II de Antofagasta;Maria Elena;1966-04-23
91;2;NextEra Energy, Inc.;-2.920.278.204;-7.396.821.118;VIII del Bio-Bio;Yumbel;1971-04-06
92;3;Diamond Hill Investment Group, Inc.;-4.985.799.239;-7.276.516.535;XII de Magallanes y de la Antartica Chilena;Laguna Blanca;1999-04-25
93;2;Jazz Pharmaceuticals plc;-2.334.368.456;-7.194.105.884;IV de Coquimbo;Punitaqui;2004-12-08
94;1;Laguna Siren;-2.411.799.631;-6.935.044.973;I de Tarapaca;Iquique;1986-04-30
95;2;Universal Stainless & Alloy Products, Inc.;-4.736.444.382;-7.338.158.073;VII del Maule;Cañete;1958-01-22
96;1;Alhue;-4.128.151.908;-7.289.936.633;Metropolitana de Santiago;Padre Hurtado;1977-04-27
97;2;United Insurance Holdings Corp.;-2.396.324.697;-6.869.023.905;I de Tarapaca;Iquique;2011-10-18
98;1;Chuquicamata;-2.963.681.473;-6.907.867.499;II de Antofagasta;Taltal;1963-12-21
99;1;Maganeso III de Atacama;-3.276.774.456;-7.294.945.547;IV de Coquimbo;Los Vilos;1954-02-28
100;1;SCL Chemetall;-4.720.950.153;-7.076.035.423;II de Antofagasta;Maria Elena;1964-08-15
101;3;Galectin Therapeutics Inc.;-5.487.199.607;-7.054.691.361;II de Antofagasta;Taltal;2017-03-01
102;3;Yelp Inc.;-4.311.047.715;-7.003.352.768;I de Tarapaca;Pica;1977-06-24
103;2;China Mobile (Hong Kong) Ltd.;-3.231.321.107;-6.975.707.645;II de Antofagasta;Calama;1976-06-21
104;1;Pirquitas;-3.873.928.048;-693.541.644;XV de Arica y Parinacota;Arica;2000-04-06
105;1;Collahuasi;-4.376.417.517;-6.946.927.861;I de Tarapaca;Pica;2003-08-22
106;2;Central Garden & Pet Company;-3.300.192.116;-7.380.536.773;IV de Coquimbo;Los Vilos;1962-10-27
107;1;Faride;-3.049.406.062;-7.009.795.413;II de Antofagasta;Taltal;1997-06-07
108;1;Maria Elisa;-4.667.054.079;-7.297.304.111;VII del Maule;Contulmo;1997-03-03
109;3;HollyFrontier Corporation;-3.914.820.194;-7.240.334.635;IV de Coquimbo;Paiguano;1983-11-22
110;3;Recon Technology, Ltd.;-4.159.030.839;-6.917.650.406;II de Antofagasta;Antofagasta;1952-11-09
111;3;JM Global Holding Company;-4.643.036.646;-7.141.331.194;II de Antofagasta;Calama;1957-02-13
112;1;Del Fierro;-4.658.411.776;-7.365.920.956;VII del Maule;Cañete;2003-08-01
113;3;Hub Group, Inc.;-4.173.703.364;-7.112.153.259;II de Antofagasta;Mejillones;1994-08-02
114;1;Manantial;-4.537.989.704;-6.954.898.275;XV de Arica y Parinacota;Camarones;1957-11-17
115;2;Credit Acceptance Corporation;-3.138.911.698;-6.924.544.403;II de Antofagasta;Taltal;1965-06-02
116;3;Nuveen AMT-Free Municipal Value Fund;-2.233.954.425;-716.613.863;III de Atacama;Huasco;2004-11-18
117;2;Mirna Therapeutics, Inc.;-3.444.832.831;-7.348.296.944;XII de Magallanes y de la Antartica Chilena;Timaukel;1978-07-23
118;2;Kura Oncology, Inc.;-2.522.791.263;-7.184.278.768;VI del Libertador General Bernardo O'Higgins;Codegua;1956-12-26
119;2;First Trust Senior Loan Fund ETF;-4.577.912.208;-7.046.570.244;XV de Arica y Parinacota;Camarones;1986-07-13
120;3;Ulta Beauty, Inc.;-2.478.193.519;-6.905.397.424;I de Tarapaca;Pica;1985-09-04
121;2;Comcast Corporation;-233.210.794;-6.903.344.193;I de Tarapaca;Pica;1999-01-21
122;1;Los Pelambres;-4.232.243.113;-7.180.459.968;IV de Coquimbo;Monte Patria;1972-04-19
123;1;Algorta;-5.310.318.907;-7.005.907.216;II de Antofagasta;Antofagasta;1959-10-07
124;3;AbbVie Inc.;-4.765.017.997;-6.983.986.866;I de Tarapaca;Colchane;2009-01-24
125;3;Virco Manufacturing Corporation;-5.488.657.627;-695.041.496;I de Tarapaca;Alto Hospicio;1998-12-19
126;1;Mantos de la Luna;-4.282.090.275;-6.976.150.537;II de Antofagasta;San Pedro de Atacama;1999-12-04
127;2;Fiserv, Inc.;-4.507.676.689;-718.082.965;III de Atacama;Diego de Almagro;1972-05-17
128;1;Quiborax - Ascotan;-2.313.717.068;-6.995.653.874;II de Antofagasta;Antofagasta;2008-02-29
129;1;CMP - El Laco;-428.435.721;-7.119.728.748;II de Antofagasta;Mejillones;2018-11-29
130;3;Tata Motors Ltd;-282.179.559;-7.150.560.249;II de Antofagasta;Mejillones;1991-10-14
131;3;Eaton Vance Corporation;-4.785.400.498;-711.090.181;II de Antofagasta;Sierra Gorda;2005-02-18
132;3;Peabody Energy Corporation;-4.888.509.748;-6.913.073.419;I de Tarapaca;Camiña;2017-07-16
133;3;Vanguard Russell 3000 ETF;-4.969.909.901;-7.285.156.322;Metropolitana de Santiago;San Pedro;1994-12-06
134;3;Voya Global Equity Dividend and Premium Opportunity Fund;-2.466.738.408;-7.318.711.546;V de Valparaiso;Villa Alemana;1973-06-14
135;3;First Trust International Multi-Asset Diversified Income Index;-184.703.499;-6.872.721.423;II de Antofagasta;Tocopilla;1994-12-11
136;3;First Trust Nasdaq Retail ETF;-3.424.063.231;-7.260.813.666;IV de Coquimbo;Coquimbo;1966-03-02
137;2;Orbotech Ltd.;-2.731.596.891;-7.096.487.997;III de Atacama;Diego de Almagro;1959-03-10
138;1;La Perla;-4.953.720.632;-7.244.283.924;Metropolitana de Santiago;San Pedro;1992-11-08
139;2;iShares MSCI EM ESG Optimized ETF;-5.041.748.466;-7.136.958.532;III de Atacama;Alto del Carmen;1981-03-06
140;3;PowerShares Golden Dragon China Portfolio;-288.698.376;-746.328.144;VIII del Bio-Bio;Yumbel;2010-09-20
141;3;Texas Capital Bancshares, Inc.;-1.813.731.948;-7.345.570.689;VIII del Bio-Bio;Santa Barbara;1964-06-11
142;1;Mantos Blancos;-461.401.754;-7.039.165.648;II de Antofagasta;Ollague;2016-09-13
143;1;Choquelimpie;-3.796.750.025;-6.952.267.617;XV de Arica y Parinacota;Arica;1985-09-24
144;2;Novelion Therapeutics Inc.;-2.466.135.957;-7.179.570.962;III de Atacama;Vallenar;2000-11-01
145;3;Double Eagle Acquisition Corp.;-4.570.169.924;-7.252.887.097;III de Atacama;Diego de Almagro;2005-11-16
146;2;Celgene Corporation;-3.202.967.643;-7.226.932.097;III de Atacama;Tierra Amarilla;2014-10-25
147;1;El Tesoro;-3.462.424.827;-7.077.212.716;II de Antofagasta;Maria Elena;1959-09-27
148;1;Altamira;-530.118.099;-7.074.491.312;II de Antofagasta;Ollague;1952-09-20
149;1;El Salvador;-2.695.566.592;-7.062.948.214;III de Atacama;Copiapo;2011-11-30
150;2;Container Store (The);-3.406.870.467;-692.587.778;II de Antofagasta;Sierra Gorda;1997-09-04
151;3;Royal Caribbean Cruises Ltd.;-4.136.405.867;-7.288.275.487;Metropolitana de Santiago;Padre Hurtado;2018-10-10
152;1;Sierra Miranda;-1.705.555.729;-7.125.546.485;II de Antofagasta;Taltal;1980-07-17
153;1;El Morro;-2.374.250.416;-725.780.991;III de Atacama;Vallenar;1988-11-18
154;1;Pucobre;-4.180.840.469;-7.092.042.281;III de Atacama;Alto del Carmen;1966-12-31
155;2;Corporate Asset Backed Corp CABCO;-4.720.766.107;-6.938.848.421;I de Tarapaca;Colchane;1973-02-02
156;3;SeaChange International, Inc.;-208.146.013;-7.343.119.955;XII de Magallanes y de la Antartica Chilena;Natales;1953-01-29
157;2;Entercom Communications Corporation;-4.390.538.222;-6.793.186.104;I de Tarapaca;Alto Hospicio;2006-06-22
158;1;La Marcelina;-4.504.730.088;-686.226.631;XV de Arica y Parinacota;General Lagos;1955-05-27
159;1;Gabriela Mistral;-3.131.565.918;-7.012.268.731;II de Antofagasta;Calama;2006-10-09
160;2;Arch Capital Group Ltd.;-3.103.868.479;-6.942.270.489;II de Antofagasta;Ollague;1980-05-01
161;1;Antucoya;-348.080.603;-6.973.821.998;II de Antofagasta;Sierra Gorda;1961-09-09
162;1;Carola;-2.241.636.966;-7.269.038.964;III de Atacama;Huasco;1976-11-29
163;2;PowerShares KBW High Dividend Yield Financial Portfolio;-3.514.139.984;-7.235.758.798;IV de Coquimbo;Illapel;2003-07-07
164;1;Spence;-4.648.103.337;-7.046.400.352;II de Antofagasta;Calama;1989-01-03
165;1;Cerro Blanco;-2.454.405.253;-7.211.803.136;Metropolitana de Santiago;Curacavi;1953-02-24
166;1;Haldeman - Sagasca;-1.788.031.716;-7.002.811.716;I de Tarapaca;Pozo Almonte;1977-06-23
167;1;Victoria;-4.880.221.815;-7.295.778.926;VIII del Bio-Bio;Alto Biobio;2014-10-12
168;2;L.B. Foster Company;-3.882.480.482;-7.158.608.915;III de Atacama;Diego de Almagro;1992-05-09
169;3;Regal Entertainment Group;-4.671.477.133;-7.179.620.512;II de Antofagasta;Ollague;2004-08-20
170;1;Celite - Tana;-2.366.594.089;-6.843.100.801;I de Tarapaca;Iquique;1997-06-11
171;2;iPath US Treasury Long Bond Bear ETN;-4.035.185.122;-7.280.959.953;V de Valparaiso;Casablanca;2009-08-31
172;2;Cambrex Corporation;-4.712.542.695;-7.206.503.108;II de Antofagasta;Sierra Gorda;1960-12-15
173;2;Pure Cycle Corporation;-3.714.424.689;-7.254.907.999;XII de Magallanes y de la Antartica Chilena;Cabo de Hornos;1991-05-19
174;1;Ojos del Salado;-2.735.831.322;-7.208.958.712;III de Atacama;Chañaral;1997-12-12
175;1;Caupolican;-3.453.425.139;-7.413.740.142;XII de Magallanes y de la Antartica Chilena;Timaukel;1961-04-26
176;3;EPR Properties;-4.318.864.931;-7.099.239.316;I de Tarapaca;Pica;1960-05-11
177;2;First Trust Emerging Markets Small Cap AlphaDEX Fund;-3.053.557.678;-7.102.260.317;III de Atacama;Alto del Carmen;2003-09-22
178;3;Aircastle Limited;-4.656.347.763;-6.872.332.298;XV de Arica y Parinacota;General Lagos;2013-05-24
179;1;Esperanza;-4.538.971.199;-6.986.726.192;II de Antofagasta;Mejillones;1979-12-20
180;2;BLDRS Asia 50 ADR Index Fund;-3.116.445.081;-6.837.160.087;I de Tarapaca;Huara;2018-01-09
181;3;Western Asset Bond Fund;-2.674.654.065;-7.042.299.346;III de Atacama;Chañaral;2001-03-18
182;2;Forum Merger Corporation;-3.294.742.502;-7.376.307.958;VI del Libertador General Bernardo O'Higgins;Rancagua;1957-06-29
183;3;Nuveen Michigan Quality Municipal Income Fund;-5.009.388.595;-6.848.847.426;I de Tarapaca;Pozo Almonte;1982-12-04
184;2;Discovery Communications, Inc.;-5.365.404.297;-7.326.718.516;VIII del Bio-Bio;Tucapel;1985-01-30
185;3;Drive Shack Inc.;-5.133.607.506;-7.189.800.211;IV de Coquimbo;La Higuera;1952-11-23
186;3;Mid-America Apartment Communities, Inc.;-538.656.465;-7.279.450.762;VIII del Bio-Bio;Tucapel;1974-12-18
187;3;STMicroelectronics N.V.;-4.390.888.808;-744.424.349;VIII del Bio-Bio;San Rosendo;1982-12-02
188;2;RenaissanceRe Holdings Ltd.;-2.407.761.632;-7.352.356.648;V de Valparaiso;Juan Fernandez;1968-06-24
189;2;LTC Properties, Inc.;-5.129.783.946;-7.150.237.003;III de Atacama;Freirina;2018-06-16
190;1;El Guindo;-5.043.770.014;-7.362.178.091;Metropolitana de Santiago;Alhue;1975-09-29
191;1;Cerro Bayo;-2.172.358.876;-7.386.217.581;XI de Aysen del General Carlos Ibañez del Campo;Rio Ibañez;2016-11-05
192;2;Kite Realty Group Trust;-4.695.808.708;-7.109.731.439;II de Antofagasta;Maria Elena;2014-04-29
193;3;XO Group, Inc.;-2.492.641.372;-7.263.476.081;XII de Magallanes y de la Antartica Chilena;Rio Verde;2014-01-22
194;1;SQM Salar;-4.190.476.211;-7.140.707.744;II de Antofagasta;Tocopilla;2002-06-16
195;1;El Abra;-4.912.840.071;-6.906.715.874;II de Antofagasta;Mejillones;1970-10-25
196;3;Destination XL Group, Inc.;-5.184.366.508;-7.145.974.926;III de Atacama;Copiapo;1982-11-27
197;1;Escondida;-4.025.595.432;-711.296.847;II de Antofagasta;San Pedro de Atacama;2018-08-13
198;2;BLDRS Developed Markets 100 ADR Index Fund;-1.896.674.942;-7.266.627.876;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico;1978-06-29
199;1;Navio;-2.902.393.516;-7.358.812.257;V de Valparaiso;Quintero;1957-07-07
200;3;Franklin Financial Network, Inc.;-3.683.268.638;-7.112.683.534;II de Antofagasta;Sierra Gorda;1984-10-13
201;1;Condor;-4.593.308.769;-7.027.512.236;XV de Arica y Parinacota;Putre;1987-12-16
202;1;Punta de Lobos - Kanita;-487.080.749;-6.902.837.929;I de Tarapaca;Camiña;1978-08-24
203;2;Kamada Ltd.;-2.685.917.867;-7.127.095.578;III de Atacama;Chañaral;1998-05-05
204;1;Marte Lobo;-5.073.155.899;-7.152.095.482;III de Atacama;Copiapo;2010-06-26
205;1;El Toqui;-1.889.524.832;-736.547.943;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico;1961-02-20
206;3;Cowen Inc.;-2.650.692.326;-6.923.982.757;III de Atacama;Copiapo;2000-11-26
207;3;Nutanix, Inc.;-2.275.120.305;-7.371.128.663;XI de Aysen del General Carlos Ibañez del Campo;Rio Ibañez;1954-08-03
208;3;Janus Henderson Small Cap Growth Alpha ETF;-186.558.614;-7.075.718.455;II de Antofagasta;Calama;1981-12-02
209;1;Chimborazo;-5.034.084.038;-6.996.995.666;II de Antofagasta;Ollague;2001-04-07
210;1;Cerro Casale;-5.405.804.052;-7.216.371.161;III de Atacama;Copiapo;1984-06-27
211;3;China Cord Blood Corporation;-2.455.756.186;-7.409.087.615;VII del Maule;Los Alamos;1968-10-20
212;2;Novanta Inc.;-1.825.662.271;-6.948.914.967;I de Tarapaca;Pozo Almonte;1958-08-15
213;1;CMP - Los Colorados;-298.906.932;-7.236.810.449;III de Atacama;Chañaral;2015-08-21
214;2;U.S. Energy Corp.;-3.723.816.728;-7.443.611.003;XIV de Los Rios;Rio Bueno;2001-02-05
215;2;NVIDIA Corporation;-4.258.984.705;-7.193.645.833;VII del Maule;Tirua;1996-01-11
216;3;Argos Therapeutics, Inc.;-3.643.390.516;-6.929.986.234;II de Antofagasta;Calama;1990-07-16
217;2;Guaranty Bancorp;-4.575.448.464;-7.064.443.925;XV de Arica y Parinacota;Putre;1964-05-31
218;3;Inseego Corp.;-4.118.509.248;-708.563.711;III de Atacama;Alto del Carmen;1990-07-26
219;2;Peapack-Gladstone Financial Corporation;-2.816.579.053;-7.453.948.987;XII de Magallanes y de la Antartica Chilena;San Gregorio;1957-07-07
220;2;German American Bancorp, Inc.;-3.482.987.584;-7.210.349.722;IV de Coquimbo;Coquimbo;1989-01-06
221;1;La Picarda;-467.411.032;-7.000.575.467;I de Tarapaca;Camiña;2013-04-05
222;3;Apple Hospitality REIT, Inc.;-5.281.944.746;-7.019.279.546;II de Antofagasta;Antofagasta;1951-02-26
223;3;TC PipeLines, LP;-2.332.492.091;-6.826.543.116;I de Tarapaca;Iquique;1951-02-04
224;2;Nustar GP Holdings, LLC;-2.046.904.993;-7.409.165.819;Metropolitana de Santiago;Maria Pinto;1982-12-28
225;1;Cosayach - Cala Cala;-446.798.846;-6.882.300.689;I de Tarapaca;Alto Hospicio;2014-03-28
226;3;Georgia Power Company;-4.273.855.109;-7.085.971.668;II de Antofagasta;Tocopilla;1984-06-13
227;2;PowerShares BuyBack Achievers Portfolio;-3.174.765.126;-7.325.186.772;IV de Coquimbo;Rio Hurtado;1984-02-29
228;3;Costamare Inc.;-4.642.174.025;-7.418.435.217;VII del Maule;Cañete;1969-09-13
229;2;Gilat Satellite Networks Ltd.;-4.578.367.424;-7.538.032.149;XII de Magallanes y de la Antartica Chilena;Antartica;1955-05-11
230;2;The9 Limited;-5.554.343.624;-6.983.053.791;I de Tarapaca;Alto Hospicio;1961-11-20
231;3;Taiwan Fund, Inc. (The);-4.808.224.171;-7.304.903.485;VII del Maule;Contulmo;2002-12-08
232;3;Entegra Financial Corp.;-4.087.226.832;-7.221.115.048;IV de Coquimbo;Monte Patria;1976-09-01
233;3;Torchmark Corporation;-2.997.956.124;-7.196.526.653;III de Atacama;Alto del Carmen;1963-06-07
234;3;SAP SE;-2.459.414.909;-7.268.571.232;V de Valparaiso;Juan Fernandez;2003-03-21
235;2;Appliance Recycling Centers of America, Inc.;-5.280.292.319;-6.987.682.299;II de Antofagasta;Ollague;1980-03-25
236;1;Punitaqui;-4.321.815.285;-7.307.526.943;IV de Coquimbo;Ovalle;1976-02-29
237;1;Schwager;-4.539.717.876;-7.382.516.204;VIII del Bio-Bio;San Rosendo;1992-09-02
238;3;Old Republic International Corporation;-4.373.148.185;-6.937.467.027;I de Tarapaca;Alto Hospicio;1973-04-21
239;3;Cleveland BioLabs, Inc.;-3.931.051.311;-7.078.321.928;II de Antofagasta;San Pedro de Atacama;1979-11-11
240;1;Pampa Camarones;-4.502.954.045;-6.847.397.968;XV de Arica y Parinacota;General Lagos;2005-02-22
241;1;Bronce de Petorca;-4.676.871.429;-734.125.935;V de Valparaiso;Valparaiso;1979-08-14
242;3;Gabelli Equity Trust, Inc. (The);-2.909.239.262;-7.452.918.534;XII de Magallanes y de la Antartica Chilena;San Gregorio;1960-06-03
243;1;Cerro Negro;-5.347.278.162;-7.354.103.596;V de Valparaiso;Puchuncavi;1975-12-02
244;1;Andacollo Cobre;-3.537.694.761;-7.153.827.676;IV de Coquimbo;Illapel;1951-07-25
