Rid;causa contaminante;area influencia (kms);fecha apertura;region de tramitacion;comuna de tramitacion
150;radiacion;24.66;2017-12-07;VII del Maule;Pelarco
151;radiacion;24.12;1979-09-14;XII de Magallanes y de La Antartica Chilena;Rio Verde
152;contaminacion de la cadena trofica;27.21;1969-09-03;I de Tarapaca;Pozo Almonte
153;contaminacion de suelo;11.53;1993-11-14;X de Los Lagos;Llanquihue
154;radiacion;41.32;2001-12-28;VII del Maule;Pencahue
155;contaminacion de la cadena trofica;24.35;1996-01-08;V de Valparaiso;Llaillay
156;ruido;44.09;2017-12-06;VIII del Bio-Bio;Santa Juana
157;radiacion;10.12;1969-01-19;VII del Maule;Pelarco
158;contaminacion de la cadena trofica;31.48;1973-12-29;Metropolitana de Santiago;Maipu
159;contaminacion de agua;20.77;2018-05-29;Metropolitana de Santiago;Lo Prado
160;contaminacion de la cadena trofica;29.95;1970-09-09;X de Los Lagos;Purranque
161;contaminacion de la cadena trofica;22.26;2009-03-25;V de Valparaiso;Rinconada
162;contaminacion de la cadena trofica;30.34;2004-09-14;XV de Arica y Parinacota;Arica
163;contaminacion de la cadena trofica;21;2004-03-18;XIV de Los Rios;Futrono
164;contaminacion de la cadena trofica;40.81;2014-08-11;VII del Maule;Colbun
165;contaminacion del aire;3.69;2000-02-03;VIII del Bio-Bio;Laja
166;mal olor;23.11;1999-09-12;XIV de Los Rios;Futrono
167;contaminacion del aire;27.5;2010-11-02;X de Los Lagos;Maullin
168;contaminacion de suelo;49.86;2016-04-05;IV de Coquimbo;Punitaqui
169;ruido;1.44;2006-05-24;VI del Libertador General Bernardo O'Higgins;Palmilla
170;destruccion del medio ambiente;5.34;1995-04-22;Metropolitana de Santiago;Lo Prado
171;plagas;18.09;1990-07-06;VIII del Bio-Bio;Penco
172;contaminacion de suelo;42.11;2016-01-16;X de Los Lagos;Queilen
173;contaminacion de agua;45.62;2010-11-03;IV de Coquimbo;Illapel
174;contaminacion de suelo;31.41;2017-03-27;VIII del Bio-Bio;Cabrero
175;contaminacion de agua;17.98;2007-11-27;IX de La Araucania;Nueva Imperial
176;ruido;25.83;1996-05-01;V de Valparaiso;El Tabo
177;mal olor;29.47;1973-11-23;VII del Maule;Chanco
178;radiacion;9.65;2015-09-04;VI del Libertador General Bernardo O'Higgins;Las Cabras
179;mal olor;17.04;2012-01-23;VIII del Bio-Bio;Nacimiento
180;destruccion del medio ambiente;6.31;2011-04-12;VIII del Bio-Bio;Cañete
181;contaminacion de suelo;48.48;2008-11-10;V de Valparaiso;Cabildo
182;contaminacion de suelo;43.54;1984-11-07;VII del Maule;Hualañe
183;plagas;36.74;1991-06-04;VI del Libertador General Bernardo O'Higgins;La Estrella
184;ruido;29.23;2012-12-04;Metropolitana de Santiago;Lo Espejo
185;destruccion del medio ambiente;19.9;2018-10-28;X de Los Lagos;Rio Negro
186;contaminacion del aire;46.2;2015-09-30;VII del Maule;Constitucion
187;radiacion;31.19;2019-08-14;VII del Maule;Rauco
188;contaminacion de agua;30.57;2015-10-06;VII del Maule;Colbun
189;destruccion del medio ambiente;36.72;2009-08-17;VI del Libertador General Bernardo O'Higgins;Peralillo
190;destruccion del medio ambiente;39.69;2017-08-25;IX de La Araucania;Melipeuco
191;plagas;12.03;1991-07-26;VII del Maule;Romeral
192;mal olor;20.09;2008-06-03;XI de Aysen del General Carlos Ibañez del Campo;Tortel
193;contaminacion de la cadena trofica;49.09;2018-05-18;VII del Maule;Licanten
194;contaminacion del aire;8.69;1977-08-06;VII del Maule;Parral
195;radiacion;29.79;2002-12-11;Metropolitana de Santiago;San Bernardo
196;destruccion del medio ambiente;24.51;2002-10-09;IX de La Araucania;Traiguen
197;contaminacion de suelo;5.94;2006-07-18;Metropolitana de Santiago;Paine
198;contaminacion de agua;8;2006-07-17;VIII del Bio-Bio;Alto Biobio
199;ruido;16.33;2010-06-13;X de Los Lagos;Dalcahue
200;mal olor;39.91;2019-07-26;Metropolitana de Santiago;La Reina
201;contaminacion de agua;0.4;1997-09-20;VII del Maule;Teno
202;mal olor;9.85;2004-08-07;IX de La Araucania;Padre Las Casas
203;plagas;24.67;2009-09-05;Metropolitana de Santiago;Huechuraba
204;radiacion;36.09;2018-04-09;Metropolitana de Santiago;Vitacura
205;mal olor;10.36;1987-01-12;IX de La Araucania;Nueva Imperial
206;contaminacion de agua;4.28;1990-03-03;Metropolitana de Santiago;Macul
207;destruccion del medio ambiente;42.63;1995-08-16;VII del Maule;Pelarco
208;ruido;27.09;2004-02-29;VIII del Bio-Bio;Curanilahue
209;contaminacion del aire;33.95;2001-06-07;XII de Magallanes y de La Antartica Chilena;Timaukel
210;destruccion del medio ambiente;7.15;2018-03-26;VIII del Bio-Bio;Cabrero
211;ruido;17.45;2015-11-19;Metropolitana de Santiago;La Florida
212;contaminacion del aire;45.53;1990-10-05;VIII del Bio-Bio;Negrete
213;mal olor;3.8;2017-08-28;Metropolitana de Santiago;Las Condes
214;ruido;5.66;1987-08-28;VIII del Bio-Bio;Quilleco
215;contaminacion de agua;46.32;1960-03-07;XII de Magallanes y de La Antartica Chilena;Rio Verde
216;radiacion;37.84;2009-06-29;Metropolitana de Santiago;Providencia
217;ruido;41.7;2009-10-09;IX de La Araucania;Curacautin
218;contaminacion de agua;38.65;2016-02-28;VIII del Bio-Bio;Coronel
219;contaminacion de la cadena trofica;25.62;2000-05-07;VI del Libertador General Bernardo O'Higgins;Coltauco
220;contaminacion de suelo;6.31;2010-12-02;Metropolitana de Santiago;Peñaflor
221;radiacion;45.35;2013-07-05;VI del Libertador General Bernardo O'Higgins;Lolol
222;radiacion;44.87;2019-06-03;V de Valparaiso;El Tabo
223;radiacion;34.67;1975-10-31;II de Antofagasta;Antofagasta
224;ruido;40.27;2009-08-13;IV de Coquimbo;Canela
225;contaminacion de la cadena trofica;18.55;2010-02-18;Metropolitana de Santiago;Maria Pinto
226;destruccion del medio ambiente;47.29;1974-11-10;III de Atacama;Chañaral
227;contaminacion de suelo;41.98;1983-04-26;VII del Maule;Pelarco
228;contaminacion de agua;10.02;1981-09-29;XV de Arica y Parinacota;Camarones
229;contaminacion de suelo;24.58;2008-04-01;XV de Arica y Parinacota;Camarones
230;destruccion del medio ambiente;28.38;2019-07-18;VIII del Bio-Bio;Coronel
231;destruccion del medio ambiente;0.72;2018-05-24;VII del Maule;Curico
232;plagas;4.86;2007-10-17;V de Valparaiso;Panquehue
233;contaminacion de agua;45.69;1971-12-28;VII del Maule;Sagrada Familia
234;plagas;19.13;2019-02-17;II de Antofagasta;Antofagasta
235;contaminacion de agua;12.41;2002-12-17;X de Los Lagos;Chaiten
236;contaminacion de suelo;20.52;2013-01-11;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
237;contaminacion de suelo;43.01;1971-04-08;X de Los Lagos;Maullin
238;contaminacion de la cadena trofica;11.09;2019-01-24;V de Valparaiso;Quillota
239;contaminacion de suelo;9.33;2008-07-24;V de Valparaiso;Quintero
240;contaminacion de agua;19.41;1988-10-30;VI del Libertador General Bernardo O'Higgins;Peumo
241;mal olor;35.91;2010-06-13;V de Valparaiso;Calle Larga
242;contaminacion de la cadena trofica;18.37;1971-05-02;XII de Magallanes y de La Antartica Chilena;Primavera
243;contaminacion de suelo;4.88;1992-01-29;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
244;contaminacion de la cadena trofica;40.23;1952-11-09;V de Valparaiso;Zapallar
245;destruccion del medio ambiente;40.5;2015-03-24;VI del Libertador General Bernardo O'Higgins;Palmilla
246;contaminacion de agua;29.74;2015-12-24;IV de Coquimbo;Illapel
247;contaminacion del aire;46.14;2009-06-24;XVI de Ñuble;Ninhue
248;radiacion;5.68;2002-07-18;V de Valparaiso;Cartagena
249;plagas;14.71;2000-09-28;Metropolitana de Santiago;San Ramon
250;mal olor;22.67;1994-06-08;Metropolitana de Santiago;Santiago
251;destruccion del medio ambiente;13.97;1980-06-29;V de Valparaiso;Puchuncavi
252;contaminacion de suelo;37.09;2019-01-14;VIII del Bio-Bio;Lebu
253;contaminacion de la cadena trofica;7.45;2004-12-23;VIII del Bio-Bio;Chiguayante
254;radiacion;22.6;2018-11-07;I de Tarapaca;Colchane
255;plagas;25.27;2011-12-07;X de Los Lagos;Maullin
256;ruido;36.93;2017-10-15;VII del Maule;Yerbas Buenas
257;destruccion del medio ambiente;9.43;1990-10-24;VIII del Bio-Bio;Cañete
258;radiacion;27.72;2002-10-16;VI del Libertador General Bernardo O'Higgins;San Fernando
259;contaminacion del aire;20.49;1953-03-24;X de Los Lagos;Osorno
260;contaminacion de agua;33.84;2016-04-17;VI del Libertador General Bernardo O'Higgins;Placilla
261;mal olor;18.53;2007-10-10;II de Antofagasta;Taltal
262;contaminacion de la cadena trofica;3.84;2019-02-21;V de Valparaiso;San Antonio
263;plagas;32.51;2010-10-09;II de Antofagasta;Sierra Gorda
264;contaminacion de suelo;23.9;2012-11-24;IX de La Araucania;Pitrufquen
265;radiacion;19.82;1966-11-27;V de Valparaiso;Cartagena
266;contaminacion de suelo;17.77;1980-06-20;XIV de Los Rios;Lago Ranco
267;contaminacion de agua;10.42;2007-03-14;XIV de Los Rios;Futrono
268;radiacion;4.77;2018-01-22;XVI de Ñuble;Ninhue
269;contaminacion del aire;15.91;1991-02-11;VII del Maule;Vichuquen
270;contaminacion del aire;37.57;1996-07-30;IX de La Araucania;Pucon
271;contaminacion de la cadena trofica;24.48;1998-02-05;Metropolitana de Santiago;Curacavi
272;contaminacion de suelo;20.11;2011-12-25;VIII del Bio-Bio;Los Alamos
273;destruccion del medio ambiente;4.88;2015-01-09;II de Antofagasta;San Pedro de Atacama
274;contaminacion del aire;34.89;2001-07-03;IX de La Araucania;Galvarino
275;contaminacion de la cadena trofica;14.5;2011-12-01;II de Antofagasta;Maria Elena
276;ruido;6.72;2005-01-22;IV de Coquimbo;Vicuña
277;contaminacion de suelo;11.17;2015-03-12;VI del Libertador General Bernardo O'Higgins;Placilla
278;mal olor;3.71;2008-09-12;IX de La Araucania;Carahue
279;radiacion;28.69;2017-09-09;II de Antofagasta;Mejillones
280;mal olor;19.49;2012-09-13;VII del Maule;Vichuquen
281;contaminacion del aire;33.34;1983-10-25;VIII del Bio-Bio;Quilaco
282;plagas;0.83;2011-11-29;VIII del Bio-Bio;Cañete
283;contaminacion del aire;37.27;1995-05-20;XI de Aysen del General Carlos Ibañez del Campo;Cisnes
284;plagas;16.33;2003-02-28;IX de La Araucania;Cunco
285;radiacion;16.2;2002-04-29;VI del Libertador General Bernardo O'Higgins;Quinta de Tilcoco
286;plagas;6.68;2013-07-13;VII del Maule;Constitucion
287;plagas;20.9;1956-08-17;VII del Maule;Pelluhue
288;radiacion;31.97;1981-09-28;Metropolitana de Santiago;Cerrillos
289;radiacion;35.15;1994-03-18;VI del Libertador General Bernardo O'Higgins;Pichidegua
290;radiacion;2.15;1977-02-10;XIV de Los Rios;Corral
291;contaminacion de suelo;20.75;2018-07-02;XVI de Ñuble;Ninhue
292;mal olor;41.06;1991-10-02;VIII del Bio-Bio;Talcahuano
293;mal olor;34.44;2015-03-26;VIII del Bio-Bio;Lota
294;contaminacion de suelo;46.21;1973-12-08;VIII del Bio-Bio;Laja
295;contaminacion de agua;33.05;1981-05-09;IX de La Araucania;Galvarino
296;contaminacion de suelo;49.39;2007-09-23;VII del Maule;Constitucion
297;contaminacion de la cadena trofica;30.7;1981-10-15;VII del Maule;Curico
298;radiacion;27.65;1988-02-16;VI del Libertador General Bernardo O'Higgins;San Fernando
299;contaminacion de la cadena trofica;37.92;2017-07-20;XV de Arica y Parinacota;Camarones
300;contaminacion del aire;31.12;1986-11-01;VI del Libertador General Bernardo O'Higgins;Marchihue
301;plagas;22.46;2013-02-26;XII de Magallanes y de La Antartica Chilena;Cabo de Hornos
302;contaminacion de agua;34.03;1988-06-25;V de Valparaiso;San Antonio
303;contaminacion de agua;48.69;2012-04-18;VIII del Bio-Bio;Negrete
304;plagas;15.52;1974-08-30;XIV de Los Rios;Lanco
305;contaminacion del aire;0.6;2004-08-01;VIII del Bio-Bio;Quilleco
306;radiacion;38.98;1989-05-13;VI del Libertador General Bernardo O'Higgins;Quinta de Tilcoco
307;ruido;23;2008-03-11;VII del Maule;Romeral
308;contaminacion de agua;14.7;2005-07-29;IX de La Araucania;Lautaro
309;contaminacion de suelo;8.77;1991-03-27;VII del Maule;Hualañe
310;contaminacion de la cadena trofica;26.67;1983-04-25;VIII del Bio-Bio;Lebu
311;contaminacion de la cadena trofica;3.13;2004-12-28;XI de Aysen del General Carlos Ibañez del Campo;Guaitecas
312;plagas;27.58;2011-02-09;Metropolitana de Santiago;Maria Pinto
313;contaminacion de suelo;7.38;1998-12-14;XIV de Los Rios;Futrono
314;destruccion del medio ambiente;17.18;2013-10-15;VII del Maule;Villa Alegre
315;contaminacion de la cadena trofica;48.74;1963-01-10;IV de Coquimbo;Salamanca
316;plagas;46.9;2008-02-25;Metropolitana de Santiago;Recoleta
317;ruido;46.47;2012-03-17;V de Valparaiso;Valparaiso
318;radiacion;18.04;1999-09-19;VIII del Bio-Bio;Cañete
319;contaminacion de suelo;9.04;2019-05-19;Metropolitana de Santiago;Pedro Aguirre Cerda
320;ruido;12.9;1998-01-19;VIII del Bio-Bio;Chiguayante
321;destruccion del medio ambiente;43.62;2010-04-21;XIV de Los Rios;Los Lagos
322;ruido;6.54;2006-05-27;IV de Coquimbo;Ovalle
323;radiacion;40.6;2010-12-08;IX de La Araucania;Temuco
324;contaminacion de agua;23.9;1998-06-20;VIII del Bio-Bio;Cañete
325;contaminacion de la cadena trofica;11.6;2016-06-19;Metropolitana de Santiago;Padre Hurtado
326;destruccion del medio ambiente;10.41;1986-07-26;Metropolitana de Santiago;La Pintana
327;contaminacion de la cadena trofica;14.77;1983-12-12;VIII del Bio-Bio;Los Angeles
328;radiacion;31.15;2019-04-13;VI del Libertador General Bernardo O'Higgins;Las Cabras
329;radiacion;43.92;2017-06-26;I de Tarapaca;Camiña
330;contaminacion de agua;36.12;2019-03-20;IX de La Araucania;Perquenco
331;ruido;22.66;1991-09-20;Metropolitana de Santiago;Huechuraba
332;plagas;0.21;2014-07-30;VII del Maule;Yerbas Buenas
333;destruccion del medio ambiente;12.36;1993-04-27;Metropolitana de Santiago;San Joaquin
334;destruccion del medio ambiente;43.44;2019-05-30;III de Atacama;Diego de Almagro
335;mal olor;38.89;2017-12-13;VI del Libertador General Bernardo O'Higgins;Coinco
336;contaminacion del aire;48.11;2010-04-25;XII de Magallanes y de La Antartica Chilena;Timaukel
337;contaminacion del aire;15.18;2007-12-10;Metropolitana de Santiago;La Cisterna
338;contaminacion de la cadena trofica;19.44;2008-08-02;X de Los Lagos;Curaco de Velez
339;radiacion;10.49;2008-01-31;XI de Aysen del General Carlos Ibañez del Campo;Cisnes
340;contaminacion de agua;44.22;1986-05-31;VIII del Bio-Bio;Talcahuano
341;contaminacion del aire;49.31;2010-05-24;IX de La Araucania;Puren
342;ruido;3.39;2010-04-26;Metropolitana de Santiago;San Miguel
343;plagas;26.35;2016-06-14;Metropolitana de Santiago;La Reina
344;ruido;2.76;1998-05-08;VI del Libertador General Bernardo O'Higgins;Rancagua
345;mal olor;33.67;1971-04-04;XII de Magallanes y de La Antartica Chilena;Cabo de Hornos
346;contaminacion de agua;6.63;2017-07-19;VI del Libertador General Bernardo O'Higgins;Santa Cruz
347;contaminacion de agua;7.19;2015-08-27;X de Los Lagos;Queilen
348;contaminacion de la cadena trofica;0.77;1982-06-22;IX de La Araucania;Pucon
349;contaminacion de agua;20.65;2007-12-13;VII del Maule;Chanco
350;plagas;17.57;2012-02-25;Metropolitana de Santiago;Peñaflor
351;mal olor;10.97;2016-12-26;Metropolitana de Santiago;Renca
352;contaminacion de suelo;4.51;2017-07-19;VI del Libertador General Bernardo O'Higgins;Pichilemu
353;plagas;39.22;2016-11-30;VIII del Bio-Bio;Curanilahue
354;plagas;24.5;1969-11-21;IX de La Araucania;Temuco
355;contaminacion de agua;4.66;2007-04-10;II de Antofagasta;Sierra Gorda
356;destruccion del medio ambiente;31.18;2014-11-20;IX de La Araucania;Teodoro Schmidt
357;contaminacion de suelo;1.42;1985-10-25;IX de La Araucania;Temuco
