latitud;longitud;region;comuna
-2.522.791.263;-7.184.278.768;VI del Libertador General Bernardo O'Higgins;Codegua
-4.577.912.208;-7.046.570.244;XV de Arica y Parinacota;Camarones
-2.478.193.519;-6.905.397.424;I de Tarapaca;Pica
-233.210.794;-6.903.344.193;I de Tarapaca;Pica
-4.232.243.113;-7.180.459.968;IV de Coquimbo;Monte Patria
-5.310.318.907;-7.005.907.216;II de Antofagasta;Antofagasta
-4.765.017.997;-6.983.986.866;I de Tarapaca;Colchane
-5.488.657.627;-695.041.496;I de Tarapaca;Alto Hospicio
-4.282.090.275;-6.976.150.537;II de Antofagasta;San Pedro de Atacama
-4.507.676.689;-718.082.965;III de Atacama;Diego de Almagro
-2.313.717.068;-6.995.653.874;II de Antofagasta;Antofagasta
-428.435.721;-7.119.728.748;II de Antofagasta;Mejillones
-282.179.559;-7.150.560.249;II de Antofagasta;Mejillones
-4.785.400.498;-711.090.181;II de Antofagasta;Sierra Gorda
-4.888.509.748;-6.913.073.419;I de Tarapaca;Camiña
-4.969.909.901;-7.285.156.322;Metropolitana de Santiago;San Pedro
-2.466.738.408;-7.318.711.546;V de Valparaiso;Villa Alemana
-184.703.499;-6.872.721.423;II de Antofagasta;Tocopilla
-3.424.063.231;-7.260.813.666;IV de Coquimbo;Coquimbo
-2.731.596.891;-7.096.487.997;III de Atacama;Diego de Almagro
-4.953.720.632;-7.244.283.924;Metropolitana de Santiago;San Pedro
-5.041.748.466;-7.136.958.532;III de Atacama;Alto del Carmen
-288.698.376;-746.328.144;VIII del Bio-Bio;Yumbel
-1.813.731.948;-7.345.570.689;VIII del Bio-Bio;Santa Barbara
-461.401.754;-7.039.165.648;II de Antofagasta;Ollague
-3.796.750.025;-6.952.267.617;XV de Arica y Parinacota;Arica
-2.466.135.957;-7.179.570.962;III de Atacama;Vallenar
-4.570.169.924;-7.252.887.097;III de Atacama;Diego de Almagro
-3.202.967.643;-7.226.932.097;III de Atacama;Tierra Amarilla
-3.462.424.827;-7.077.212.716;II de Antofagasta;Maria Elena
-530.118.099;-7.074.491.312;II de Antofagasta;Ollague
-2.695.566.592;-7.062.948.214;III de Atacama;Copiapo
-3.406.870.467;-692.587.778;II de Antofagasta;Sierra Gorda
-4.136.405.867;-7.288.275.487;Metropolitana de Santiago;Padre Hurtado
-1.705.555.729;-7.125.546.485;II de Antofagasta;Taltal
-2.374.250.416;-725.780.991;III de Atacama;Vallenar
-4.180.840.469;-7.092.042.281;III de Atacama;Alto del Carmen
-4.720.766.107;-6.938.848.421;I de Tarapaca;Colchane
-208.146.013;-7.343.119.955;XII de Magallanes y de la Antartica Chilena;Natales
-4.390.538.222;-6.793.186.104;I de Tarapaca;Alto Hospicio
-4.504.730.088;-686.226.631;XV de Arica y Parinacota;General Lagos
-3.131.565.918;-7.012.268.731;II de Antofagasta;Calama
-3.103.868.479;-6.942.270.489;II de Antofagasta;Ollague
-348.080.603;-6.973.821.998;II de Antofagasta;Sierra Gorda
-2.241.636.966;-7.269.038.964;III de Atacama;Huasco
-3.514.139.984;-7.235.758.798;IV de Coquimbo;Illapel
-4.648.103.337;-7.046.400.352;II de Antofagasta;Calama
-2.454.405.253;-7.211.803.136;Metropolitana de Santiago;Curacavi
-1.788.031.716;-7.002.811.716;I de Tarapaca;Pozo Almonte
-4.880.221.815;-7.295.778.926;VIII del Bio-Bio;Alto Biobio
-3.882.480.482;-7.158.608.915;III de Atacama;Diego de Almagro
-4.671.477.133;-7.179.620.512;II de Antofagasta;Ollague
-2.366.594.089;-6.843.100.801;I de Tarapaca;Iquique
-4.035.185.122;-7.280.959.953;V de Valparaiso;Casablanca
-4.712.542.695;-7.206.503.108;II de Antofagasta;Sierra Gorda
-3.714.424.689;-7.254.907.999;XII de Magallanes y de la Antartica Chilena;Cabo de Hornos
-2.735.831.322;-7.208.958.712;III de Atacama;Chañaral
-3.453.425.139;-7.413.740.142;XII de Magallanes y de la Antartica Chilena;Timaukel
-4.318.864.931;-7.099.239.316;I de Tarapaca;Pica
-3.053.557.678;-7.102.260.317;III de Atacama;Alto del Carmen
-4.656.347.763;-6.872.332.298;XV de Arica y Parinacota;General Lagos
-4.538.971.199;-6.986.726.192;II de Antofagasta;Mejillones
-3.116.445.081;-6.837.160.087;I de Tarapaca;Huara
-2.674.654.065;-7.042.299.346;III de Atacama;Chañaral
-3.294.742.502;-7.376.307.958;VI del Libertador General Bernardo O'Higgins;Rancagua
-5.009.388.595;-6.848.847.426;I de Tarapaca;Pozo Almonte
-5.365.404.297;-7.326.718.516;VIII del Bio-Bio;Tucapel
-5.133.607.506;-7.189.800.211;IV de Coquimbo;La Higuera
-538.656.465;-7.279.450.762;VIII del Bio-Bio;Tucapel
-4.390.888.808;-744.424.349;VIII del Bio-Bio;San Rosendo
-2.407.761.632;-7.352.356.648;V de Valparaiso;Juan Fernandez
-5.129.783.946;-7.150.237.003;III de Atacama;Freirina
-5.043.770.014;-7.362.178.091;Metropolitana de Santiago;Alhue
-2.172.358.876;-7.386.217.581;XI de Aysen del General Carlos Ibañez del Campo;Rio Ibañez
-4.695.808.708;-7.109.731.439;II de Antofagasta;Maria Elena
-2.492.641.372;-7.263.476.081;XII de Magallanes y de la Antartica Chilena;Rio Verde
-4.190.476.211;-7.140.707.744;II de Antofagasta;Tocopilla
-4.912.840.071;-6.906.715.874;II de Antofagasta;Mejillones
-5.184.366.508;-7.145.974.926;III de Atacama;Copiapo
-4.025.595.432;-711.296.847;II de Antofagasta;San Pedro de Atacama
-1.896.674.942;-7.266.627.876;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
-2.902.393.516;-7.358.812.257;V de Valparaiso;Quintero
-3.683.268.638;-7.112.683.534;II de Antofagasta;Sierra Gorda
-4.593.308.769;-7.027.512.236;XV de Arica y Parinacota;Putre
-487.080.749;-6.902.837.929;I de Tarapaca;Camiña
-2.685.917.867;-7.127.095.578;III de Atacama;Chañaral
-5.073.155.899;-7.152.095.482;III de Atacama;Copiapo
-1.889.524.832;-736.547.943;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
-2.650.692.326;-6.923.982.757;III de Atacama;Copiapo
-2.275.120.305;-7.371.128.663;XI de Aysen del General Carlos Ibañez del Campo;Rio Ibañez
-186.558.614;-7.075.718.455;II de Antofagasta;Calama
-5.034.084.038;-6.996.995.666;II de Antofagasta;Ollague
-5.405.804.052;-7.216.371.161;III de Atacama;Copiapo
-2.455.756.186;-7.409.087.615;VII del Maule;Los Alamos
-1.825.662.271;-6.948.914.967;I de Tarapaca;Pozo Almonte
-298.906.932;-7.236.810.449;III de Atacama;Chañaral
-3.723.816.728;-7.443.611.003;XIV de Los Rios;Rio Bueno
-4.258.984.705;-7.193.645.833;VII del Maule;Tirua
-3.643.390.516;-6.929.986.234;II de Antofagasta;Calama
-4.575.448.464;-7.064.443.925;XV de Arica y Parinacota;Putre
-4.118.509.248;-708.563.711;III de Atacama;Alto del Carmen
-2.816.579.053;-7.453.948.987;XII de Magallanes y de la Antartica Chilena;San Gregorio
-3.482.987.584;-7.210.349.722;IV de Coquimbo;Coquimbo
-467.411.032;-7.000.575.467;I de Tarapaca;Camiña
-5.281.944.746;-7.019.279.546;II de Antofagasta;Antofagasta
-2.332.492.091;-6.826.543.116;I de Tarapaca;Iquique
-2.046.904.993;-7.409.165.819;Metropolitana de Santiago;Maria Pinto
-446.798.846;-6.882.300.689;I de Tarapaca;Alto Hospicio
-4.273.855.109;-7.085.971.668;II de Antofagasta;Tocopilla
-3.174.765.126;-7.325.186.772;IV de Coquimbo;Rio Hurtado
-4.642.174.025;-7.418.435.217;VII del Maule;Cañete
-4.578.367.424;-7.538.032.149;XII de Magallanes y de la Antartica Chilena;Antartica
-5.554.343.624;-6.983.053.791;I de Tarapaca;Alto Hospicio
-4.808.224.171;-7.304.903.485;VII del Maule;Contulmo
-4.087.226.832;-7.221.115.048;IV de Coquimbo;Monte Patria
-2.997.956.124;-7.196.526.653;III de Atacama;Alto del Carmen
-2.459.414.909;-7.268.571.232;V de Valparaiso;Juan Fernandez
-5.280.292.319;-6.987.682.299;II de Antofagasta;Ollague
-4.321.815.285;-7.307.526.943;IV de Coquimbo;Ovalle
-4.539.717.876;-7.382.516.204;VIII del Bio-Bio;San Rosendo
-4.373.148.185;-6.937.467.027;I de Tarapaca;Alto Hospicio
-3.931.051.311;-7.078.321.928;II de Antofagasta;San Pedro de Atacama
-4.502.954.045;-6.847.397.968;XV de Arica y Parinacota;General Lagos
-4.676.871.429;-734.125.935;V de Valparaiso;Valparaiso
-2.909.239.262;-7.452.918.534;XII de Magallanes y de la Antartica Chilena;San Gregorio
-5.347.278.162;-7.354.103.596;V de Valparaiso;Puchuncavi
-3.537.694.761;-7.153.827.676;IV de Coquimbo;Illapel
-4.556.787.716;-6.774.744.981;XV de Arica y Parinacota;General Lagos
-2.357.398.446;-7.200.715.791;Metropolitana de Santiago;Curacavi
-2.241.457.701;-6.934.907.021;II de Antofagasta;Antofagasta
-4.940.819.843;-7.344.452.398;XII de Magallanes y de la Antartica Chilena;Primavera
-5.406.178.027;-7.036.594.979;II de Antofagasta;Taltal
-5.416.098.596;-7.344.295.806;IV de Coquimbo;Vicuña
-3.917.132.517;-7.207.184.672;III de Atacama;Diego de Almagro
-45.841.688;-7.424.113.967;V de Valparaiso;Valparaiso
-3.049.560.682;-7.322.249.931;III de Atacama;Chañaral
-1.847.051.602;-7.013.306.378;III de Atacama;Chañaral
-3.339.907.535;-736.965.027;VI del Libertador General Bernardo O'Higgins;Rancagua
-226.316.032;-6.988.975.164;II de Antofagasta;Sierra Gorda
-3.041.079.413;-7.228.140.068;III de Atacama;Chañaral
-4.415.489.593;-7.361.271.333;IV de Coquimbo;Ovalle
-3.720.283.556;-7.369.478.663;V de Valparaiso;Concon
-3.116.089.173;-7.089.554.656;III de Atacama;Tierra Amarilla
-5.410.836.128;-7.254.131.209;IV de Coquimbo;Vicuña
-3.940.655.928;-7.312.322.375;IV de Coquimbo;Canela
-3.063.543.452;-6.832.490.076;II de Antofagasta;Taltal
-3.329.786.746;-720.236.178;II de Antofagasta;Sierra Gorda
-4.748.083.996;-6.978.816.034;I de Tarapaca;Camiña
-3.210.812.979;-7.410.672.937;VI del Libertador General Bernardo O'Higgins;Rancagua
-4.549.644.381;-7.614.144.442;XII de Magallanes y de la Antartica Chilena;Antartica
-2.972.839.455;-7.102.219.486;II de Antofagasta;Maria Elena
-4.675.384.618;-7.152.360.501;IV de Coquimbo;Combarbala
-4.553.392.116;-7.480.555.265;XII de Magallanes y de la Antartica Chilena;Antartica
-247.683.369;-718.845.958;VI del Libertador General Bernardo O'Higgins;Codegua
-4.517.052.541;-6.998.027.157;XV de Arica y Parinacota;Putre
-4.182.457.563;-7.004.926.654;III de Atacama;Alto del Carmen
-4.759.593.324;-7.236.669.104;III de Atacama;Vallenar
-3.811.993.762;-7.060.047.994;II de Antofagasta;Sierra Gorda
-5.089.317.516;-6.980.606.347;I de Tarapaca;Colchane
-3.854.033.002;-7.139.594.038;IV de Coquimbo;Salamanca
-5.164.844.751;-7.030.809.486;II de Antofagasta;Ollague
-2.283.237.098;-7.219.113.554;IV de Coquimbo;Punitaqui
-2.929.631.515;-7.379.609.293;V de Valparaiso;Quintero
-4.675.649.659;-696.195.718;II de Antofagasta;Mejillones
-4.584.541.746;-7.250.348.538;III de Atacama;Huasco
-2.051.543.241;-7.421.582.041;XII de Magallanes y de la Antartica Chilena;Natales
-5.106.075.258;-7.425.340.939;Metropolitana de Santiago;Alhue
-3.344.505.908;-7.221.041.226;II de Antofagasta;Antofagasta
-4.310.144.946;-7.268.829.782;VII del Maule;Tirua
-3.766.461.088;-7.062.854.518;II de Antofagasta;Sierra Gorda
-2.378.497.286;-7.187.950.768;Metropolitana de Santiago;Curacavi
-2.397.880.405;-7.325.941.333;XII de Magallanes y de la Antartica Chilena;Rio Verde
-4.257.570.453;-6.951.443.977;II de Antofagasta;Antofagasta
-3.430.260.501;-7.207.558.777;II de Antofagasta;Antofagasta
-2.361.028.685;-7.234.481.198;XIV de Los Rios;Panguipulli
-5.113.728.473;-7.303.610.548;XII de Magallanes y de la Antartica Chilena;Laguna Blanca
-2.265.293.536;-7.066.180.792;II de Antofagasta;Sierra Gorda
-3.058.149.323;-6.853.531.036;I de Tarapaca;Huara
-1.796.384.615;-7.333.109.039;VIII del Bio-Bio;Santa Barbara
-3.890.344.507;-6.846.931.075;XV de Arica y Parinacota;Arica
-4.626.421.645;-721.887.842;IV de Coquimbo;La Serena
-1.905.572.733;-701.235.245;I de Tarapaca;Pozo Almonte
-4.392.126.064;-7.025.055.601;I de Tarapaca;Pica
-5.258.694.562;-6.953.267.975;II de Antofagasta;Ollague
-3.214.490.051;-7.002.574.064;III de Atacama;Tierra Amarilla
-4.230.241.952;-724.703.344;VII del Maule;Tirua
-297.891.032;-6.888.677.317;II de Antofagasta;San Pedro de Atacama
-371.680.669;-7.199.358.865;III de Atacama;Caldera
-4.602.318.735;-7.231.154.556;IV de Coquimbo;La Serena
-5.031.195.952;-7.041.277.162;II de Antofagasta;Ollague
-454.454.804;-6.966.660.029;XV de Arica y Parinacota;Putre
-1.704.318.272;-7.471.887.529;XII de Magallanes y de la Antartica Chilena;Porvenir
-5.547.742.963;-7.028.823.355;I de Tarapaca;Alto Hospicio
-1.952.616.206;-6.996.478.385;II de Antofagasta;Calama
-5.083.989.176;-7.362.680.698;Metropolitana de Santiago;Alhue
-2.398.766.982;-7.231.728.235;II de Antofagasta;Tocopilla
-2.574.654.418;-7.232.445.062;VI del Libertador General Bernardo O'Higgins;Codegua
-5.392.453.577;-7.107.589.986;II de Antofagasta;Taltal
-4.689.029.091;-7.091.828.549;IV de Coquimbo;Combarbala
-3.124.773.185;-7.337.599.763;Metropolitana de Santiago;Isla de Maipo
-224.076.122;-6.904.604.462;I de Tarapaca;Iquique
-3.889.603.639;-7.287.012.397;IV de Coquimbo;Paiguano
-2.271.390.651;-7.005.634.205;II de Antofagasta;Sierra Gorda
-4.694.661.338;-721.569.849;III de Atacama;Vallenar
-4.546.401.685;-7.092.528.827;I de Tarapaca;Camiña
-2.194.825.924;-7.405.111.571;XI de Aysen del General Carlos Ibañez del Campo;Rio Ibañez
-4.691.888.967;-6.886.531.922;I de Tarapaca;Colchane
-4.784.204.942;-6.903.536.409;I de Tarapaca;Colchane
-4.936.704.952;-6.943.572.153;II de Antofagasta;Mejillones
-4.015.613.517;-7.348.525.548;V de Valparaiso;Casablanca
-2.063.235.417;-7.330.770.741;Metropolitana de Santiago;Maria Pinto
-4.460.997.938;-748.371.451;XII de Magallanes y de la Antartica Chilena;Punta Arenas
-5.071.227.996;-7.128.340.564;III de Atacama;Freirina
-3.360.469.188;-740.102.517;IV de Coquimbo;Los Vilos
-2.524.011.737;-7.281.762.993;XIV de Los Rios;Panguipulli
-4.538.138.189;-7.064.325.644;II de Antofagasta;Maria Elena
-3.229.399.007;-6.903.379.064;I de Tarapaca;Huara
-4.627.776.541;-6.997.186.244;II de Antofagasta;Mejillones
-3.548.098.221;-711.905.625;IV de Coquimbo;Coquimbo
-260.446.954;-7.404.301.221;VII del Maule;Los Alamos
-2.351.683.606;-7.225.654.139;IV de Coquimbo;Punitaqui
-1.580.399.679;-7.097.515.952;II de Antofagasta;Taltal
-4.766.448.994;-7.342.405.483;VIII del Bio-Bio;Alto Biobio
-4.598.702.795;-7.143.452.191;II de Antofagasta;Calama
-3.830.897.238;-718.913.141;III de Atacama;Caldera
-2.306.057.125;-7.179.959.903;III de Atacama;Huasco
-4.887.088.641;-6.969.011.616;II de Antofagasta;Mejillones
-1.740.821.544;-7.388.095.802;Metropolitana de Santiago;Talagante
-3.373.365.319;-7.020.110.685;II de Antofagasta;Taltal
-2.155.807.674;-684.005.989;II de Antofagasta;Antofagasta
-2.616.436.623;-7.002.406.051;III de Atacama;Copiapo
-3.939.264.851;-7.093.554.426;II de Antofagasta;San Pedro de Atacama
-3.433.874.333;-7.015.395.928;II de Antofagasta;Taltal
-5.341.162.037;-6.957.491.598;II de Antofagasta;Tocopilla
-3.866.487.599;-7.303.103.802;IV de Coquimbo;Paiguano
-4.502.246.855;-7.549.329.275;XII de Magallanes y de la Antartica Chilena;Punta Arenas
-3.651.659.763;-7.305.176.744;XII de Magallanes y de la Antartica Chilena;Cabo de Hornos
-3.215.450.946;-7.167.009.816;III de Atacama;Tierra Amarilla
-4.980.974.272;-7.315.258.443;XII de Magallanes y de la Antartica Chilena;Primavera
-1.820.712.344;-7.024.368.891;III de Atacama;Huasco
-1.895.193.054;-7.032.171.306;III de Atacama;Chañaral
-5.294.103;-7.393.599.634;VIII del Bio-Bio;Tucapel
-2.407.753.673;-7.166.921.793;II de Antofagasta;Tocopilla
-1.762.297.702;-7.380.370.682;XII de Magallanes y de la Antartica Chilena;Porvenir
-4.643.216.631;-7.049.138.637;II de Antofagasta;Mejillones
-4.906.597.315;-681.586.654;I de Tarapaca;Camiña
-5.114.222.733;-7.051.192.856;III de Atacama;Tierra Amarilla
-3.225.602.205;-7.370.938.746;IV de Coquimbo;Rio Hurtado
-5.476.566.051;-7.009.450.066;II de Antofagasta;Tocopilla
-4.093.401.642;-7.091.297.411;II de Antofagasta;San Pedro de Atacama
-5.134.889.643;-717.560.449;IV de Coquimbo;Andacollo
-521.926.009;-7.002.288.822;II de Antofagasta;Ollague
-2.432.664.962;-7.357.833.754;V de Valparaiso;Villa Alemana
-4.599.004.483;-6.984.882.794;XV de Arica y Parinacota;Camarones
-3.262.408.895;-697.066.942;III de Atacama;Tierra Amarilla
-3.660.213.838;-6.967.858.338;II de Antofagasta;Calama
-4.305.898.659;-6.861.561.527;I de Tarapaca;Alto Hospicio
-1.675.485.413;-7.116.848.181;III de Atacama;Vallenar
-5.375.776.763;-7.128.707.576;III de Atacama;Copiapo
-385.166.006;-7.130.822.182;IV de Coquimbo;Salamanca
-4.675.479.779;-7.115.166.944;II de Antofagasta;Ollague
-3.991.924.724;-7.330.630.723;IV de Coquimbo;Canela
-5.359.601.847;-7.448.174.488;V de Valparaiso;Puchuncavi
-4.036.010.157;-7.297.417.772;V de Valparaiso;Casablanca
-4.970.049.363;-6.828.510.012;I de Tarapaca;Camiña
-5.086.661.529;-7.095.263.054;II de Antofagasta;Ollague
-5.066.032.276;-6.903.531.431;I de Tarapaca;Pozo Almonte
-4.776.020.288;-7.015.008.743;II de Antofagasta;Maria Elena
-2.927.055.799;-7.038.725.328;III de Atacama;Freirina
-1.770.796.623;-7.370.450.394;Metropolitana de Santiago;Talagante
-3.532.999.827;-7.200.211.361;II de Antofagasta;Maria Elena
-3.771.621.836;-7.231.495.104;III de Atacama;Caldera
-3.276.764.967;-7.147.415.533;II de Antofagasta;Sierra Gorda
-3.956.394.284;-6.975.223.962;III de Atacama;Caldera
-5.155.577.341;-6.868.117.893;I de Tarapaca;Pozo Almonte
-5.195.141.748;-7.122.207.609;III de Atacama;Tierra Amarilla
-3.177.103.906;-7.145.606.195;III de Atacama;Tierra Amarilla
-299.037.532;-6.920.477.898;II de Antofagasta;San Pedro de Atacama
-3.891.178.905;-7.173.239.195;VII del Maule;Curanilahue
-1.909.271.584;-6.947.178.711;II de Antofagasta;Tocopilla
-3.969.256.421;-7.314.064.804;IV de Coquimbo;Canela
-5.473.005.883;-7.054.483.001;I de Tarapaca;Alto Hospicio
-2.476.562.075;-7.372.311.695;V de Valparaiso;Villa Alemana
-5.490.481.689;-7.299.829.869;IV de Coquimbo;Vicuña
-4.859.547.852;-7.378.895.577;VIII del Bio-Bio;Alto Biobio
-3.918.346.766;-6.782.215.525;XV de Arica y Parinacota;Arica
-2.018.310.356;-6.991.162.467;II de Antofagasta;Calama
-4.680.526.688;-7.117.699.473;II de Antofagasta;Mejillones
-445.237.386;-7.367.953.291;VIII del Bio-Bio;San Rosendo
