numero;causa contaminante;area influencia (kms);fecha apertura;region de tramitacion;comuna de tramitacion
25264-2574-LK;contaminacion del aire;34.46;29-10-1999;IX de La Araucania;Carahue
31926-21178-EB;contaminacion de suelo;28.58;13-12-2008;IX de La Araucania;Pitrufquen
75887-7992-FG;contaminacion de suelo;27.7;17-11-1990;VII del Maule;San Clemente
6084-94035-EK;destruccion del medio ambiente;23.85;11-12-2004;X de Los Lagos;Quemchi
87965-7162-MB;contaminacion del aire;3.38;22-11-2012;VII del Maule;San Rafael
84505-25280-OE;ruido;4.68;08-12-2003;VII del Maule;Colbun
80263-91423-JK;contaminacion de agua;27.09;07-07-1974;V de Valparaiso;Cabildo
59400-50499-AL;radiacion;34.41;07-01-1991;V de Valparaiso;Los Andes
35920-79778-IJ;ruido;1.9;17-08-1994;VI del Libertador General Bernardo O'Higgins;Peumo
6950-31233-BM;destruccion del medio ambiente;29.99;09-01-1998;VI del Libertador General Bernardo O'Higgins;Las Cabras
23974-56394-KG;destruccion del medio ambiente;25.06;26-11-2009;X de Los Lagos;Puerto Varas
74438-67958-OM;ruido;48.48;13-02-2003;VI del Libertador General Bernardo O'Higgins;Lolol
98051-99970-KB;contaminacion de suelo;8.25;07-01-1976;VI del Libertador General Bernardo O'Higgins;Marchihue
11282-90991-EA;contaminacion del aire;21.06;30-01-2019;Metropolitana de Santiago;San Ramon
18823-87464-II;contaminacion del aire;22.92;22-12-2018;X de Los Lagos;Frutillar
62893-84561-HA;contaminacion del aire;34.19;18-06-2010;XVI de Ñuble;Pinto
68602-75315-MD;contaminacion de la cadena trofica;36.45;24-07-2006;VII del Maule;Maule
8990-98288-HM;contaminacion de la cadena trofica;26.05;09-01-1958;III de Atacama;Vallenar
71431-81235-HM;contaminacion de la cadena trofica;10.54;06-07-2014;VI del Libertador General Bernardo O'Higgins;Coltauco
75740-71991-BI;destruccion del medio ambiente;31.1;22-09-1979;VIII del Bio-Bio;Tome
36229-99833-LA;mal olor;47.14;30-12-1996;VI del Libertador General Bernardo O'Higgins;Malloa
1381-4766-FB;contaminacion de la cadena trofica;23.72;28-04-1992;Metropolitana de Santiago;Isla de Maipo
48173-64138-BI;ruido;22.64;22-12-2017;Metropolitana de Santiago;Lo Espejo
84593-9887-DF;mal olor;7.35;02-10-1992;VIII del Bio-Bio;Contulmo
26874-39768-NG;contaminacion de suelo;42;16-12-1991;XII de Magallanes y de La Antartica Chilena;San Gregorio
47931-32842-LM;contaminacion del aire;21.27;16-10-1983;Metropolitana de Santiago;Renca
88112-12976-BF;radiacion;36.98;20-12-1990;V de Valparaiso;Panquehue
67378-80654-OO;radiacion;21.78;04-09-2013;Metropolitana de Santiago;Maipu
31569-97764-ID;contaminacion del aire;5.53;18-05-1989;VIII del Bio-Bio;Nacimiento
51931-4621-AL;destruccion del medio ambiente;46.47;20-06-1986;VI del Libertador General Bernardo O'Higgins;Pichidegua
82821-9653-IL;contaminacion de suelo;3.17;03-11-2017;VI del Libertador General Bernardo O'Higgins;Olivar
54678-7991-BD;contaminacion del aire;24.36;21-10-2016;Metropolitana de Santiago;Lo Prado
19015-83580-IH;contaminacion de agua;12.91;11-05-2000;II de Antofagasta;Calama
39136-17233-HN;destruccion del medio ambiente;2.03;31-01-2004;VI del Libertador General Bernardo O'Higgins;Graneros
88483-42850-OL;contaminacion del aire;32.83;24-04-2019;VII del Maule;Retiro
91451-79426-HN;contaminacion de la cadena trofica;32.88;11-05-2004;IX de La Araucania;Saavedra
24664-97780-FO;ruido;44.29;26-07-2019;X de Los Lagos;Maullin
73886-44546-MF;radiacion;18.95;08-01-1978;Metropolitana de Santiago;Tiltil
97192-64062-AO;contaminacion de agua;10.02;08-11-2000;XVI de Ñuble;San Ignacio
15045-27259-FJ;mal olor;27.14;19-05-2007;VIII del Bio-Bio;Los Alamos
2515-70419-BK;contaminacion del aire;42.8;11-02-2019;X de Los Lagos;Futaleufu
2822-26741-BG;contaminacion de agua;47.4;20-05-2011;Metropolitana de Santiago;Peñalolen
74086-28599-NL;radiacion;39.98;10-08-2011;VII del Maule;Hualañe
87206-56691-GM;radiacion;44.2;08-01-2006;I de Tarapaca;Iquique
67907-91471-JI;contaminacion de la cadena trofica;12.59;30-04-2008;XVI de Ñuble;Ninhue
27527-47716-IK;radiacion;33.31;30-03-1994;Metropolitana de Santiago;Alhue
44493-60653-BO;plagas;12.24;16-12-1967;III de Atacama;Diego de Almagro
65366-46587-EL;mal olor;36.85;15-07-2016;VIII del Bio-Bio;Chiguayante
87180-19666-IF;radiacion;11.57;13-07-2019;IX de La Araucania;Freire
99939-68279-JF;contaminacion de la cadena trofica;9.02;01-07-2017;XII de Magallanes y de La Antartica Chilena;Laguna Blanca
72733-88690-FH;ruido;17.49;25-04-2017;VII del Maule;San Rafael
33426-96929-BL;ruido;10.11;03-02-2002;VI del Libertador General Bernardo O'Higgins;Chimbarongo
91055-2425-AN;contaminacion de la cadena trofica;3.42;21-05-2008;V de Valparaiso;Calera
314-8182-HI;contaminacion de la cadena trofica;3.57;07-03-2010;IV de Coquimbo;Salamanca
74539-38234-JK;radiacion;16.54;14-01-2014;X de Los Lagos;Palena
42300-42306-GD;contaminacion de agua;35.37;09-11-1993;XV de Arica y Parinacota;Camarones
99914-80641-FK;contaminacion de agua;39.61;31-12-1984;IX de La Araucania;Lonquimay
84184-36811-OM;ruido;19.92;12-05-2015;XIV de Los Rios;Futrono
93640-42901-JL;mal olor;40.86;10-04-2006;XIV de Los Rios;Futrono
23813-70951-DA;contaminacion de agua;44.26;24-02-2016;X de Los Lagos;Quinchao
13715-63027-LB;destruccion del medio ambiente;28.5;22-07-2003;X de Los Lagos;Quellon
64706-42638-JA;ruido;48.83;28-08-1982;V de Valparaiso;Villa Alemana
40424-47863-HD;radiacion;24.66;07-12-2017;VII del Maule;Pelarco
35774-44847-IM;radiacion;24.12;14-09-1979;XII de Magallanes y de La Antartica Chilena;Rio Verde
48395-29381-BE;contaminacion de la cadena trofica;27.21;03-09-1969;I de Tarapaca;Pozo Almonte
6039-46278-DM;contaminacion de suelo;11.53;14-11-1993;X de Los Lagos;Llanquihue
4395-52016-DM;radiacion;41.32;28-12-2001;VII del Maule;Pencahue
73534-90231-HI;contaminacion de la cadena trofica;24.35;08-01-1996;V de Valparaiso;Llaillay
49811-4830-BB;ruido;44.09;06-12-2017;VIII del Bio-Bio;Santa Juana
84778-14286-BI;radiacion;10.12;19-01-1969;VII del Maule;Pelarco
17580-89623-OM;contaminacion de la cadena trofica;31.48;29-12-1973;Metropolitana de Santiago;Maipu
15489-36709-BL;contaminacion de agua;20.77;29-05-2018;Metropolitana de Santiago;Lo Prado
52703-52793-AN;contaminacion de la cadena trofica;29.95;09-09-1970;X de Los Lagos;Purranque
74694-31348-GD;contaminacion de la cadena trofica;22.26;25-03-2009;V de Valparaiso;Rinconada
52284-16837-NN;contaminacion de la cadena trofica;30.34;14-09-2004;XV de Arica y Parinacota;Arica
54956-80049-BJ;contaminacion de la cadena trofica;21;18-03-2004;XIV de Los Rios;Futrono
51783-24718-HB;contaminacion de la cadena trofica;40.81;11-08-2014;VII del Maule;Colbun
15484-55884-AB;contaminacion del aire;3.69;03-02-2000;VIII del Bio-Bio;Laja
44898-65648-NL;mal olor;23.11;12-09-1999;XIV de Los Rios;Futrono
24000-80875-LO;contaminacion del aire;27.5;02-11-2010;X de Los Lagos;Maullin
40730-73518-GG;contaminacion de suelo;49.86;05-04-2016;IV de Coquimbo;Punitaqui
47842-38319-FL;ruido;1.44;24-05-2006;VI del Libertador General Bernardo O'Higgins;Palmilla
70840-46159-IA;destruccion del medio ambiente;5.34;22-04-1995;Metropolitana de Santiago;Lo Prado
95619-82163-MF;plagas;18.09;06-07-1990;VIII del Bio-Bio;Penco
36328-56110-OF;contaminacion de suelo;42.11;16-01-2016;X de Los Lagos;Queilen
77044-72351-BI;contaminacion de agua;45.62;03-11-2010;IV de Coquimbo;Illapel
36292-25733-IJ;contaminacion de suelo;31.41;27-03-2017;VIII del Bio-Bio;Cabrero
74461-72782-EB;contaminacion de agua;17.98;27-11-2007;IX de La Araucania;Nueva Imperial
16503-37302-BD;ruido;25.83;01-05-1996;V de Valparaiso;El Tabo
772-77603-DB;mal olor;29.47;23-11-1973;VII del Maule;Chanco
18642-73174-BB;radiacion;9.65;04-09-2015;VI del Libertador General Bernardo O'Higgins;Las Cabras
17228-3064-MM;mal olor;17.04;23-01-2012;VIII del Bio-Bio;Nacimiento
27069-62591-KF;destruccion del medio ambiente;6.31;12-04-2011;VIII del Bio-Bio;Cañete
27015-10665-IE;contaminacion de suelo;48.48;10-11-2008;V de Valparaiso;Cabildo
43955-80754-BH;contaminacion de suelo;43.54;07-11-1984;VII del Maule;Hualañe
46089-64886-FD;plagas;36.74;04-06-1991;VI del Libertador General Bernardo O'Higgins;La Estrella
3745-30024-FG;ruido;29.23;04-12-2012;Metropolitana de Santiago;Lo Espejo
77927-41652-AE;destruccion del medio ambiente;19.9;28-10-2018;X de Los Lagos;Rio Negro
30984-62661-BH;contaminacion del aire;46.2;30-09-2015;VII del Maule;Constitucion
99473-82631-BE;radiacion;31.19;14-08-2019;VII del Maule;Rauco
46312-65664-OI;contaminacion de agua;30.57;06-10-2015;VII del Maule;Colbun
90429-36681-LM;destruccion del medio ambiente;36.72;17-08-2009;VI del Libertador General Bernardo O'Higgins;Peralillo
56670-69690-NE;destruccion del medio ambiente;39.69;25-08-2017;IX de La Araucania;Melipeuco
94976-35914-BB;plagas;12.03;26-07-1991;VII del Maule;Romeral
53700-56432-IB;mal olor;20.09;03-06-2008;XI de Aysen del General Carlos Ibañez del Campo;Tortel
23502-8803-NH;contaminacion de la cadena trofica;49.09;18-05-2018;VII del Maule;Licanten
92110-70853-KK;contaminacion del aire;8.69;06-08-1977;VII del Maule;Parral
87920-12322-GM;radiacion;29.79;11-12-2002;Metropolitana de Santiago;San Bernardo
95580-80242-AG;destruccion del medio ambiente;24.51;09-10-2002;IX de La Araucania;Traiguen
17794-88455-NG;contaminacion de suelo;5.94;18-07-2006;Metropolitana de Santiago;Paine
75641-27577-KE;contaminacion de agua;8;17-07-2006;VIII del Bio-Bio;Alto Biobio
11698-17269-GG;ruido;16.33;13-06-2010;X de Los Lagos;Dalcahue
70803-2500-FA;mal olor;39.91;26-07-2019;Metropolitana de Santiago;La Reina
73341-28996-HD;contaminacion de agua;0.4;20-09-1997;VII del Maule;Teno
37724-4760-EE;mal olor;9.85;07-08-2004;IX de La Araucania;Padre Las Casas
29414-34696-KF;plagas;24.67;05-09-2009;Metropolitana de Santiago;Huechuraba
37166-48188-KE;radiacion;36.09;09-04-2018;Metropolitana de Santiago;Vitacura
51806-27866-EI;mal olor;10.36;12-01-1987;IX de La Araucania;Nueva Imperial
76889-13160-GM;contaminacion de agua;4.28;03-03-1990;Metropolitana de Santiago;Macul
83687-78588-BF;destruccion del medio ambiente;42.63;16-08-1995;VII del Maule;Pelarco
40525-27952-FH;ruido;27.09;29-02-2004;VIII del Bio-Bio;Curanilahue
73600-83049-BK;contaminacion del aire;33.95;07-06-2001;XII de Magallanes y de La Antartica Chilena;Timaukel
87079-72213-HH;destruccion del medio ambiente;7.15;26-03-2018;VIII del Bio-Bio;Cabrero
34823-55667-OO;ruido;17.45;19-11-2015;Metropolitana de Santiago;La Florida
95381-11530-GD;contaminacion del aire;45.53;05-10-1990;VIII del Bio-Bio;Negrete
57366-40429-DK;mal olor;3.8;28-08-2017;Metropolitana de Santiago;Las Condes
50662-64907-DB;ruido;5.66;28-08-1987;VIII del Bio-Bio;Quilleco
18261-63848-NB;contaminacion de agua;46.32;07-03-1960;XII de Magallanes y de La Antartica Chilena;Rio Verde
46357-59986-GB;radiacion;37.84;29-06-2009;Metropolitana de Santiago;Providencia
23413-42861-IJ;ruido;41.7;09-10-2009;IX de La Araucania;Curacautin
37480-31228-AO;contaminacion de agua;38.65;28-02-2016;VIII del Bio-Bio;Coronel
29929-85963-DK;contaminacion de la cadena trofica;25.62;07-05-2000;VI del Libertador General Bernardo O'Higgins;Coltauco
25617-27895-FI;contaminacion de suelo;6.31;02-12-2010;Metropolitana de Santiago;Peñaflor
61983-62485-LB;radiacion;45.35;05-07-2013;VI del Libertador General Bernardo O'Higgins;Lolol
28904-6829-DK;radiacion;44.87;03-06-2019;V de Valparaiso;El Tabo
58413-913-LB;radiacion;34.67;31-10-1975;II de Antofagasta;Antofagasta
99665-71158-BK;ruido;40.27;13-08-2009;IV de Coquimbo;Canela
99349-34993-EG;contaminacion de la cadena trofica;18.55;18-02-2010;Metropolitana de Santiago;Maria Pinto
57206-54530-DD;destruccion del medio ambiente;47.29;10-11-1974;III de Atacama;Chañaral
39648-21403-GH;contaminacion de suelo;41.98;26-04-1983;VII del Maule;Pelarco
78898-94927-BN;contaminacion de agua;10.02;29-09-1981;XV de Arica y Parinacota;Camarones
51470-54280-LM;contaminacion de suelo;24.58;01-04-2008;XV de Arica y Parinacota;Camarones
22773-32540-GK;destruccion del medio ambiente;28.38;18-07-2019;VIII del Bio-Bio;Coronel
54323-48069-BB;destruccion del medio ambiente;0.72;24-05-2018;VII del Maule;Curico
92680-33292-ID;plagas;4.86;17-10-2007;V de Valparaiso;Panquehue
54320-63443-IG;contaminacion de agua;45.69;28-12-1971;VII del Maule;Sagrada Familia
25560-62492-IF;plagas;19.13;17-02-2019;II de Antofagasta;Antofagasta
34379-59717-IF;contaminacion de agua;12.41;17-12-2002;X de Los Lagos;Chaiten
48438-89200-AK;contaminacion de suelo;20.52;11-01-2013;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
9647-51110-IB;contaminacion de suelo;43.01;08-04-1971;X de Los Lagos;Maullin
31250-53298-KD;contaminacion de la cadena trofica;11.09;24-01-2019;V de Valparaiso;Quillota
73835-79618-GA;contaminacion de suelo;9.33;24-07-2008;V de Valparaiso;Quintero
84402-80852-OF;contaminacion de agua;19.41;30-10-1988;VI del Libertador General Bernardo O'Higgins;Peumo
19834-44866-KH;mal olor;35.91;13-06-2010;V de Valparaiso;Calle Larga
44711-38611-NI;contaminacion de la cadena trofica;18.37;02-05-1971;XII de Magallanes y de La Antartica Chilena;Primavera
3541-24866-GB;contaminacion de suelo;4.88;29-01-1992;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
83925-22949-MN;contaminacion de la cadena trofica;40.23;09-11-1952;V de Valparaiso;Zapallar
70956-36162-DE;destruccion del medio ambiente;40.5;24-03-2015;VI del Libertador General Bernardo O'Higgins;Palmilla
33429-60129-JB;contaminacion de agua;29.74;24-12-2015;IV de Coquimbo;Illapel
27617-49734-DG;contaminacion del aire;46.14;24-06-2009;XVI de Ñuble;Ninhue
35514-43848-JL;radiacion;5.68;18-07-2002;V de Valparaiso;Cartagena
25251-67670-BJ;plagas;14.71;28-09-2000;Metropolitana de Santiago;San Ramon
56452-53818-KL;mal olor;22.67;08-06-1994;Metropolitana de Santiago;Santiago
74760-34547-AM;destruccion del medio ambiente;13.97;29-06-1980;V de Valparaiso;Puchuncavi
1405-57352-FB;contaminacion de suelo;37.09;14-01-2019;VIII del Bio-Bio;Lebu
85116-30876-JJ;contaminacion de la cadena trofica;7.45;23-12-2004;VIII del Bio-Bio;Chiguayante
79002-3443-MF;radiacion;22.6;07-11-2018;I de Tarapaca;Colchane
73255-18796-LG;plagas;25.27;07-12-2011;X de Los Lagos;Maullin
9382-11896-GJ;ruido;36.93;15-10-2017;VII del Maule;Yerbas Buenas
86035-37342-LK;destruccion del medio ambiente;9.43;24-10-1990;VIII del Bio-Bio;Cañete
13118-46964-NG;radiacion;27.72;16-10-2002;VI del Libertador General Bernardo O'Higgins;San Fernando
55754-40935-JM;contaminacion del aire;20.49;24-03-1953;X de Los Lagos;Osorno
87267-3789-AN;contaminacion de agua;33.84;17-04-2016;VI del Libertador General Bernardo O'Higgins;Placilla
54666-43312-HG;mal olor;18.53;10-10-2007;II de Antofagasta;Taltal
81692-78732-OD;contaminacion de la cadena trofica;3.84;21-02-2019;V de Valparaiso;San Antonio
91497-47373-AM;plagas;32.51;09-10-2010;II de Antofagasta;Sierra Gorda
42899-36013-BK;contaminacion de suelo;23.9;24-11-2012;IX de La Araucania;Pitrufquen
22449-69777-OL;radiacion;19.82;27-11-1966;V de Valparaiso;Cartagena
62769-48316-JL;contaminacion de suelo;17.77;20-06-1980;XIV de Los Rios;Lago Ranco
66157-28678-DB;contaminacion de agua;10.42;14-03-2007;XIV de Los Rios;Futrono
72791-38993-ME;radiacion;4.77;22-01-2018;XVI de Ñuble;Ninhue
46376-64880-NE;contaminacion del aire;15.91;11-02-1991;VII del Maule;Vichuquen
9091-18322-DK;contaminacion del aire;37.57;30-07-1996;IX de La Araucania;Pucon
25126-88571-NL;contaminacion de la cadena trofica;24.48;05-02-1998;Metropolitana de Santiago;Curacavi
20138-63871-AF;contaminacion de suelo;20.11;25-12-2011;VIII del Bio-Bio;Los Alamos
54255-53453-LH;destruccion del medio ambiente;4.88;09-01-2015;II de Antofagasta;San Pedro de Atacama
19104-88446-DE;contaminacion del aire;34.89;03-07-2001;IX de La Araucania;Galvarino
59065-2297-LD;contaminacion de la cadena trofica;14.5;01-12-2011;II de Antofagasta;Maria Elena
65594-17989-BA;ruido;6.72;22-01-2005;IV de Coquimbo;Vicuña
35094-94809-AN;contaminacion de suelo;11.17;12-03-2015;VI del Libertador General Bernardo O'Higgins;Placilla
5606-48994-GG;mal olor;3.71;12-09-2008;IX de La Araucania;Carahue
8832-44419-GO;radiacion;28.69;09-09-2017;II de Antofagasta;Mejillones
40701-75051-OF;mal olor;19.49;13-09-2012;VII del Maule;Vichuquen
99748-88333-OB;contaminacion del aire;33.34;25-10-1983;VIII del Bio-Bio;Quilaco
54278-71074-LM;plagas;0.83;29-11-2011;VIII del Bio-Bio;Cañete
10405-3013-FB;contaminacion del aire;37.27;20-05-1995;XI de Aysen del General Carlos Ibañez del Campo;Cisnes
78658-80170-BA;plagas;16.33;28-02-2003;IX de La Araucania;Cunco
25421-78810-EI;radiacion;16.2;29-04-2002;VI del Libertador General Bernardo O'Higgins;Quinta de Tilcoco
29342-43591-EJ;plagas;6.68;13-07-2013;VII del Maule;Constitucion
81320-70549-ED;plagas;20.9;17-08-1956;VII del Maule;Pelluhue
89035-78027-BK;radiacion;31.97;28-09-1981;Metropolitana de Santiago;Cerrillos
77544-16087-ND;radiacion;35.15;18-03-1994;VI del Libertador General Bernardo O'Higgins;Pichidegua
52271-62239-NA;radiacion;2.15;10-02-1977;XIV de Los Rios;Corral
20917-8392-BH;contaminacion de suelo;20.75;02-07-2018;XVI de Ñuble;Ninhue
49914-18228-EO;mal olor;41.06;02-10-1991;VIII del Bio-Bio;Talcahuano
53092-57870-IK;mal olor;34.44;26-03-2015;VIII del Bio-Bio;Lota
83550-52886-EE;contaminacion de suelo;46.21;08-12-1973;VIII del Bio-Bio;Laja
82175-37613-NA;contaminacion de agua;33.05;09-05-1981;IX de La Araucania;Galvarino
39937-42231-KK;contaminacion de suelo;49.39;23-09-2007;VII del Maule;Constitucion
13731-33823-KG;contaminacion de la cadena trofica;30.7;15-10-1981;VII del Maule;Curico
46636-91960-GI;radiacion;27.65;16-02-1988;VI del Libertador General Bernardo O'Higgins;San Fernando
99131-22394-OE;contaminacion de la cadena trofica;37.92;20-07-2017;XV de Arica y Parinacota;Camarones
81198-14020-OM;contaminacion del aire;31.12;01-11-1986;VI del Libertador General Bernardo O'Higgins;Marchihue
9775-26500-DB;plagas;22.46;26-02-2013;XII de Magallanes y de La Antartica Chilena;Cabo de Hornos
22519-82571-EB;contaminacion de agua;34.03;25-06-1988;V de Valparaiso;San Antonio
75370-89021-KJ;contaminacion de agua;48.69;18-04-2012;VIII del Bio-Bio;Negrete
