Rid;Pid
31569-97764-ID;240862351772541263639293764102661704
51931-4621-AL;921486581509039374869768923816893521447087851141227329349074674532371165306103082565
82821-9653-IL;31069188372980035
54678-7991-BD;1137440296995807641008751793864245301937870393533163127880
19015-83580-IH;117810821357954310891266381
39136-17233-HN;96216636755674662539049709437442435679471469124636375979951501379825065401505771461741572348691230924578510271085479225878554535681681834087950739782
88483-42850-OL;855714971851355549517
91451-79426-HN;60500501807007249606676453178773540203068746788675
24664-97780-FO;25365766241844503318385338978880883814658161379354503714235954748138293353542857562368984298390384213
73886-44546-MF;55407682340820397910184130021851968868783674666278113959715030511777800002755617904619344
97192-64062-AO;8829702988513853152359419768385
15045-27259-FJ;2462787319921741961635006892125549094176124739
2515-70419-BK;3675267818794882393053228918102
2822-26741-BG;578380910931534337182560602198862415
74086-28599-NL;237974183600980334833947550273951590998425776827557805760712540084572619369520247287962055149580112
87206-56691-GM;264830956467382424371079945372977502445288712518
67907-91471-JI;4885268876749520864287905532657288955501589008698013204390827814739
27527-47716-IK;573412356879967721559807400246268229
44493-60653-BO;2259300440646440902602807441515843
65366-46587-EL;7019267317253237078
87180-19666-IF;762129320652239793188950199608275692006158423738132147051232034197718040565958210894
99939-68279-JF;1034495966237205124967830180452579555300960580
72733-88690-FH;1798156271013847921477
33426-96929-BL;41318714828388167986614223790608071797406745494713680
91055-2425-AN;214445211388590141990797630555398691353631348041790760252975543941172937515476230893349388050592322
314-8182-HI;121424974079302
74539-38234-JK;12788195245930769268091807601672474399333141044491386418563568135753
42300-42306-GD;33834549094938797211404994420821532762451
99914-80641-FK;31389010178407119832407500099
84184-36811-OM;240862351772541357170057443878794568
93640-42901-JL;3332996133789520450
23813-70951-DA;214445211388590141990797630555398691353631348041790760252975543941172937515476230893349388050592322
13715-63027-LB;240862351772541152805060573227936837
64706-42638-JA;3273777982958276932649040897973727912175122255801469965249667023384146
40424-47863-HD;237974183600980334833947550273951590998425776827557805760712540084572619369520247287962055149580112
35774-44847-IM;8674340180010300753
48395-29381-BE;4040999701961535017307904998644847238475604
6039-46278-DM;7020105119142472013
4395-52016-DM;762235834952042655235040640930680894812065658880778053897546
73534-90231-HI;3342636608791991376
49811-4830-BB;19083081549802815990127429465001289758588749477311736380680072777
84778-14286-BI;11630184294034796307799228871435302700879547592899066855912777214278
17580-89623-OM;33834549094937872430503091270028561836365
15489-36709-BL;3675267818794881247323442144592
52703-52793-AN;4443126160139873592347787678569206919228304034542085189
74694-31348-GD;1871581270471724791120
52284-16837-NN;418565088580
54956-80049-BJ;9334309056952250887007063074391515242780320750711502160
51783-24718-HB;9331678291209739598811366271292873912435329274275651917
15484-55884-AB;1034495923700712995370902640877216540851061840
44898-65648-NL;762129320652239793188950199608275692006158423738132147051232034197718040565958210894
24000-80875-LO;525998480338410712228173
40730-73518-GG;14356514917167491686455271757
47842-38319-FL;139486777868753279602487116
70840-46159-IA;90117304700656941989432145975211525723723771523612132884903013177577863122136760413251
95619-82163-MF;170164438444606182947833943354382940225026524540225
36328-56110-OF;139505262455820181428203340
77044-72351-BI;9331678291209739598811366271292873912435329274275651917
36292-25733-IJ;214539033202136284106867917738549425349656984415889353222777040388458379660444790909260
74461-72782-EB;2199329962107379985089157644707139
16503-37302-BD;81961211163304001753404080974689669409622636443248255049904973966746350401
772-77603-DB;1137440296995807641008751793864245301937870393533163127880
18642-73174-BB;1250628832447877343864999768289970284744184362276518247775805681856336
17228-3064-MM;4040999701955909837145132985024820891905621
27069-62591-KF;15785155085765266728158978812245850486131
27015-10665-IE;4040999701955907648989528695680273682360403
43955-80754-BH;2129406161035570276419
46089-64886-FD;9620262968444304537636745672358812218126923
3745-30024-FG;27428839065939013
77927-41652-AE;31385454126353131665707984963
30984-62661-BH;3675267818794883787216475419982
99473-82631-BE;146793563361271736719310694463348041038
46312-65664-OI;4443126160139873590976209537344913513047148032724134979
90429-36681-LM;1250628832447876669301680057907530152996401336893375446843487317747027
56670-69690-NE;418565088580
94976-35914-BB;838043098445844859792452803666112926393106995785480723598574400388790751192688127557
53700-56432-IB;240862351772541263639293764102661704
23502-8803-NH;2341302202916904473131474754625869
92110-70853-KK;8826632690016629438678213415251
87920-12322-GM;1250628832447877343864999768289970284744184362276518247775805681856336
95580-80242-AG;1034495923700712436756504467207685287508343108
17794-88455-NG;1851881033
75641-27577-KE;161401229798391281197711811682173892692642530226004
11698-17269-GG;9620262968444304537636745672348938172329545
70803-2500-FA;469514609744268327217476
73341-28996-HD;3631197869888005597441827119517507798553130732203400857273155609105030337878397140421506985808
37724-4760-EE;134731023070718279078274371
29414-34696-KF;56080136395173471480996185
37166-48188-KE;1250628832447876669301680057907530152996401336893375446843487317747027
51806-27866-EI;67796724855649926804019791681099546000907878101569
76889-13160-GM;921357813621774264507771690614118713597729383289992363994284338741562632145956121503451596324979165845342544
83687-78588-BF;7719292778040823405053960021315
40525-27952-FH;2128684470258986344771
73600-83049-BK;67796724855649926681611944496443787253820440081736
87079-72213-HH;56080136395248212082057793
34823-55667-OO;10572965223519653088084313187272403579792375627272485996569033271363
95381-11530-GD;11630184294034796307799228871427259995305262106942578664037881638734
57366-40429-DK;161401229798391281197711811682136640049052213537101
50662-64907-DB;37579152220485564600143537782651509305163
18261-63848-NB;9331678291209739598811366271292873912435329274275651917
46357-59986-GB;9717446100965016837871690609844885206985798522919472451
23413-42861-IJ;31810791648062922361665056324192176074533076621813165114565742557085111052614
37480-31228-AO;56136008646991858027880771
29929-85963-DK;525998480338410712228173
25617-27895-FI;8744369432188237188611227605530798613294915
61983-62485-LB;2128397922148711295312
28904-6829-DK;177462528900677433895862256949227930299220777622020633410694980
58413-913-LB;2680649154290666004249967324161865758644224215503192982846349774054733
99665-71158-BK;9620262968444304537636745672309170179233358
99349-34993-EG;599171411690464285928754832357548368
57206-54530-DD;240862351772848291229368607836304467
39648-21403-GH;8590183748071272332238774879059
78898-94927-BN;855714971851355549517
51470-54280-LM;43569495812005152465702140217286569416827945306186061
22773-32540-GK;556189057985048852463241127149703686713140014915
54323-48069-BB;259339169131369842576938300147124899169963138037768270846770257623239529459220100579192619522530540486312529544755928855106
92680-33292-ID;8590183748071272332238774879059
54320-63443-IG;853247010250757077569
25560-62492-IF;74543287304020924878675967339218691426362611065859996788744519
34379-59717-IF;3679296139720534896612092374601
48438-89200-AK;599171411690464285928754832357548368
9647-51110-IB;122575854660248422950265165
31250-53298-KD;177462528900677433895862256949227930299220777622020633410694980
73835-79618-GA;291184716030926755748104613302711544658546133207810394388033
84402-80852-OF;39267245689392983321695651249911791316038
19834-44866-KH;74328297527373234460626979522781354625692614674554537025826373
44711-38611-NI;264830956467382526100053991821683480372439436629
3541-24866-GB;7719292778040823405053960021315
83925-22949-MN;139505262455820181428203340
70956-36162-DE;56080136395185531614750787
33429-60129-JB;3675267818794883787216475419982
27617-49734-DG;146793563361271736719310694463348041038
35514-43848-JL;111481940238662
25251-67670-BJ;134825319107594520946712357444606258753
56452-53818-KL;1250628832447877058787413503629855365389292660295641832295421952812359
74760-34547-AM;139486648967649282869125452
1405-57352-FB;34485106890160439071007990099
85116-30876-JJ;67796724855649957876432681781365684068541492717907
79002-3443-MF;74543287303917249471514781005494155432587810100072470134546771
73255-18796-LG;117810821357954310891266381
9382-11896-GJ;4443126160139867481844929416724745438066436472051101253
86035-37342-LK;4885268876749521258962098431558907570538555657020679798364921160003
13118-46964-NG;540514038013740735819587
55754-40935-JM;10572965223519653088084313187272403579792375627272485996569033271363
87267-3789-AN;11153790927873320052118890126985566957003688330107578699
54666-43312-HG;122575854660248422950265165
81692-78732-OD;11630184294034796307799228871414040447973140751632496017168117884995
91497-47373-AM;4443126160139873590976209537344913513047148032724134979
42899-36013-BK;82051045721845000443182741686236870725533144251077586519135980067324784213
22449-69777-OL;3675267818794882393053228918102
62769-48316-JL;161342007423697365943536683784282926665
66157-28678-DB;9619424412562337918120655864209694282959070579565749591
72791-38993-ME;264830956467382424371079945372977502445288712518
46376-64880-NE;8030606907915922501
9091-18322-DK;122476922302276
25126-88571-NL;264830956467382424371079945372977502445288712518
20138-63871-AF;37579204022313315899627909591804898996042
54255-53453-LH;762195757893864410827930263317682681111483873634262685536564011002454349
19104-88446-DE;1137440296997122950097295078826240963494242223661259383109
59065-2297-LD;9330212439387657625891393324715245040190316651081453907
65594-17989-BA;17355961563046371905005410179108983619621309599149891
35094-94809-AN;177462528900677433895862256949227930299220777622020633410694980
5606-48994-GG;599171411690464285928754832357548368
8832-44419-GO;19083081549802815990127429465001289758588749477311736380680072777
40701-75051-OF;2462787319921741961635006892126659673917841731
99748-88333-OB;4040999701961535017307904998644847238475604
54278-71074-LM;578380910931534337182560602198862415
10405-3013-FB;49946907158255156356946811814290389581771110405996987277940006378605859282728490779175238
78658-80170-BA;20982070057805846908463199151496292490863797415448456033876052755102063225922
25421-78810-EI;67802567912323133413631129647570767272361571018051
29342-43591-EJ;1250628832449444896010147323187342522270798821212148017410175231223117
81320-70549-ED;161330645346466478325079325034241017666604307204016817394508104
89035-78027-BK;107118354129219
77544-16087-ND;214445211388590141990797630555398691353631348041790760252975543941172937515476230893349388050592322
52271-62239-NA;940868561612541279341155598954307
20917-8392-BH;3273605853304081483564268764320740430909360306473623491442008867264631621817758533
49914-18228-EO;22656974574000899948867853909651343410861359014745502486198906146889480501217362207746793411973573953
53092-57870-IK;556123651742403719549460260197955110380413735251
83550-52886-EE;526293851533376391767364
82175-37613-NA;940868561612541279341155598954307
39937-42231-KK;1250628832449544604357909428102594236618565149622201205575718559572304
13731-33823-KG;9141392271357131053571745661761
46636-91960-GI;27424523199209812
99131-22394-OE;1250628832447877343864999768289970284744184362276518247775805681856336
81198-14020-OM;7164744459723689033
9775-26500-DB;19083081549802815915908809940948032909304570957588474239843132489
22519-82571-EB;3631197869888005597441827119517507798553130732203400857273155609105030337878397140421506985808
75370-89021-KJ;2054825429785416592453
37596-86844-LJ;8661644569742943669455140665149466350676314
37932-93155-LH;17355961563065430449147015814922155974834996560291138
6152-92269-OF;8827881463201531311891931755337
88027-9716-IG;3273605853304081483564268764320360457922575666591034760758468296870131730869743189
70903-65750-FN;1798156271013847921477
10362-83889-AB;146793563361271736719310694463649705289
92927-6453-AJ;4045428887654077518269698237100765648996692
55418-34133-KB;195122114020829289171950194622432407561633833775291326695727368362056181079
26633-65881-KM;67796724855744239744288975981028673537526523717954
17149-38609-NJ;1034495923700712997213361962789109642533238337
97380-26930-JD;1137440296997389600809874989917277396032144319618425905729
86135-37414-LK;7023767566824009281
16076-75777-HG;12788195245930769268091807601672474399333141044491386418563568135753
11641-34307-IJ;76223326732627
25509-30252-GB;30153525640862950931656892748
60895-66489-KM;4443126160139873592347787678569206919228304034542085189
73320-42264-KK;320160981107101930693438970707859436342255441878409805063562732093272661
40868-84822-MB;7021790687531396161
47853-21136-BD;3599367700463412099898290139366563361321057655284680249745352418140893636323333088913683211600
90211-78689-NG;161401229798391281197711811682173892692642530226004
1599-59083-NL;45426447430382820489003837725451641466832076274404360054069823913829716096334
1162-81244-BK;10577590996067371004573241290395624080027931636896391493
98510-75106-MB;35713342448302010863119585619
29042-69868-HM;8827881463201531311891931755337
78386-7425-LB;1871581270471724791120
37911-51049-GB;9177997072932578879284952181225840666777315365373056778060712124656196288409411
85214-87335-HK;526421743831082649937219
83333-17784-OI;418464232788
26458-21930-AO;17355961563046377310429356550095728357202315573421399
43980-91445-GF;20982070057805846896006310654354120107331126879866191424217277841851655809350
3186-41407-HD;1034495966237205124967830180452579555300960580
48895-50224-BO;2129406161035570276419
78748-19010-MO;838043098445844859792452803665437586913131562826382056008778477371674911415107676244
48611-12240-LA;545127185729375905738564
49737-32319-EJ;146793563361271736719310694463649705289
39077-17093-IO;17355961563046377310429356550095728357202315573421399
95639-66226-KA;161330645346466478325079325034241017666604307204016817394508104
42490-9549-FI;1871581270471724791120
66203-16639-HB;16996051788196373535220021468490826838617424983927063559358324665923128080098901185174831996451486980533288234346993393534658886
18723-61185-NL;19083081549802815915908809940948032909304570957588474239843132489
41719-34380-HN;838043098445844859792452803665437586913131562826382056008778477371674911415107676244
1671-13940-FB;1034495923700712436756504467207685287508343108
47987-72458-NA;1376588117101269599132859918655949796329751552014433310090663562063428071130423639
227-34265-AJ;940949650312093611284185794046019
62386-42264-KM;139552725852307234238000713
68232-33256-BE;139552725852307234238000713
37574-50937-IO;107118354129219
16168-65139-HL;15488128462593782713861245975484499448892886800952905
68632-15702-BN;8590183748071272332238774879059
70909-4295-FI;56080136395185531614750787
54728-45409-MH;940868561611488594740444851760966
50212-33116-MJ;139552725852307234238000713
65076-92515-FA;693213003518271226155711941208957441786591420241156049234251
45329-39965-FN;15785155085765281259216358657526116674645
45674-72204-LL;20982070057805846908463199151496292490863797415448456033876052755102063225922
1870-81037-GN;198676669962067898939336672110760509182577243057741725329707917286124057153
18116-27855-FA;66390827297622769413723170368758670958624991026168699033372825157901696284926296622717698689940573521151570993097175102286150
7778-81018-OO;111481940238662
77220-5594-EM;122575854660248422950265165
67912-57970-FK;2128397922148711295312
46798-97702-AB;4443126160139873592347787678569206919228304034542085189
60125-88020-EJ;6493636157912192824335069518961421294350357405563208009701698308261795679833046443370716295333944779086
15566-33961-IH;6493636157912192824335069518961421294350357405563208009701698308261795679833046443370716295333944779086
23331-39321-EA;146793563361271736719310694463583774039
8847-70563-GA;8317992816578816332
28067-87061-NJ;17357457385530580657913985057602976730364449967531346
78927-34906-AF;14060030079935203515227695856900638253907553363210113414709147320557000084359499212977892431
76002-31884-HB;3679296139720534896612092374601
54269-7563-OD;161342007423697365943536683784282926665
22419-89006-MN;35708591673332332492506751308
24676-34240-MD;121424939937603
58039-4526-DN;122476922302276
24514-730-FM;3675267818794883787216475419982
47441-7383-NB;1250628832447877341257766727374285461561157844502324523587573379985236
38134-8615-MK;27431107585076289
34535-21444-AL;8030606907915922501
23788-66193-BD;74549711812567079533870074509469740564185348944179168065972291
5201-79340-GL;320160981106656600029439940682232392894511196742788672221256188290103619
31390-10675-JI;573442507507478827126067
4969-92890-IE;240862351772541152805060573227936837
42776-48862-BA;921357813621774264507771690614118713597729383289992363994284338741562632145956121503451596324979165845342544
79438-70598-OA;8674340180010300753
57815-21806-NN;61660762053770535453038914762546899276
17949-48556-JA;195105106086957505893380581954184622864661924998898494065921308847250608220548298601806
73862-79566-NH;8829702988513853152359419768385
95807-39882-EA;237974183600980334833947550273951590998425776827557805760712540084572619369520247287962055149580112
14105-17965-NF;240862351772541263639293764102661704
79531-56651-LH;9620262968444304537636745672348938172329545
28917-93426-IO;9334309056952250887007063074391515242780320750711502160
33889-6137-IM;1945370780066921739600
17642-79509-ME;37579152220485564600143537782677378851139
14031-50854-DI;27424523199209812
12682-6172-OB;264830956467735582794442137045919604419064327235
92571-15775-IG;7021227745659085132
31323-76681-FM;8829702988513853152359419768385
28515-47758-HA;67796724855649926681611944496443787253820440081736
66801-89792-MN;139552725852307234238000713
65200-74601-FD;9708403909370941040257192733981709725231446
5332-26842-JN;1137440296995807641008751793864245301937870393533163127880
19997-23211-BK;1034495923700713468573496731283045716377892171
72886-77263-II;6824815776640861460637308239052215085817684242989211982
22684-50841-DL;693213003518271226155711941208398198836959887424412436950856
74518-75950-BE;525998480338410712228173
41314-95451-KA;8483733056675026422903608078171659744076104
96790-38945-EA;1137440296997389600809874989917277396032144319618425905729
88280-15844-GF;19083081549802815990127429465001289758588749477311736380680072777
89113-30145-NE;3273605853304081483564268764320360457922575666591034760758468296870131730869743189
26132-30243-HN;10824651475632495539495470059062994293253552216218281818964545206360276529578968328905753189009680414734976297429334
20495-64198-KA;291184716030926755748104613302711544658546133207810394388033
31612-27030-GN;25365766241844503318385338978880883814658161379354503714235954748138293353542857562368984298390384213
56633-55074-MH;556123651742403719549460260197955110380413735251
99687-54592-NF;855714971851506345305
183-53239-EB;478510735694
62248-78435-MK;35713342448302010863119585619
88104-35890-NB;545127185729375905738564
73598-14413-EL;1945370780066921739600
24053-31033-EH;161330646110834550300436472424432521627368633632807892795941202
17636-7621-BE;31389010178407119832407500099
87414-9611-GL;2708005677306042909573491220010679430585396812
379-92160-JE;177471860067928828121808324201933311181299800565063
45806-17701-BD;525998480338410712228173
47238-166-AO;138343577812993461683514437
97851-38763-KB;81961211163304001753404080974689669409622636443248255049904973966746350401
23059-52229-IO;264830956467382243173789174618973871636578648904
59766-622-AD;9141392271357131053571745661761
39629-99548-ID;526741976200747570027263002975432257
73961-74990-OI;2977327179272907854796602591084697973091733881383838606900874368526917
38445-14261-KI;573412356879967721559807400246268229
8408-55431-HD;10824651475632495539495470059062994293253552216218281818964545206360276529578968328905753189009680414734976297429334
49587-38492-AD;1945370780066921739600
58310-81724-EM;90117304700656941989432145975211525723723771523612132884903013177577863122136760413251
77830-17261-AG;1871581270471724791120
38317-81420-LK;43569495812005152465702140217286569416827945306186061
13113-91204-IB;8829702988513853152359419768385
19679-2578-IB;35713342448302010863119585619
88355-75891-DO;15802456592398756050073680313662070533717
18375-32934-HA;264830956467382526100053991821683480372439110732
43937-17188-FK;45430407398573423077340737779070234904926055316128940289976978515
84781-76951-OM;4040999701955911986629259498227006686982227
45717-64384-GE;264830956467382526100053991821683480372439436629
40917-85780-OG;111481940238662
22569-85132-EO;240862351772541152805060573227936837
25648-25070-ML;418565088580
62210-85464-BE;2109948917331704762707
81340-3193-BF;352020721486940775987028318256068897201775471009528667490513223398214864362497205313
69702-57651-GF;320160981106656600226248736542104116663858228827440842084315284513188164
20294-68376-MI;6445871311035247354000397565587659289681741206659495246
62438-58719-ID;705914900460039630919949797226655621832142311226311184966994
98872-17698-DB;10577590996067371004573241290412548950212691859193362756
87345-98996-FN;8826632690016629438678213415251
74850-85102-JH;1896070936256845710634698024498296994177358426648861336544542068992326
61716-54477-GH;39267245689392983321695651249911791316038
35747-61648-GI;15785155085765281259216358657526116674645
91609-9651-NA;2438036203544466747635424076878465601894600937732647710785
61991-14342-JD;16996051788196373535220021468490826838617424983927063559358324665923128080098901185174831996451486980533288234346993393534658886
29882-86331-BE;320160981106656600226248736542104116663858228827440842084315284513188164
67925-92389-AM;2680649154290666004249967324161865758644224215503192982846349774054733
63632-88004-NO;11630184294034796307799228871435302700879547592899066855912777214278
36238-26381-HE;177462528900677433895862256949391616627022261341931436040679246
4436-2326-IK;21005067704792312128859830288153145385683836110066952495449665992666884566087
5930-54688-NB;556189057985048852463241127149703686713140014915
23452-61348-AE;2977327179272907854796602591082318680900678355780279247957386737316419
86127-94020-IG;8827881463201531311891931755337
98892-54684-KE;5371409934798295592120610414519005861681473382363513638085529239637514484147543
52180-51755-OL;1137440296997122950097295078826240963494242223661259383109
15117-86590-BE;1796569599851651887941
59786-86883-MB;4040999701961535017307904998644847238475604
52501-35380-BA;441463416414059990293009405876536700331631695577504057024854
11692-49599-EA;56136008646991858027880771
10297-96037-NB;2036159419977866177605
18699-22073-FF;10577590996067371004573241290395624080027931636896391493
39740-33960-AE;556189057985048852463241127149703686713140014915
44764-24421-FJ;15785155085765270369328715378374658380614
73187-45555-LG;630162822644966450327718386822164244121692752201
18030-36968-NJ;119165719769665
5984-71414-FO;10577590996067371004573241290395624080027931636896391493
58425-27924-AB;9620262968444304537636745672348938172329545
98541-33437-GD;10824651475632495539495470059062994293253552216218281818964545206360276529578968328905753189009680414734976297429334
93856-11256-BG;4447996101316587802116402287650981211380687758854287943
78391-81266-OB;31385454126353131665707984963
55742-61902-DO;6445871311035247354000397565587659289681741206659495246
89983-96348-DB;291184716030926755748104613302711544658546133207810394388033
2253-23657-AK;146793563361271736719310694463649705289
92284-59559-KK;34485106890160439071007990099
70438-87893-EM;578380910931534337182560602198862415
72863-84806-KE;15785155085765266728158978812245850486131
54164-4511-DB;3675267818794882385317843132744
93353-20501-AB;1137440296995807641008751793864245301937870393533163127880
51938-21205-OJ;4885689913355217157302199386431448814264489772402100059530484870994
40946-82076-LO;76223326732627
43995-44394-MM;6824815776640861460637308239052215085817684242989211982
53774-66575-MB;177462528900677433895862256949391616627022261341931436040679246
68709-17669-II;2462787319921741961635006892126659673917841731
67830-43035-BN;7020105119142472013
71513-92419-OA;8825082680358107439476497206595
3586-19278-BL;1034495966237205124967830180452579555300960580
66055-85336-ED;1138687001937047089161519099007558879761099130514074394960
21728-78263-KG;17355961563046377310429356550095728357202315573421399
66706-39380-MO;1235632605923760486544887159275660617235636370170095196936188715901661286796286385725961053230415472778511888804349581354643991523152
86519-36795-HK;8483726410633987768467055115170326839644499
86680-48983-OI;1851881033
22411-15947-FB;2037605366820433584451
53761-16248-JH;1511917486302752801555128190447193223927832731908599186000374237962514737547903913364908960083
8058-42696-HO;762129320652239793188950199608275692006158423738132147051232034197718040565958210894
29773-34964-IA;8827881463201531311891931755337
24797-33266-GO;20982070057805834122032831006970601369781325654157844212544785926035830043206
79431-80670-LF;9331678291209739598811366271292873912435329274275651917
46358-99061-OO;1945370780066921739600
67745-25836-HO;264830956467382526100053991821683480372439110732
78766-65377-ML;1999267629472295051597
1889-67972-MO;469514609744268327217476
21780-67227-EE;3046868522014439619603635686825845135553941833312231001001717932661256786455026920789389452128308193198910370722546801810815214657
82746-44644-ID;526440204172760741144643
50839-829-JE;45430407398573423077340737778976651632436120853655299101746750807
63996-26058-DI;3675267818794881247323442144592
19292-66392-BG;1137440296997389600809874989917277396032144319618425905729
31042-98887-HB;556123651742403719549460260197955110380413735251
92065-31029-BA;1871581270471724791120
