numero,tipo_contenido,duracion
1022,spam,2
1023,spam,65
1026,spam,18
1028,spam,73
1030,imagenes,11
1034,spam,25
1035,audio,77
1036,imagenes,15
1037,audio,67
1039,imagenes,7
1040,audio,23
1042,video,45
1044,audio,42
1046,audio,54
1050,video,21
1051,video,29
1052,spam,50
1055,audio,3
1056,audio,65
1057,video,11
1058,video,90
1059,spam,12
1060,spam,18
1062,audio,6
1064,imagenes,70
1067,video,82
1068,audio,31
1072,spam,75
1074,imagenes,70
1075,spam,36
1076,spam,1
1089,video,14
1090,video,85
1091,imagenes,1
1093,audio,38
1095,spam,87
1097,audio,56
1098,audio,17
1101,imagenes,87
1103,imagenes,70
1105,spam,56
1107,imagenes,47
1108,audio,5
1109,spam,54
1111,spam,58
1113,video,43
1116,imagenes,43
1118,audio,58
1119,spam,30
1121,imagenes,16
1122,video,68
1124,audio,59
1126,imagenes,76
1127,imagenes,8
1130,imagenes,31
1131,spam,87
1135,video,70
1136,spam,24
1137,imagenes,32
1138,spam,19
1140,imagenes,63
1143,imagenes,68
1145,video,37
1146,audio,41
1147,audio,51
1148,imagenes,16
1149,audio,31
1150,audio,43
1153,spam,65
1156,imagenes,29
1158,imagenes,20
1160,audio,73
1161,imagenes,37
1165,imagenes,33
1166,imagenes,13
1168,audio,50
1169,video,89
1170,spam,16
1174,audio,27
1175,audio,46
1176,audio,21
1177,video,48
1179,audio,51
1180,imagenes,44
1181,spam,82
1184,video,59
1185,imagenes,22
1186,spam,68
1188,imagenes,83
1189,spam,49
1190,video,36
1191,video,40
1192,spam,88
1193,spam,57
1196,audio,63
1197,spam,14
1199,imagenes,79
1202,audio,9
1203,video,90
1205,imagenes,88
1207,audio,50
1212,audio,40
1213,imagenes,78
1217,video,17
1220,video,39
1222,video,65
1225,audio,55
1227,imagenes,82
1229,audio,65
1231,spam,41
1232,imagenes,15
1233,video,63
1235,audio,68
1238,video,4
1239,video,27
1240,spam,85
1244,audio,33
1246,imagenes,38
1247,video,23
1248,imagenes,29
1249,spam,39
1251,imagenes,80
1254,audio,88
1258,spam,52
1259,imagenes,25
1260,spam,4
1262,audio,72
1263,video,77
1265,imagenes,17
1266,audio,49
1269,audio,75
1270,spam,63
1272,imagenes,24
1273,audio,14
1277,imagenes,77
1279,video,29
1283,spam,71
1292,audio,41
1294,spam,27
1295,spam,60
1296,spam,89
1303,imagenes,61
1304,imagenes,32
1306,imagenes,8
1307,spam,60
1312,video,28
1313,imagenes,82
1315,spam,26
1318,imagenes,42
1322,audio,79
1325,imagenes,88
1326,audio,81
1328,spam,59
1331,imagenes,73
1333,audio,27
1334,video,85
1335,spam,47
1337,audio,27
1338,audio,15
1339,video,87
1340,video,4
1345,video,71
1352,audio,41
1353,spam,59
1355,imagenes,80
1356,spam,36
1357,imagenes,38
1360,spam,79
1362,spam,72
1363,imagenes,40
1364,spam,76
1365,spam,71
1368,audio,87
1370,imagenes,5
1371,video,8
1373,imagenes,40
1374,spam,71
1376,spam,14
1378,video,19
1379,video,72
1381,spam,36
1382,imagenes,38
1384,spam,67
1385,spam,58
1387,imagenes,65
1388,imagenes,43
1391,audio,36
1394,imagenes,3
1395,video,4
1396,spam,27
1397,spam,3
1400,spam,53
1402,video,54
1407,spam,30
1408,spam,72
1409,spam,89
1412,spam,11
1416,spam,7
1419,spam,82
1420,video,86
1422,imagenes,7
1423,audio,22
1424,audio,45
1428,video,64
1429,imagenes,87
1430,imagenes,31
1432,video,58
1434,spam,27
1439,video,10
1440,audio,70
1445,imagenes,39
1446,audio,50
1452,imagenes,17
1453,audio,34
1455,video,65
1456,audio,51
1458,video,53
1459,spam,44
1460,video,55
1461,audio,80
1464,imagenes,55
1465,spam,62
1468,spam,47
1469,video,85
1471,video,51
1472,audio,2
1474,audio,30
1476,video,73
1477,imagenes,56
1478,imagenes,17
1479,video,42
1480,spam,41
1482,imagenes,3
1483,spam,64
1484,video,4
1485,spam,24
1488,video,25
1489,audio,20
1491,video,49
1495,audio,83
1498,imagenes,61
1499,audio,89
1500,imagenes,61
1501,video,38
1503,audio,70
1506,imagenes,75
1507,imagenes,6
1509,spam,88
1510,audio,30
1511,video,20
1514,audio,40
1516,spam,90
1517,spam,56
1520,video,10
1526,audio,27
1527,spam,22
1530,spam,76
1531,video,77
1532,audio,18
1533,imagenes,65
1534,video,26
1540,spam,28
1541,imagenes,45
1546,audio,38
1547,imagenes,29
1548,spam,17
1549,audio,65
1551,audio,33
1553,spam,28
1555,video,36
1556,imagenes,9
1560,imagenes,23
1562,video,80
1568,video,28
1570,video,43
1571,spam,17
1573,audio,65
1574,imagenes,89
1575,imagenes,16
1576,spam,47
1577,imagenes,79
1578,video,33
1580,video,50
1582,spam,12
1583,spam,3
1585,audio,24
1586,audio,37
1588,audio,58
1592,video,49
1594,video,86
1595,audio,68
1596,imagenes,32
1597,spam,23
1601,spam,25
1602,imagenes,86
1603,video,40
1604,spam,33
1606,spam,27
1608,imagenes,64
1609,spam,70
1613,video,42
1614,spam,69
1615,video,40
1616,imagenes,11
1617,video,54
1620,spam,41
1621,spam,57
1622,spam,6
1623,spam,26
1624,video,87
1627,spam,40
1629,imagenes,60
1631,audio,41
1632,audio,79
1635,spam,9
1636,video,11
1637,imagenes,14
1647,audio,62
1648,audio,65
1649,spam,25
1655,audio,20
1657,video,31
1659,audio,71
1660,video,70
1661,imagenes,42
1664,audio,36
1665,audio,79
1666,imagenes,89
1677,imagenes,88
1678,spam,9
1680,video,53
1682,spam,22
1684,video,54
1686,audio,67
1688,spam,37
1690,video,9
1691,video,67
1695,spam,23
1697,spam,57
1698,video,28
1699,video,10
1700,spam,40
1704,imagenes,61
1705,audio,68
1708,imagenes,19
1711,video,50
1715,video,3
1717,imagenes,56
1718,audio,25
1720,audio,49
1721,spam,13
1722,video,24
1723,spam,7
1724,video,22
1725,video,66
1726,spam,33
1727,audio,8
1729,video,26
1731,video,27
1732,audio,52
1735,audio,32
1736,spam,27
1737,spam,65
1739,imagenes,37
1740,audio,63
1741,spam,47
1743,audio,10
1744,spam,85
1745,spam,52
1746,imagenes,53
1747,audio,26
1752,audio,11
1755,video,88
1758,spam,37
1760,spam,37
1763,audio,57
1764,video,52
1766,spam,12
1767,imagenes,85
1769,spam,52
1773,imagenes,63
1776,imagenes,41
1782,spam,83
1783,imagenes,80
1785,imagenes,52
1788,imagenes,20
1792,video,5
1795,audio,8
1796,audio,73
1799,imagenes,20
1804,audio,46
1805,imagenes,61
1807,spam,88
1808,spam,18
1809,audio,87
1815,video,18
1816,audio,43
1818,video,55
1820,audio,2
1823,spam,14
1824,imagenes,36
1827,spam,65
1828,imagenes,74
1830,spam,2
1831,spam,70
1832,audio,64
1840,audio,24
1841,imagenes,58
1843,spam,5
1844,spam,31
1847,imagenes,55
1852,audio,83
1853,imagenes,57
1855,imagenes,50
1858,spam,38
1859,imagenes,40
1860,audio,69
1861,audio,3
1863,imagenes,4
1864,imagenes,64
1865,spam,18
1866,imagenes,21
1871,audio,24
1873,audio,11
1875,imagenes,72
1876,audio,27
1877,spam,27
1878,spam,28
1880,imagenes,29
1883,spam,58
1885,video,27
1887,video,14
1888,spam,54
1890,imagenes,76
1893,video,65
1896,video,27
1897,audio,66
1898,spam,69
1900,imagenes,6
1902,imagenes,28
1903,video,20
1905,spam,58
1906,audio,30
1907,audio,43
1908,imagenes,81
1909,spam,35
1913,spam,10
1915,imagenes,16
1916,audio,42
1917,video,31
1919,spam,35
1921,audio,56
1922,audio,75
1928,video,19
1930,imagenes,44
1933,imagenes,41
1934,audio,40
1936,spam,85
1939,audio,67
1942,spam,26
1944,video,24
1946,spam,42
1947,audio,59
1948,video,74
1950,audio,4
1951,spam,39
1952,audio,58
1954,spam,19
1955,audio,29
1957,video,47
1958,audio,60
1959,spam,64
1960,imagenes,21
1964,video,4
1965,audio,84
1967,spam,3
1970,spam,60
1971,imagenes,77
1972,imagenes,27
1974,imagenes,90
1976,imagenes,20
1977,audio,60
1980,imagenes,18
1983,imagenes,16
1985,audio,36
1986,audio,79
1990,spam,53
1993,audio,4
1994,video,35
1995,spam,73
1996,video,34
1997,video,8
1998,audio,16
1999,audio,41
2000,video,7
2001,spam,21
2002,imagenes,89
2003,audio,75
2004,audio,26
2005,imagenes,89
2007,spam,65
2009,video,43
2010,audio,49
2013,video,89
2015,audio,54
2016,video,89
2018,video,3
2020,video,35
2022,spam,4
2023,video,88
2025,spam,56
2026,spam,19
2027,video,34
2028,imagenes,44
2029,video,55
2032,audio,66
2033,imagenes,79
2036,spam,3
2038,video,43
2040,spam,54
2043,video,81
2045,video,82
2047,imagenes,40
2051,audio,30
2052,spam,32
2053,video,77
2054,video,67
2055,spam,60
2057,spam,83
2058,spam,53
2059,audio,66
2061,spam,52
2063,video,39
2066,audio,87
2068,spam,14
2069,video,54
2070,audio,53
2071,spam,60
2074,imagenes,10
2075,audio,18
2077,video,44
2081,video,12
2083,imagenes,47
2085,video,49
2090,spam,34
2091,audio,90
2093,video,62
2094,spam,66
2095,audio,48
2097,spam,75
2100,video,43
2105,audio,22
2107,video,15
2109,spam,28
2112,audio,18
2113,spam,80
2114,imagenes,45
2116,video,78
2117,spam,83
2119,spam,42
2122,imagenes,3
2128,video,28
2132,video,78
2136,video,54
2138,imagenes,63
2140,spam,78
2141,spam,39
2142,spam,21
2143,spam,80
2146,spam,67
2148,video,55
2150,audio,79
2151,audio,40
2152,imagenes,46
2153,imagenes,24
2154,imagenes,4
2155,audio,61
2158,imagenes,75
2160,spam,85
2162,imagenes,48
2165,imagenes,61
2168,spam,40
2169,video,60
2170,imagenes,44
2172,audio,32
2173,spam,57
2174,spam,9
2176,spam,90
2178,imagenes,23
2180,video,56
2181,audio,74
2185,imagenes,87
2186,spam,71
2190,spam,7
2191,imagenes,46
2193,video,12
2195,audio,40
2196,audio,28
2197,audio,83
2199,audio,84
2200,spam,1
2201,audio,53
2202,audio,9
2204,audio,4
2205,imagenes,85
2206,video,5
2207,video,58
2208,audio,37
2209,imagenes,85
2210,imagenes,61
2211,imagenes,5
2212,spam,47
2215,imagenes,42
2217,spam,10
2219,spam,90
2223,spam,61
2224,audio,82
2225,spam,63
2228,spam,48
2229,audio,40
2230,audio,89
2233,video,10
2234,audio,40
2235,spam,81
2240,video,27
2243,spam,1
2248,imagenes,71
2250,imagenes,27
2251,imagenes,29
2254,video,87
2255,spam,19
2256,video,32
2259,imagenes,41
2261,spam,89
2262,imagenes,90
2264,audio,35
2265,audio,23
2266,imagenes,86
2270,video,70
2272,imagenes,23
2275,imagenes,46
2280,audio,77
2283,imagenes,67
2284,spam,57
2288,spam,15
2289,video,61
2295,spam,59
2299,video,13
2300,spam,36
2302,audio,31
2304,video,81
2307,imagenes,27
2310,audio,56
2312,video,22
2314,imagenes,20
2315,spam,15
2317,spam,63
2319,imagenes,16
2321,audio,27
2323,spam,26
2324,imagenes,1
2325,audio,54
2326,audio,40
2327,imagenes,90
2328,spam,69
2330,video,11
2332,spam,5
2334,imagenes,31
2335,audio,14
2336,video,26
2342,imagenes,40
2343,video,90
2344,video,33
2345,video,83
2347,video,20
2349,spam,39
2352,audio,37
2353,video,35
2355,video,51
2359,video,36
2363,imagenes,63
2364,spam,23
2365,spam,89
2366,imagenes,6
2368,imagenes,29
2370,spam,17
2375,audio,64
2377,spam,79
2382,spam,3
2383,spam,53
2386,video,79
2387,video,65
2389,video,26
2395,imagenes,56
2396,audio,47
2400,audio,5
2402,spam,50
2406,imagenes,81
2407,audio,17
2409,video,82
2410,video,9
2411,video,69
2414,imagenes,28
2417,video,51
2419,video,43
2427,audio,1
2428,spam,14
2429,video,28
2432,spam,11
2434,video,63
2435,spam,87
2438,imagenes,86
2439,imagenes,65
2440,spam,24
2442,video,55
2444,video,9
2448,imagenes,76
2449,spam,21
2452,spam,86
2454,imagenes,88
2455,audio,78
2456,imagenes,63
2458,spam,10
2460,imagenes,3
2462,video,45
2464,spam,29
2466,spam,82
2468,imagenes,51
2470,video,21
2471,video,85
2474,audio,77
2475,imagenes,33
2476,imagenes,22
2477,spam,74
2479,spam,4
2481,video,24
2485,imagenes,73
2487,video,70
2488,imagenes,6
2489,video,62
2493,spam,26
2494,imagenes,74
2496,imagenes,81
2498,spam,85
2499,imagenes,34
2501,imagenes,61
2502,spam,48
2503,imagenes,30
2504,video,12
2505,audio,43
2508,audio,71
2509,audio,45
2510,spam,64
2511,spam,10
2512,audio,5
2513,imagenes,33
2515,spam,63
2517,spam,21
2518,audio,46
2520,imagenes,9
2523,spam,42
2525,imagenes,48
2526,imagenes,59
2533,imagenes,59
2535,audio,36
2536,imagenes,40
2537,audio,13
2539,imagenes,47
2544,video,25
2546,imagenes,69
2548,audio,49
2552,imagenes,36
2557,audio,88
2558,audio,29
2560,video,77
2563,video,29
2565,audio,63
2567,video,33
2569,spam,51
2570,audio,60
2572,audio,90
2575,audio,21
2576,spam,88
2578,video,13
2581,audio,19
2582,imagenes,61
2584,imagenes,33
2586,audio,50
2587,imagenes,39
2588,audio,24
2590,spam,4
2592,imagenes,20
2594,video,43
2595,audio,11
2596,spam,75
2598,video,26
2599,spam,53
2600,audio,41
2603,audio,15
2604,video,18
2606,audio,15
2610,spam,4
2613,video,80
2618,imagenes,56
2619,spam,16
2620,spam,19
2622,spam,46
2628,imagenes,79
2629,imagenes,69
2630,video,7
2631,imagenes,3
2632,video,13
2633,spam,80
2634,spam,75
2635,imagenes,2
2636,audio,23
2638,video,87
2640,spam,1
2641,audio,82
2646,video,43
2647,imagenes,19
2649,audio,44
2650,imagenes,58
2651,video,55
2652,imagenes,12
2653,imagenes,52
2656,audio,13
2657,video,71
2658,imagenes,61
2663,imagenes,56
2665,spam,70
2666,audio,43
2667,audio,13
2669,audio,62
2671,video,41
2672,spam,70
2673,imagenes,72
2674,imagenes,37
2676,audio,30
2678,video,77
2680,spam,32
2682,spam,57
2684,video,61
2685,imagenes,64
2689,spam,80
2695,video,28
2697,spam,31
2700,audio,59
2702,spam,90
2707,video,62
2709,spam,85
2711,imagenes,20
2713,audio,55
2714,imagenes,42
2715,video,42
2718,imagenes,86
2719,spam,72
2720,imagenes,19
2724,audio,51
2726,video,30
2730,spam,1
2732,imagenes,53
2736,spam,43
2738,imagenes,73
2740,spam,10
2742,audio,12
2743,video,6
2745,video,1
2747,imagenes,34
2750,imagenes,77
2753,imagenes,53
2756,spam,41
2757,imagenes,45
2758,imagenes,40
2759,video,76
2762,video,78
2766,spam,56
2769,imagenes,53
2771,video,69
2775,audio,65
2779,imagenes,30
2781,video,32
2783,spam,47
2786,spam,48
2788,video,63
2791,video,55
2793,audio,87
2800,video,77
2801,imagenes,86
2806,audio,29
2807,video,18
2808,imagenes,59
2811,imagenes,85
2812,spam,82
2815,imagenes,59
2821,audio,79
2822,spam,32
2824,spam,63
2829,audio,74
2834,imagenes,11
2835,video,25
2837,spam,42
2839,audio,76
2841,imagenes,64
2842,video,50
2844,spam,42
2845,audio,43
2847,imagenes,2
2849,spam,81
2850,video,47
2852,video,15
2855,spam,69
2858,audio,82
2859,imagenes,55
2861,spam,40
2865,imagenes,89
2868,imagenes,52
2869,video,30
2870,spam,74
2872,audio,71
2875,imagenes,4
2877,audio,9
2878,audio,27
2883,spam,85
2886,video,75
2891,imagenes,35
2892,audio,4
2893,video,75
2894,imagenes,90
2895,audio,72
2896,audio,1
2899,imagenes,79
2902,imagenes,72
2903,spam,25
2904,spam,62
2905,audio,52
2906,video,54
2910,video,77
2911,video,27
2912,spam,67
2915,imagenes,30
2917,audio,62
2918,video,84
2919,audio,4
2920,video,23
2921,imagenes,43
2925,video,47
2927,video,90
2929,audio,23
2930,audio,64
2932,imagenes,59
2933,spam,25
2936,spam,36
2938,spam,67
2939,video,53
2941,spam,35
2943,video,40
2948,spam,74
2950,video,58
2951,spam,71
2953,audio,65
2955,audio,15
2958,imagenes,62
2960,video,60
2961,audio,38
2963,spam,67
2966,imagenes,63
2968,video,39
2972,imagenes,13
2974,video,78
2975,imagenes,18
2976,audio,9
2977,video,19
2978,spam,85
2980,video,19
2981,video,36
2982,video,1
2983,audio,84
2984,audio,26
2985,imagenes,56
2986,imagenes,39
2990,spam,65
2991,spam,37
2992,video,44
2995,video,25
2996,imagenes,11
2998,audio,48
2999,video,56
3003,imagenes,81
3008,imagenes,16
3009,audio,86
3010,video,34
3013,video,30
3017,video,57
3020,spam,35
3021,video,79
3022,imagenes,16
3024,audio,88
3028,video,80
3030,spam,25
3031,imagenes,11
3033,video,6
3034,spam,22
3036,spam,62
3039,spam,83
3040,imagenes,30
3041,video,14
3043,audio,55
3046,video,64
3047,imagenes,76
3051,spam,7
3053,audio,39
3054,imagenes,67
3057,audio,70
3058,spam,80
3061,audio,68
3063,spam,66
3069,imagenes,79
3070,audio,82
3072,imagenes,22
3073,imagenes,11
3074,audio,84
3076,spam,62
3077,audio,23
3079,imagenes,81
3081,imagenes,77
3084,spam,15
3085,spam,10
3086,video,35
3089,video,47
3090,imagenes,66
3093,imagenes,7
3094,video,48
3099,video,74
3101,imagenes,4
3103,video,62
3106,spam,86
3110,imagenes,50
3112,video,35
3118,spam,28
3119,imagenes,49
3120,video,52
3125,audio,58
3127,audio,50
3132,spam,44
3134,spam,7
3137,audio,66
3138,spam,17
3142,spam,1
3143,audio,53
3144,video,78
3145,imagenes,81
3146,audio,61
3152,video,25
3153,audio,20
3156,audio,70
3162,spam,20
3163,video,12
3170,audio,76
3172,audio,24
3176,imagenes,29
3182,video,65
3183,audio,89
3185,video,48
3187,spam,45
3188,imagenes,89
3189,imagenes,46
3190,imagenes,66
3193,audio,72
3196,imagenes,46
3199,video,21
3202,spam,7
3203,audio,39
3204,video,90
3206,video,25
3208,spam,60
3209,audio,40
3212,spam,4
3215,audio,4
3216,imagenes,25
3218,video,27
3219,imagenes,65
3220,spam,70
3223,video,31
3226,audio,62
3231,audio,1
3233,video,42
3234,imagenes,20
3236,video,4
3237,imagenes,59
3238,video,57
3239,audio,49
3240,audio,90
3243,imagenes,39
3244,audio,53
3247,video,16
3249,audio,12
3251,audio,2
3254,spam,83
3256,spam,23
3259,imagenes,10
3261,video,53
3262,audio,17
3263,imagenes,58
3264,video,57
3266,audio,90
3267,audio,15
3271,video,14
3272,spam,52
3273,audio,46
3275,video,54
3276,audio,35
3280,spam,51
3281,audio,68
3284,video,25
3285,spam,87
3286,video,84
3287,video,82
3288,audio,76
3289,video,70
3291,video,15
3297,imagenes,53
3298,spam,35
3302,audio,43
3303,audio,45
3304,video,83
3307,audio,82
3308,video,69
3310,spam,90
3313,imagenes,26
3315,audio,61
3316,imagenes,86
3317,audio,58
3320,imagenes,83
3322,video,25
3323,audio,41
3325,video,38
3327,audio,50
3333,audio,14
3334,spam,25
3337,spam,47
3338,spam,16
3340,spam,53
3341,spam,28
3342,imagenes,26
3343,spam,43
3344,audio,45
3345,imagenes,77
3348,imagenes,39
3352,imagenes,72
3356,imagenes,5
3358,imagenes,61
3359,imagenes,75
3361,spam,31
3364,imagenes,14
3366,video,15
3369,video,88
3372,imagenes,22
3378,video,74
3379,video,62
3380,imagenes,39
3381,spam,73
3382,imagenes,26
3383,spam,73
3384,imagenes,17
3385,spam,17
3388,spam,16
3389,video,72
3392,imagenes,90
3393,imagenes,8
3394,video,83
3395,spam,32
3398,spam,57
3399,imagenes,26
3400,video,4
3401,imagenes,89
3402,audio,28
3403,video,90
3404,spam,8
3409,audio,86
3411,video,25
3412,video,29
3414,video,62
3415,audio,35
3416,imagenes,43
3418,spam,43
3420,video,50
3421,video,28
3422,imagenes,43
3423,imagenes,20
3426,video,20
3427,spam,51
3428,audio,2
3433,imagenes,30
3434,imagenes,83
3435,video,90
3436,video,89
3437,spam,49
3438,imagenes,66
3440,spam,12
3442,spam,21
3443,audio,58
3445,video,28
3447,video,61
3448,audio,18
3450,video,26
3451,audio,15
3452,video,23
3454,spam,69
3455,video,55
3457,spam,53
3458,audio,15
3459,video,85
3462,spam,62
3465,video,27
3468,audio,52
3470,audio,86
3471,spam,90
3472,imagenes,85
3473,spam,25
3478,spam,27
3481,spam,8
3483,imagenes,52
3486,video,8
3489,spam,69
3492,audio,34
3497,video,24
3502,imagenes,31
3506,imagenes,90
3507,spam,25
3511,video,30
3514,spam,21
3519,imagenes,11
3520,video,44
