numero,fecha_dictamen
5332-26842-JN,2019-08-05
41314-95451-KA,1993-03-05
88280-15844-GF,2019-03-04
56633-55074-MH,2015-08-29
88104-35890-NB,2017-06-08
45806-17701-BD,2099-05-09
59766-622-AD,1996-01-08
73961-74990-OI,1997-09-19
38445-14261-KI,2017-05-16
8408-55431-HD,2011-08-19
58310-81724-EM,2015-01-03
38317-81420-LK,2016-07-06
88355-75891-DO,2006-12-01
18375-32934-HA,2019-02-17
40917-85780-OG,2011-01-03
22569-85132-EO,2019-01-18
62210-85464-BE,2005-03-03
69702-57651-GF,2019-05-07
20294-68376-MI,2014-07-12
62438-58719-ID,2010-11-20
87345-98996-FN,1989-07-12
61716-54477-GH,1996-05-05
35747-61648-GI,2015-05-31
91609-9651-NA,2015-09-14
63632-88004-NO,1973-03-19
4436-2326-IK,2018-08-22
5930-54688-NB,2017-05-12
86127-94020-IG,2018-03-07
52501-35380-BA,2019-05-04
10297-96037-NB,2019-01-04
39740-33960-AE,2019-06-13
92284-59559-KK,2019-08-23
72863-84806-KE,2018-03-24
54164-4511-DB,1998-09-27
51938-21205-OJ,1996-07-10
40946-82076-LO,2015-05-27
53774-66575-MB,2018-05-08
86680-48983-OI,2003-07-31
53761-16248-JH,2011-02-24
79431-80670-LF,1990-11-14
78766-65377-ML,2017-10-04
21780-67227-EE,2018-04-30
63996-26058-DI,2019-07-07
55755-56717-BD,1999-01-29
67349-49899-HF,2006-02-25
15499-11395-BK,1971-02-01
17765-54876-GE,2017-05-01
31087-51550-DK,2019-08-17
75190-29365-KA,2009-08-26
53633-38143-FO,2016-01-27
36124-42584-BH,2016-09-14
30892-82624-LH,1993-07-10
69260-49230-DD,2008-12-02
13827-22125-NI,2018-04-12
16561-56709-DI,2018-12-11
19133-4266-FO,2017-01-09
23260-58469-BG,1992-01-22
26031-677-MB,2007-10-25
92732-20240-NA,2009-04-12
83612-36874-EN,2018-12-05
32735-96762-FJ,2016-03-14
95677-87702-IA,1985-11-01
76674-16027-NJ,2016-01-04
17173-54488-OA,2019-06-29
99503-33039-MA,1995-11-26
15963-32663-FD,2010-06-16
90077-64093-FF,2013-05-13
3831-95115-IE,2006-07-03
47014-81990-AK,2011-03-27
13216-18575-KH,2019-04-12
42444-63954-DD,2015-06-29
75054-76434-NE,2015-02-05
46288-28815-LH,2008-09-24
71959-72466-AO,2014-06-16
5639-16870-MB,2013-10-20
29657-4103-IF,2011-11-14
49688-92691-FE,2019-08-18
70137-56890-HN,2013-08-21
68856-40737-NK,2001-09-22
56647-42502-AD,2018-01-12
60038-57619-BO,2019-06-28
15914-82677-BI,2019-07-03
35182-19831-HH,2000-05-06
47444-41443-FH,1996-11-13
7934-32949-KE,2010-06-12
86588-91383-JD,2000-01-05
61597-66009-IM,2011-09-22
46320-8513-NN,2016-03-06
19257-66234-EB,2010-12-11
33633-19647-OL,2011-11-24
70381-51138-OM,1994-10-15
86037-18059-MO,2014-07-02
96548-74673-HO,2017-12-03
52841-57823-ID,2018-08-23
65722-41979-AG,2017-10-16
14765-40161-KM,2019-02-06
43266-80914-GA,2012-01-31
89011-68127-KK,2002-06-30
84411-45006-KK,2017-10-14
93424-71561-BO,2018-08-26
83406-55486-LK,2019-03-02
52881-82973-BJ,2012-03-11
29511-32952-MN,2019-08-20
2293-10939-DN,2011-09-06
9690-71077-NB,2016-04-30
23089-62116-DM,2002-05-31
98898-88465-FL,1975-03-09
52815-71131-LO,2019-08-01
72601-12798-BI,2000-01-01
57419-14597-HO,2019-05-26
54082-25486-JA,1998-07-01
58490-29388-BO,2019-08-28
5077-87269-FA,2008-08-16
4107-17683-AE,2018-09-08
45760-84407-HB,2013-06-26
1048-1576-JF,2000-10-22
56348-90944-BB,2013-01-08
95297-81760-LN,2015-04-02
74819-3605-AK,2005-12-29
20124-29706-DL,2007-05-16
43773-38360-HO,2018-04-22
77610-37-OB,2019-08-06
26953-83996-KE,2018-07-30
16279-75937-JI,2018-09-02
59350-46142-KJ,2010-05-20
6375-82595-HF,2013-12-25
86908-27228-HH,2019-05-02
93213-15506-GL,2018-07-21
44625-48291-GA,2007-08-24
14477-18964-OD,2014-12-26
54619-8930-BG,1991-03-17
34083-71049-OO,2007-05-16
97840-52918-NK,2017-07-28
91562-88497-KE,2019-08-11
46699-75218-ED,2018-03-04
7348-34541-HB,2000-02-06
56369-8332-AD,2002-05-04
55181-77178-LN,1997-08-08
13253-98183-EB,2008-06-08
8700-73071-MD,2012-02-27
98474-86225-KD,2016-07-16
65658-26378-JJ,2019-08-24
90919-23833-FK,1997-02-12
63620-41909-BG,2017-02-01
51912-87752-LL,1982-02-08
20204-52986-HD,1996-08-16
73402-78680-HF,2011-01-19
37170-9166-BI,2017-05-31
44872-57274-HI,2016-04-20
90758-65896-BD,2019-07-08
94831-48106-HL,1975-02-23
88995-64668-IA,1999-10-25
51697-44766-EA,2016-08-07
51819-80058-KF,2019-08-01
68565-94447-LJ,2014-05-25
23329-59331-OA,2015-04-18
92474-66064-NN,2010-01-17
54701-95462-GL,2019-07-02
45370-75523-OG,1988-05-07
78396-28833-JO,2006-12-18
39079-20547-AH,2018-08-25
57835-44880-DE,2004-06-29
79292-20475-GB,2011-10-03
86066-53347-FF,2003-12-18
37715-61674-AA,2008-10-03
78230-5797-EG,2019-04-25
50340-35367-JB,1995-04-25
51430-61935-AI,2015-12-22
27689-72567-DG,1991-03-08
38745-62800-KH,1995-07-18
64372-18798-IO,2019-04-03
88293-52542-NL,1989-06-16
16515-59243-NI,2018-08-14
38116-72701-HF,2004-12-03
51834-24227-NE,2014-11-11
5458-21013-DH,1995-01-03
20647-69613-FH,2019-01-05
92860-70226-OJ,2015-02-13
45573-95932-JN,2003-10-16
88772-82934-NE,1992-02-04
93791-83240-HJ,1992-01-12
5713-97437-OJ,2019-04-21
62213-81405-NF,2006-01-18
83283-93109-OL,2019-03-23
7095-36191-ME,2018-04-07
90868-18488-LL,2016-11-17
58606-60079-MF,1964-09-30
84159-43996-GK,2002-10-26
9259-38806-AG,2009-11-08
1944-7535-GO,2018-08-25
56250-67092-MI,2018-07-27
99285-71398-MG,2018-07-12
79367-34965-IE,2018-11-28
30762-38914-FH,2015-01-27
99050-85831-MB,2001-03-10
74972-39603-EA,2019-07-03
55066-89137-HM,1981-11-07
13928-22629-FB,2011-03-02
19384-33754-BH,2016-10-30
64620-8221-FJ,2016-12-31
42463-43806-OE,2010-05-28
16533-76720-MH,1980-11-15
34741-49101-BF,2007-04-07
66675-71715-BK,1996-04-14
49632-29899-JF,2009-01-20
80831-10898-OB,2018-09-26
74126-66371-JI,2019-04-16
42079-71220-AD,1985-01-30
55822-89358-FA,2016-11-03
45400-95000-LA,2011-11-14
593-44993-FL,2007-08-27
74908-74287-MA,2016-07-26
68053-97395-FD,2013-07-25
69323-85816-OK,2000-05-04
44524-25058-NJ,1979-04-12
19624-68429-AD,2006-01-10
28734-47339-DN,2009-03-27
12463-74756-OK,2012-08-05
98660-42691-BE,2013-11-13
4718-65867-EH,2019-03-14
8888-17823-GI,2015-07-31
67941-60681-KO,2006-11-21
15977-36241-IN,2017-06-15
43122-15728-NK,2019-06-22
44981-38533-LD,2015-04-13
11404-18024-ED,2018-10-07
69321-62174-ND,2015-01-29
74004-40384-EK,2012-09-02
58071-52208-GH,2018-01-26
7723-90720-OI,2005-09-02
84650-95169-LJ,2017-02-22
69134-80125-LH,2016-03-02
25089-20410-MG,2018-10-30
22461-25450-BL,2011-12-20
28274-75799-JO,2019-03-18
56403-12644-EE,2007-12-18
33604-85591-IK,1984-12-01
94797-74575-NB,2016-06-28
93676-51807-DB,2012-09-04
70749-61958-HD,2017-05-20
72218-3486-MK,2004-11-08
99564-43306-DL,2006-01-03
34133-73251-KM,2019-05-26
9342-20465-BG,2016-11-03
76701-8930-NN,2017-02-13
1905-18221-JK,2013-09-09
44446-31481-MH,2001-05-01
19595-17583-NH,2017-12-08
98348-3410-JD,2014-01-22
51361-54213-OE,2014-04-29
2241-5253-LF,2014-01-02
98595-48855-AK,2007-12-21
76953-39705-NL,2001-07-13
70045-98822-IB,2019-02-17
39462-56107-OL,2007-05-26
3766-5360-DO,2019-08-04
30266-91675-FD,2016-06-28
75816-16353-DN,2019-01-07
66318-85726-DL,2012-08-03
1021-7552-LM,2011-05-27
18789-77918-AG,2018-10-30
88397-27653-IF,1975-12-21
41942-48829-AI,2017-11-11
83466-61663-MJ,2019-07-15
28300-79864-JF,1980-02-03
22464-93626-AO,2000-03-30
29658-97131-IB,2002-06-17
56530-11105-BE,2004-01-19
66723-89972-EN,2014-12-08
89165-99202-BA,2018-05-25
11992-15712-KH,1990-09-23
42807-12802-MO,2019-02-28
21219-6931-FG,2016-07-10
19967-94224-MD,2005-03-02
80778-29384-FM,2018-09-20
42760-72836-BM,1988-12-19
97105-27930-OK,2019-08-17
49959-90034-GO,2009-06-09
25999-69032-JO,2004-12-22
82990-84908-IJ,2018-05-23
54993-89786-AK,2019-06-13
5055-50452-KO,2013-07-27
20210-43274-MA,2019-05-08
81478-50474-LA,1991-11-09
98276-52811-HH,2009-09-04
62393-17866-KI,2019-08-02
97304-17667-GE,2019-02-03
72870-78406-DO,1999-11-14
56346-99393-GN,2010-09-23
20569-81633-NB,2019-07-30
74225-87206-IM,2000-02-19
35168-56113-MB,2018-01-15
7746-53673-FF,2017-06-25
60174-54917-LL,2007-09-28
70440-66845-BB,2019-03-27
26415-28243-AG,2014-07-08
19944-2222-AK,2019-07-30
86525-59179-JL,2009-10-02
41289-78818-IL,2016-04-22
75036-65275-HK,2004-02-28
5090-93447-JN,2006-12-19
38628-14914-JE,1999-08-26
11955-16891-II,2015-11-19
69920-89888-BM,2014-03-04
75841-66240-LM,2017-10-22
96977-48887-GK,2019-01-12
55664-27186-GJ,2002-05-04
34179-88687-EB,2006-05-13
76824-57341-BM,2014-06-17
84565-32980-OG,2003-02-27
96223-51576-HB,2007-01-07
57426-85560-OB,2010-07-21
93131-77659-BH,2013-11-27
62427-92793-II,1995-11-04
47099-29636-OA,2018-07-01
62712-5912-GD,2018-09-16
76287-5334-BD,2005-04-28
56987-44515-AN,2018-06-29
8616-27903-JI,2009-06-09
46248-17712-BD,2015-04-18
65129-3293-FK,2009-05-21
95420-67304-LL,1996-05-03
9661-80290-GL,2015-09-26
70843-65615-DA,1996-04-26
45834-25510-OI,2018-12-08
16638-41862-BB,2016-04-03
93658-31767-BL,1982-06-15
44408-96763-GN,1981-05-09
8747-4018-MD,2019-07-05
43268-88910-MN,2016-07-08
1397-11807-GJ,2015-09-19
57017-63849-ML,2018-07-29
86867-66603-OL,2005-06-09
4050-46473-HH,2017-05-23
57503-12986-NA,1992-02-09
25055-74501-DG,2005-11-06
64407-51428-LI,2018-01-03
63875-39677-HG,2010-11-21
56501-31047-IB,2003-03-08
87494-23953-NM,2015-07-06
19200-16736-MJ,2000-12-03
57159-60476-BI,2004-07-05
25900-17295-EB,2014-04-25
19087-37387-HG,2010-09-19
48535-68043-JF,2004-06-05
60964-94646-BL,2019-05-29
54965-29995-EM,2011-02-15
64301-12411-OJ,2001-12-25
89898-83193-HF,2018-12-16
70516-6436-BE,2012-02-04
32646-14810-MB,2004-01-08
21122-72596-GM,1991-04-21
7403-83772-OB,2004-03-03
52031-28209-HE,2017-06-27
79951-46236-BE,2016-01-17
57796-60925-GF,2018-11-29
1646-5815-NJ,2016-08-28
56914-11995-LA,2018-07-08
99622-78099-HN,2009-11-22
6781-80663-KI,2010-10-07
65237-18957-BA,2016-05-22
66072-28996-FM,2006-05-07
21288-52634-BG,2018-09-25
72057-22081-MM,2010-01-22
6626-75506-EN,2017-11-05
85567-68485-DD,2019-06-16
6328-47444-EE,1979-06-12
95008-82783-DE,1991-09-02
36649-77004-OL,2018-06-14
1076-87385-IL,1971-04-02
4920-68528-DL,2017-02-04
12330-51355-AA,2016-04-07
36544-8811-IM,2018-12-27
57796-10934-AD,2019-08-13
28080-96626-AH,2019-01-06
17301-80540-JD,2016-10-05
25511-82686-BA,2019-03-14
81412-13527-NE,2010-04-21
69794-21681-JB,2018-07-19
56508-76625-EF,2018-10-18
13036-20034-ML,2009-09-12
76506-93013-LB,1997-07-20
90796-7752-KE,2016-02-04
78128-35970-BH,1983-09-20
53181-60830-LI,2012-04-29
56416-19094-FD,2019-02-06
34573-12905-KD,2017-06-11
92476-6761-OD,2019-05-24
47239-96769-BF,2008-03-13
15768-21103-BB,2016-09-29
30113-74089-OI,2019-01-25
85758-83360-LO,2013-11-27
11997-30192-EK,2018-01-05
45287-39198-JL,2012-09-22
43799-501-BB,2018-07-03
95745-80699-BE,2008-08-09
62887-26602-DO,2016-11-01
8225-34335-IB,2017-12-13
40656-15470-HO,2006-05-30
54948-75978-DJ,2018-09-18
35210-66479-GK,2010-04-17
64327-76979-MD,2012-09-28
82362-61917-HF,2010-05-16
586-32563-GG,2014-07-18
77988-60626-KO,2019-08-13
83278-7087-IK,1982-11-29
57981-72370-GI,2016-08-21
75862-44238-HB,2006-04-18
46702-554-GM,2010-12-26
78824-83893-KO,2018-01-01
68368-28591-HK,2003-04-26
6061-80952-MG,1969-03-05
91506-12633-OL,2018-06-18
94399-25941-JM,2014-09-10
45802-76507-FK,1985-11-22
36820-53428-BI,2019-01-29
44188-77102-EE,2009-04-07
84068-22318-GE,2003-03-17
26949-78192-LJ,2013-12-31
89151-6110-FL,1989-06-26
29938-92491-LH,2019-04-15
2828-78876-FB,2019-07-05
48870-69412-EB,2019-06-15
96978-98024-MD,2018-09-20
70283-91973-LG,1987-02-28
89109-54346-DE,2019-03-19
12408-98589-JF,1997-06-24
8801-17275-LF,2019-08-10
25562-33723-HG,2019-08-25
3008-32133-EI,2019-03-11
59169-43387-EE,2016-09-23
544-7587-FM,2010-01-01
86534-65941-II,2017-08-26
55345-40895-FE,1996-06-05
65306-31591-BA,2007-12-05
68215-42666-OJ,2009-10-31
24644-23329-MJ,2011-03-10
41812-47366-DF,2013-09-05
10222-88939-JA,2016-05-31
7845-759-NO,2014-01-02
91046-95830-DA,2017-12-13
21032-73361-JJ,2019-05-16
24814-14725-GL,2014-08-06
81576-13811-HO,1999-06-30
14930-53554-OK,1988-03-14
38838-23402-IK,2016-05-18
20385-62176-OL,2014-04-24
95133-53818-ON,2019-04-01
1704-80676-EK,2018-04-15
53974-80372-NB,2000-10-18
50380-33563-DD,2014-02-13
44616-15310-LN,1996-05-13
50404-48182-KI,2007-09-30
37427-23735-GJ,2017-11-26
56151-45303-OF,2011-02-28
854-83108-GA,2014-08-18
18688-66567-BB,2018-07-18
39917-99858-MF,2017-08-12
38179-51267-BF,2001-01-20
65837-76682-OB,2015-11-30
42437-21100-ED,2018-02-11
27927-60833-OD,2017-05-30
70270-14247-OG,2017-12-11
32893-31521-BH,2017-09-01
56618-71162-BK,2015-05-26
21118-48068-NO,2016-04-03
61230-38725-HK,2018-08-09
24737-87042-BN,2017-09-12
84718-25646-EF,2018-07-09
57174-70309-BL,2013-10-30
72849-13575-MK,2016-03-28
36199-94215-MK,2010-12-20
5849-98915-IB,1973-11-27
64242-99155-HH,2019-01-08
62894-14353-BB,1959-10-29
64946-23038-IN,2014-12-05
23996-89210-EJ,2010-05-20
76627-84585-IL,2015-05-01
62524-25469-HM,1977-02-27
48575-73662-NI,2010-12-01
95278-16055-HH,2001-06-05
99618-96065-IF,2019-07-19
35446-88800-EG,2019-02-03
19506-38572-GJ,1995-09-28
7895-80464-JJ,2010-02-26
30139-93234-DM,2017-06-17
2887-14837-DG,2015-09-10
28403-16946-ON,2005-01-20
35194-97121-JN,2013-10-03
20418-2227-BD,2017-12-23
23144-99619-BA,1990-11-19
58477-7695-BF,2009-03-06
79645-90640-OO,2017-09-05
49776-93467-EA,2019-08-30
43085-90317-AG,2018-03-04
86698-79739-LA,2004-10-22
71720-73220-HO,1980-11-10
40907-87398-HB,2018-07-27
39897-15273-HI,2018-08-22
76972-45666-BN,2016-12-12
70904-6617-EB,2019-02-15
15405-38438-OE,2019-03-03
11903-22970-AG,2014-08-31
84509-1919-HI,2018-12-16
44169-39435-BB,2018-09-24
3684-80673-LB,2006-08-19
99978-69322-IG,2006-09-14
25032-73969-FL,2015-01-14
20405-88513-DM,2016-08-04
8353-66252-IM,2018-09-18
11643-65694-HN,2008-07-12
13448-70012-ON,2015-12-11
73361-16687-LD,2006-04-07
80104-58829-JG,2007-11-24
28397-62130-OA,2010-04-16
53387-48626-OK,2012-11-16
8705-88346-JL,1998-06-26
99666-32027-GG,2018-09-18
89219-22641-OA,2016-02-15
27684-70806-OE,2019-06-08
28681-33421-MO,2014-06-12
50329-60777-AO,1978-08-17
87263-89639-LA,2015-10-11
35280-81866-IG,2012-10-31
7563-93783-BO,1988-06-12
7841-15888-EI,2008-02-12
44204-61354-BN,2019-06-25
97248-23019-FB,2019-08-15
82871-70578-AK,2016-07-21
62420-65575-OM,2017-03-26
16681-51228-HE,1996-03-08
97608-91436-IN,2014-08-30
8161-15981-MA,2010-01-25
99643-11705-BF,2016-08-21
93423-86464-KL,2006-04-07
5131-97229-HE,2018-02-06
23430-26622-BK,2018-04-04
63103-8909-HN,2017-08-22
61326-98527-NL,2018-12-14
57983-46044-MF,2099-09-01
69813-6032-GB,2011-02-23
28062-39954-BH,2019-02-04
34051-45007-LB,2019-07-25
71661-1399-IJ,2019-08-12
35144-94993-GN,2013-04-26
51874-54976-EA,1995-01-07
73478-14227-GE,2016-10-24
73448-20777-MB,2006-11-18
31716-87883-IB,2015-02-06
96008-49301-NB,2013-01-24
87788-34906-JB,2019-07-07
43749-92620-EI,2014-06-25
40041-66528-JE,2010-03-29
54364-77191-HG,1982-01-04
35257-94370-IG,2001-03-04
87732-96763-KH,2013-11-03
3484-4880-HI,2014-05-30
20763-2669-MN,2005-11-28
14493-51928-ML,2017-04-13
36105-2614-BA,2019-01-11
76690-55905-DE,2008-12-07
81076-58338-DB,2018-06-12
86720-10098-HD,2012-12-19
68696-32405-BF,2017-12-18
53153-67482-MA,2019-03-14
82696-63904-EG,2012-07-04
81337-87277-NO,2017-02-28
23570-78128-LF,1967-04-15
93694-77608-OF,2008-08-30
12283-90922-NL,2003-07-08
24036-33196-GO,2019-04-05
60972-65663-MM,2019-07-18
96949-84864-BK,2012-01-29
39413-12159-GL,2003-12-21
97773-67554-FM,2003-03-06
82093-21522-FJ,2014-06-15
86274-97560-BD,2017-12-05
99790-15612-NF,2004-11-16
35921-28587-GG,2004-10-12
8757-27883-FI,2019-07-02
27298-13059-JL,2016-08-20
1758-68827-NM,2014-09-22
87277-80711-BF,2004-08-31
69245-45868-OO,2007-08-17
16434-49384-DM,2017-11-17
11701-56058-HJ,2015-09-08
58082-65625-FF,2015-12-29
93868-81627-NI,2013-07-13
39196-77279-JK,2012-04-17
26097-87181-BB,2015-09-06
59106-69705-GH,2019-07-08
43883-71703-BD,2013-10-14
87225-36800-BB,2012-01-14
66976-34767-NA,2005-01-17
49905-14508-NF,2005-04-16
14346-54524-FF,2019-06-07
42315-62873-HO,2014-02-03
4897-98337-BI,1999-07-28
4232-20185-GI,2018-02-02
68106-91222-NE,2016-09-24
50556-51781-OL,2015-01-01
23414-46241-KI,2016-09-23
78210-61943-EL,2016-09-17
16934-95009-HM,2016-10-06
65207-44565-AG,2019-07-31
56650-70437-MI,2002-07-27
39502-77461-BF,2014-05-12
60906-86-AG,2012-08-08
6897-84026-IB,2015-07-19
85773-89760-BM,2017-08-17
93744-37862-KL,2019-08-28
87919-87565-OD,2016-02-21
31969-12999-HB,2015-06-27
22741-23607-GD,1997-11-22
32873-80426-FG,2018-06-16
47203-89775-LI,2018-10-28
93394-83881-GA,1997-10-27
63533-77788-IJ,2099-02-01
36051-46069-BN,2018-05-14
21646-6420-BO,2007-05-07
49611-92303-FN,2018-08-03
96157-84051-GH,2019-05-05
17697-64699-FD,2018-12-24
24658-2633-BE,2019-01-10
81101-986-DB,2002-12-29
66340-86160-BH,2017-05-05
68132-85843-BB,2010-10-21
93275-73129-LH,2007-12-19
72485-46072-FK,2008-09-08
71115-93547-LF,1982-11-10
60266-90454-AG,1997-08-04
46266-39811-DI,2018-08-19
36980-77262-IA,2007-05-21
76389-35753-GD,2014-12-19
12110-24712-ML,2018-09-13
31593-64010-FJ,1994-05-24
4689-41727-MB,2014-09-18
25641-89098-HJ,2019-02-20
13298-60809-IJ,2011-01-26
41244-73325-BB,2017-11-01
98698-28780-EO,2019-08-01
19163-76771-GD,1993-01-21
70823-58497-JK,1968-12-07
17509-33752-IB,1997-05-30
31689-81789-FO,2019-05-15
66708-50972-MD,2019-07-25
51460-62495-DK,2016-12-27
35439-34324-LB,2003-04-08
46585-19030-HH,2016-08-03
16586-78071-DL,2019-08-24
47675-33240-AO,2013-06-19
24030-23556-MB,2015-10-23
2848-42223-HK,2007-04-19
76187-44843-HA,2015-12-16
29699-90997-BB,2013-08-06
87623-53451-BK,1989-01-07
48072-18201-GH,2019-07-21
45933-8767-DO,2016-05-23
7697-7491-EK,2016-04-25
84388-61065-IM,2017-08-23
5034-78292-II,2018-03-11
30313-94467-II,2019-02-12
10967-27990-DH,2016-12-22
88555-19792-AF,2019-08-29
16474-11588-KD,2015-04-30
96407-87119-FG,2005-02-05
44867-98798-NK,2007-01-22
3650-54810-KI,2019-01-23
71547-56459-DH,2016-04-18
41261-76478-BI,2014-01-20
31626-35480-DB,2004-04-17
89953-26758-HA,2001-08-19
64016-38773-NF,2006-12-17
33355-67925-EB,1998-07-22
80609-69131-EM,2016-10-10
37917-34597-JD,2017-12-12
32862-86762-LM,2002-10-23
15464-34818-NA,2010-02-28
27614-6023-HK,2004-12-24
89048-47809-KL,2018-12-19
97709-7813-JH,2017-09-15
89991-64342-DA,2013-03-15
17807-4236-OM,1998-04-26
46760-22033-DK,2006-03-11
72132-28647-AB,2001-03-23
10004-57685-MF,2006-10-30
77217-43177-ML,2009-03-25
28503-84399-GD,2017-10-21
77899-24463-IB,2004-07-15
53110-71308-IF,2019-07-02
79318-58979-BF,2019-05-20
88668-46427-HL,2010-03-10
67251-34790-BG,2016-04-19
1492-99051-IF,2008-04-23
34862-99054-FB,2000-04-15
23008-79088-BA,2016-01-18
84854-12113-LE,2019-05-22
85742-81858-OM,2018-11-01
57290-27514-HM,2006-12-26
91108-61105-BH,1976-02-29
16085-71350-BN,2017-11-19
24456-65628-FI,1988-09-11
49588-58624-AB,2013-11-15
18133-84053-NB,2016-12-14
91582-13845-BK,1987-11-25
60029-85464-BB,2018-12-27
20609-29277-EA,2018-03-29
31380-97218-DK,2014-02-16
58947-93496-HN,2019-07-18
45375-31837-JL,1977-08-15
50802-72593-HD,2015-03-26
83323-3259-EL,2015-09-03
1778-30211-EL,2015-04-02
46974-24448-DB,2019-03-14
2333-96504-BG,1995-05-24
30329-59421-EA,1999-02-17
65477-29378-BB,2018-09-09
3137-74963-JE,2006-07-12
5211-81163-GE,2012-08-03
97826-249-IE,2019-02-17
90853-80711-KH,2019-08-05
93838-36052-LI,2015-12-27
50724-51229-LO,2009-02-11
45873-25726-DG,2014-08-24
98458-29926-KB,2008-06-19
61679-18958-NL,2011-11-21
32003-75141-BN,2012-06-06
65500-88713-KO,2018-01-09
68960-63998-BH,2011-08-02
20683-97428-BA,2004-07-09
54981-27122-FD,2019-04-04
92288-61366-GO,2010-09-26
82523-54891-BL,2018-11-21
43404-2293-MD,1976-11-30
59311-93299-BE,2017-09-07
71560-25511-FA,2019-03-15
