numero,fecha_dictamen
43980-91445-GF,2015-11-11
3186-41407-HD,2019-07-09
48895-50224-BO,2019-05-06
66203-16639-HB,2018-05-25
41719-34380-HN,2012-01-14
1671-13940-FB,1992-10-27
16168-65139-HL,2017-03-12
65076-92515-FA,2017-07-08
60125-88020-EJ,1995-08-07
8847-70563-GA,2016-06-16
78927-34906-AF,2013-12-03
76002-31884-HB,2011-02-07
22419-89006-MN,2009-05-15
31390-10675-JI,1990-06-17
79438-70598-OA,2099-05-10
14105-17965-NF,2018-09-21
14031-50854-DI,1969-12-30
92571-15775-IG,2009-11-26
28515-47758-HA,2015-12-26
19997-23211-BK,1985-06-15
22684-50841-DL,2003-05-14
74518-75950-BE,2007-10-20
89113-30145-NE,2019-02-27
20495-64198-KA,2016-05-08
31612-27030-GN,2012-12-25
99687-54592-NF,2018-03-28
73598-14413-EL,2016-04-04
24053-31033-EH,1996-02-15
17636-7621-BE,2005-03-25
87414-9611-GL,2014-07-31
47238-166-AO,2013-07-25
97851-38763-KB,2018-07-17
23059-52229-IO,2014-10-31
13113-91204-IB,2010-08-04
43937-17188-FK,2012-08-10
84781-76951-OM,2014-08-16
25648-25070-ML,2019-05-16
81340-3193-BF,1994-01-27
98872-17698-DB,1995-10-27
29882-86331-BE,2003-11-04
67925-92389-AM,2013-01-12
36238-26381-HE,2004-04-10
23452-61348-AE,2018-06-24
15117-86590-BE,2019-08-30
18699-22073-FF,2010-03-24
73187-45555-LG,2015-04-01
18030-36968-NJ,2019-05-27
93856-11256-BG,2007-04-17
2253-23657-AK,2019-04-29
43995-44394-MM,2018-07-28
67830-43035-BN,2014-07-02
71513-92419-OA,1999-05-20
3586-19278-BL,2019-02-16
21728-78263-KG,2016-07-23
46358-99061-OO,1994-04-11
67745-25836-HO,2019-02-17
1889-67972-MO,2016-08-21
92065-31029-BA,2016-12-08
78952-5907-EF,2014-04-23
39898-58963-LH,2010-10-22
11196-6830-JF,2002-04-26
87545-5148-DM,2012-03-12
22793-36725-DH,1997-09-07
5880-50821-KB,2019-04-06
34887-50690-FJ,2004-08-25
46213-77123-AI,2010-01-23
77091-52112-BB,1994-04-03
12661-73432-IE,2007-02-21
87973-82136-BB,2015-01-18
55320-17047-BA,2012-09-16
16834-16078-EA,1995-07-10
28177-20876-EB,1982-05-12
26116-55035-KB,2015-04-27
56899-69529-BN,2019-04-20
52159-40798-EB,2000-01-24
60866-18656-FB,2007-01-26
12342-9658-LH,1995-02-04
60817-10105-GE,2008-11-24
18743-65639-BO,2018-07-15
59332-18424-DA,2019-08-09
81752-96365-GD,2018-04-11
77633-50657-DA,2013-04-26
25599-34576-AE,2015-08-23
82195-14046-LO,2016-12-08
28600-8488-HJ,2002-06-30
67183-7387-FA,1994-03-16
87829-17879-BM,1985-01-07
67525-44905-OA,2017-10-30
7895-68461-OJ,2004-07-27
79161-17288-BA,2099-06-02
84644-52766-KF,2009-04-25
8999-42371-AH,2001-06-26
1899-25603-MN,1984-09-25
88641-24696-GO,2016-05-05
70434-40618-BA,2017-11-25
99640-97447-FG,2019-03-13
98130-23480-OA,2019-08-27
92749-97770-BO,2018-10-14
41319-78582-JM,2018-12-03
76011-68346-EO,2018-09-22
52530-31141-LE,1999-07-27
43480-26468-BA,1993-09-25
30720-19511-BF,2010-11-16
36287-34715-HF,2010-05-03
33685-28233-DO,1995-03-23
34427-80802-KN,2014-12-06
11290-61850-GE,2019-04-03
19385-82093-AJ,2011-04-23
52215-90963-JD,2018-12-14
92749-43026-BG,1992-11-20
7396-80687-GK,2019-03-31
46858-46602-BJ,2004-09-28
96415-12979-DK,2001-07-23
4482-90530-OM,1997-10-18
74555-7557-JA,2017-07-08
59481-17423-DG,2018-01-30
73973-45133-HF,1995-12-21
65891-21432-OD,2018-12-29
81498-13737-NL,2017-10-12
15773-43001-OK,2017-06-24
65662-54822-OH,2017-02-13
72493-29886-KH,2004-06-25
81142-59386-ME,1982-05-11
98968-29143-IJ,2018-09-14
13773-15136-HB,2009-05-30
76442-80743-HL,2012-09-24
29354-32901-NI,2015-12-27
66478-4933-NG,2017-08-21
22979-99943-MO,2011-07-05
18961-97544-KD,2019-05-24
85856-95158-MB,1985-09-05
29318-34865-EA,2003-10-01
89847-59126-NN,2017-02-01
17958-3267-NG,2015-10-17
56713-62803-AE,2019-06-01
35476-37213-FG,2012-09-03
17793-70475-NF,2015-06-20
53776-85965-NG,2019-06-27
71811-42782-MH,2017-11-03
89437-87142-BI,2019-08-11
51263-79843-MB,2019-06-20
34737-17127-ED,2009-11-20
36098-1854-HO,2015-05-15
72208-78137-JA,2019-05-08
69099-63486-KE,2018-11-30
49854-87732-AK,2006-05-28
50645-69919-DM,2017-03-01
12290-64424-OE,2017-07-28
91571-60062-AN,2009-12-01
17638-67276-NH,1997-06-16
89603-37807-HG,2018-03-13
40743-10883-DB,1994-09-13
77898-10604-IG,2016-10-06
16073-21902-BH,2019-07-03
9310-48628-FL,2017-05-06
81341-44442-OF,2011-01-12
50894-3795-JE,2003-01-03
36513-64327-AE,2015-11-22
33410-42093-IJ,2014-05-16
30056-17350-BH,2018-06-21
84813-42647-FD,2018-08-08
30961-40858-OB,2016-10-04
44024-84022-IE,2016-08-04
51790-65795-GE,2019-07-25
36234-19203-FN,1990-08-10
78884-56156-FK,1996-07-07
50150-12462-HG,2017-05-14
97475-36107-AF,2016-07-03
64269-40017-NM,2016-06-26
4499-73289-OM,2019-04-03
86519-31611-HH,2019-02-24
17381-45899-LF,2013-06-03
59600-64091-JH,2009-09-17
80705-74676-LH,2011-08-25
25275-20504-JH,2014-08-14
2241-19669-KO,2016-03-24
53724-36122-MJ,1976-02-06
65074-9664-HE,2017-05-23
9928-48956-MN,2018-10-30
627-72034-IG,2014-09-21
6373-70087-BL,2017-11-23
80360-65941-FE,2012-08-29
65927-69316-DN,2014-01-13
32881-41955-EB,2012-04-19
37913-38544-OH,2010-02-18
76268-80945-IL,1985-07-23
99845-58699-BJ,2019-05-18
42478-49124-AN,2014-07-07
93953-82782-DB,2019-07-08
6127-42377-BN,2019-07-29
81871-20219-GL,1987-04-08
55323-42065-DI,2018-08-15
83990-6923-MO,2012-06-09
11539-58111-OJ,2014-12-15
54742-21401-DK,2017-07-16
61635-66510-BG,2015-01-27
61434-62529-BG,2018-11-13
42677-98248-FO,2019-08-07
78264-43001-OM,2007-04-12
6474-21852-BE,2012-08-01
15957-37860-GM,2016-12-14
92868-98666-BA,2010-11-29
40575-28667-MB,2018-08-02
83099-69985-IB,2001-03-31
11270-2133-FH,2010-07-05
32926-46394-JE,1990-06-29
7167-17071-MN,2019-04-07
23374-78536-DO,2019-04-15
87810-14844-DB,2017-06-16
28103-76944-KH,2017-03-23
99171-9954-BB,2019-08-10
13895-63098-IK,2002-03-13
66909-90749-AB,2016-11-19
98529-94758-LO,2017-10-09
76798-23292-AB,2016-03-04
24125-69062-GB,2010-04-26
38311-99894-BK,2005-12-22
62899-24509-ED,2015-01-09
71102-84728-BI,1980-08-19
35988-7921-JJ,2006-12-11
92834-37077-OB,2012-08-13
83533-17169-KN,2001-05-18
70249-38591-EJ,2009-10-08
7861-64489-HD,2016-08-24
13031-52833-NE,2009-03-06
75385-1995-LD,1993-05-23
7061-11023-MM,2013-01-11
18039-81824-HE,2016-02-12
3708-51080-GJ,2015-01-10
51771-80123-AH,2016-04-10
15164-97027-OO,2018-07-10
44238-3344-OI,1992-09-29
38970-67822-GF,1999-09-19
31626-77108-EK,2019-06-24
66681-53911-ND,2015-07-24
3083-47182-NJ,2018-08-24
96020-37281-BB,2007-07-08
9640-80669-JF,2007-11-20
45301-5241-KN,2018-06-18
9318-58427-OO,1970-04-10
95669-48059-EM,2014-05-05
45866-66756-NE,2018-11-08
80023-68097-BL,2019-08-17
29746-47101-FG,2011-07-23
5804-50964-EH,2018-01-27
60419-16793-MM,1996-11-30
67830-77768-DE,2012-06-13
25616-91210-ND,1979-12-16
9147-12886-LN,2099-03-02
55560-33894-HH,2019-08-08
76900-62477-FL,2019-08-20
61624-77739-OA,2019-08-28
97354-21849-GM,2000-09-04
19827-99829-OE,2014-09-12
1266-8494-BN,2000-07-28
62572-15879-HA,2018-09-15
92926-6350-NN,2005-11-15
34916-7036-LG,2017-10-08
77576-57730-HB,2019-07-28
50540-22674-DE,2015-07-05
6510-90921-MG,1994-12-06
88629-72465-LL,2000-12-15
94869-889-MH,2019-08-12
83741-36454-JB,1994-03-03
50342-37932-MD,2016-04-07
19276-59590-FD,2014-10-18
51846-35730-HJ,1997-09-07
16973-56808-AG,1994-07-31
78132-15295-LI,1999-02-18
33756-40666-MN,2005-07-03
82953-7730-BB,2017-05-12
86635-60941-AN,2001-02-09
47734-47150-BF,2011-12-18
98958-52300-BO,2017-08-30
98691-77280-FA,2010-01-25
2947-93016-OM,2015-02-18
47203-6600-DI,2017-06-22
34940-67338-IB,2019-08-26
68508-65212-HI,2003-02-14
61334-74252-DI,1996-10-17
39996-31215-LO,2002-06-16
12177-79609-LB,2016-03-05
8928-74797-JN,2019-02-21
50662-20944-DJ,2011-07-01
24081-40592-IN,1996-09-06
66699-12579-FM,2017-12-27
14094-96348-KL,2012-11-18
70197-47622-HD,2019-08-12
11487-5277-MO,1992-08-27
16897-62638-OO,2016-12-13
24407-30806-AG,2018-11-26
54677-68508-JK,2014-01-07
18103-8715-NG,2018-04-20
43550-95207-EF,2017-04-05
57382-48953-HO,2019-07-04
73894-46474-BB,2015-12-22
66418-69704-GJ,2018-10-14
91659-64978-AK,2007-12-28
5151-16815-DN,2009-03-27
32211-86324-BB,2012-02-09
28180-10909-GG,2019-08-13
96573-16418-HO,2017-06-28
33611-40909-NM,2018-01-11
94810-63183-IL,1994-05-24
3360-93885-NL,2017-03-20
59701-5287-BD,1981-11-05
97439-59363-AI,2016-03-03
70708-73283-LJ,2019-06-04
68062-69059-NG,2017-08-27
23719-80145-HI,2009-08-03
18319-87452-HI,2014-06-02
18517-61620-IN,2018-04-22
10577-97873-EJ,2019-07-08
60649-96176-ON,2009-12-30
29657-37773-BE,2003-02-16
76992-17558-JD,2018-01-20
49671-94135-MH,2017-12-28
72038-92048-DF,2011-10-06
27796-75870-GE,2015-05-31
89410-5664-EL,2010-12-17
33451-87161-EH,2019-05-24
84597-18292-EJ,2007-02-27
54684-70570-LK,2014-11-27
41905-10024-GA,2019-07-05
6325-11636-LK,2007-04-26
93802-63821-GH,2007-10-17
61070-77944-LG,2013-02-13
58410-8552-JI,2003-08-23
73128-70254-KL,1982-03-05
96569-55924-NN,2004-04-11
47054-95858-NL,2019-05-15
85687-63026-GB,2017-03-03
72601-6841-DJ,2016-02-02
15173-13427-BD,2019-07-23
74926-58176-ME,2011-06-20
85848-72091-FJ,2013-08-03
46254-45131-DB,2019-08-01
32387-9760-DA,2007-05-06
8780-34116-FN,2013-06-22
23526-90027-BM,2000-06-02
77573-93529-KH,2004-11-13
60730-39074-FL,2019-01-14
98539-55635-JB,2017-10-24
85683-84718-LD,2007-10-08
55781-8711-FN,2018-02-14
6545-68353-ML,2012-09-28
1379-18514-AM,2019-07-19
12571-28336-FI,2018-02-02
69077-37970-BJ,2012-09-09
52403-50019-OB,2017-01-28
20999-49345-KB,1990-10-26
82512-86188-LD,2007-10-05
17530-98930-AK,2018-03-14
10853-13171-HL,2012-08-28
41911-16387-IE,1990-06-04
38452-25143-GO,1972-05-26
43128-81227-KH,2018-01-13
64771-74476-JO,2013-03-05
60222-14488-FJ,2016-02-16
67711-55336-EA,2009-11-22
92361-15005-JB,1993-09-28
74647-31249-FH,2008-01-30
89258-33924-DB,2018-09-17
63706-61545-JB,2000-09-04
40696-66037-AK,2000-12-28
58215-57561-ML,2002-01-17
4098-33364-EL,2012-05-21
39807-16755-BM,2019-04-10
70507-50065-OA,2016-04-30
65830-24020-GL,1996-12-04
95742-41232-BL,2011-05-18
66353-4655-LM,2002-12-24
8079-3955-HO,2019-08-11
72167-47308-DA,2013-04-29
34524-89176-EL,2017-09-14
61301-76695-LF,2009-11-05
98542-1569-BA,2016-10-20
26299-16822-JK,2015-08-22
95473-25088-NJ,2017-08-21
67067-57510-HL,1992-06-15
3746-99796-BM,2016-02-01
50482-96209-DM,2016-05-29
64461-77518-GG,2005-03-29
55786-91131-JL,2012-05-14
73593-24865-EG,2008-01-13
95345-2841-MD,2011-09-25
67267-14320-FG,2002-11-01
61847-31892-BK,2007-07-09
34501-18994-ID,2019-06-16
43244-65024-KI,2003-01-27
80201-51468-BG,2007-12-10
69849-44928-BG,1990-02-13
76753-87016-EB,2006-10-22
40827-48056-MG,2018-12-09
80661-74060-MA,1984-03-08
63958-2012-ID,2006-08-07
51212-25936-BE,2014-09-20
20578-96575-AN,2012-11-15
47160-47324-FN,2010-11-05
29440-24146-DG,2018-09-06
3829-73796-JL,2011-12-20
21966-70424-HL,2018-01-21
2973-77857-BJ,2016-04-17
10621-12519-BK,2017-05-01
58026-27963-NL,2017-04-16
31874-82815-BF,2009-08-07
301-32544-AH,2019-02-12
59078-32616-JN,1978-04-05
73753-51556-BM,2019-08-15
511-88267-BI,2010-10-08
55737-79059-MN,2002-07-15
76197-18340-GB,2011-05-19
54935-36239-DJ,2017-07-06
7348-2765-FB,2018-11-04
79844-7046-EO,2017-10-25
40652-24690-KB,1992-05-25
42415-68693-NL,2016-03-18
22174-77465-OF,2019-03-21
65111-25351-OE,2017-09-23
54575-80761-BL,2019-07-29
97203-46447-DH,2019-02-10
58177-1795-IK,1997-01-31
34493-9039-ON,2014-11-12
51330-39220-NG,1994-09-29
93318-17822-BN,1992-09-20
50127-68789-NK,2005-11-05
80568-64594-IJ,2013-06-02
90482-77521-DB,1991-07-03
94815-39849-EM,2019-07-22
6130-61074-HO,2004-05-04
655-72382-DG,1995-02-26
497-90804-OK,2018-09-28
61687-7316-BA,2016-04-03
87023-75414-KB,2005-09-21
59387-56940-DE,2015-02-06
13969-73532-DM,1997-12-12
12535-24216-NF,2003-08-04
98887-40805-IE,1998-12-20
93880-98194-BH,2019-05-11
6282-66572-HN,2015-12-25
1527-24529-IN,2016-08-03
40759-76464-EE,1973-06-21
59499-85109-FF,2007-11-15
35432-69709-MN,1998-06-15
80341-31548-HG,2011-11-11
41554-51226-OJ,2003-01-08
23625-38848-MO,2010-10-08
16106-80403-FA,2019-01-17
3915-40699-DF,2013-05-16
47867-14345-KM,2018-08-24
37408-99218-AK,2019-07-16
2381-88466-KN,2012-04-03
27557-322-HO,2019-07-07
14586-18043-JE,2003-04-17
33774-95252-MD,1990-06-05
54937-5642-FD,2018-12-23
76668-54675-AI,2008-06-12
73480-41883-KM,2009-05-13
33267-53263-FM,2006-06-25
96179-7826-GF,2004-08-26
69385-8382-GB,2015-03-22
1671-82341-BF,2017-11-26
72429-94351-FB,1992-10-29
35138-19590-BL,2014-10-15
9939-77873-IM,2005-10-03
29391-8429-MO,2018-10-17
57914-86785-HL,2019-08-13
37469-7697-NJ,2000-05-18
53043-7289-AN,2001-09-20
77055-85425-HL,1986-03-02
27502-96409-KF,2019-05-18
55981-72589-NF,1984-06-18
23311-91480-KN,2018-01-14
86626-33620-BN,1996-08-24
10806-969-JK,2017-10-23
57356-58870-MI,2012-02-07
30811-40863-OG,2016-03-04
98349-61869-LI,2013-10-23
28940-64671-EI,2013-12-04
61607-92570-JL,2017-03-19
39565-97463-JF,2014-02-05
83188-70255-DN,2001-11-08
54539-83782-OE,2015-03-09
10412-73006-JB,2019-08-06
27440-47647-OE,2017-08-14
10380-12304-AE,2099-05-11
41387-65863-AL,2003-12-24
94409-80227-BM,2017-07-24
25219-84163-EE,2011-09-19
51561-65185-LB,2019-03-02
50569-87832-BJ,2016-06-11
34488-63069-NG,2017-07-09
93261-3524-FB,2017-11-11
80504-75803-EK,2004-12-03
62225-25600-OB,2017-07-04
24821-57903-NK,2018-09-14
50452-74095-IB,2004-08-30
53318-67133-IB,2016-06-14
53883-1132-AH,2019-05-19
64334-43097-OA,2005-01-21
75451-31222-NF,2015-10-17
34836-22016-LI,2019-01-07
52791-49776-BJ,2013-09-16
58707-97787-IF,2019-05-28
92810-19268-KB,1994-10-04
91439-37471-FF,2008-08-09
34518-33579-GO,2009-03-05
70300-18903-IN,2019-08-27
52213-49552-AF,2019-03-26
77860-82686-ED,2003-09-15
69877-45733-OD,2015-07-24
49164-81437-MO,2014-01-17
72567-77612-AH,2019-06-04
21563-37793-BH,2019-04-15
69525-61195-IN,2017-01-17
34324-75005-OF,2016-10-18
57055-31422-ED,2012-11-09
53619-82077-AH,1987-10-18
29902-24885-LH,2008-05-27
52562-11311-BH,2002-10-19
9931-26134-LI,2013-02-23
29675-64167-FJ,2011-08-15
18648-85366-FJ,2012-06-12
28916-66132-MA,2016-06-06
56480-71114-AA,2014-01-22
21012-31363-NI,2003-10-05
47087-70763-LM,2014-07-07
80906-9520-JB,2018-09-20
49542-66406-ED,2018-04-16
33052-59094-GI,1998-04-24
12882-94291-JB,2010-04-16
31859-85849-NB,2018-03-27
24989-33895-GE,2018-04-23
50755-95548-BB,2008-01-14
5633-20965-IB,2019-02-12
58999-36227-OI,2019-03-25
75325-46909-GA,2006-11-13
6639-94071-IK,2011-11-29
88688-7885-KA,2010-09-12
41615-18654-BD,2008-05-27
96478-24787-KN,1998-11-12
50614-24648-BN,2005-04-25
87744-69121-JK,2001-11-27
24264-71630-JA,2019-07-28
26073-68902-IB,1993-11-13
40539-20374-DK,2016-11-15
30099-50835-HB,2005-11-13
56539-52224-AO,2016-03-06
96981-2203-IH,2019-02-11
83366-24031-DE,2005-08-27
44420-39504-FG,2009-03-22
95037-87511-GI,1995-11-18
54149-71567-OD,2017-09-01
84436-20241-LL,2005-09-15
14645-12806-AI,2019-03-03
47836-42622-GA,2018-05-28
67094-83967-DG,2019-04-21
6685-78174-MA,2016-07-04
47908-69526-NG,1994-07-13
5421-87174-IJ,2016-12-09
9944-44890-JF,2018-09-29
20777-32286-MO,2017-03-07
88992-78683-IM,2018-09-16
11565-14187-HA,1976-06-18
45183-66095-IE,2012-01-28
2939-86958-GN,2019-05-29
32498-106-GN,2019-01-17
16755-2159-FI,2017-02-02
68386-17973-FO,2017-05-10
88897-40451-BF,2018-11-27
13781-52139-KF,1996-11-26
9267-29833-BJ,1996-06-23
65813-60845-MO,2019-07-04
91700-75951-LH,2008-05-10
49251-4566-GL,2014-03-05
41277-8593-IB,2015-02-12
11261-82897-GH,1965-06-05
82794-3514-NL,2019-07-05
50492-72015-KK,2019-02-18
23966-89556-DB,2015-12-24
3052-66044-BD,2012-03-06
94187-67408-GF,2014-05-04
37453-30553-IL,1968-12-01
76790-7352-LN,2008-09-07
48973-79241-GF,2015-06-04
7488-99507-KA,2019-07-14
2211-65849-GG,2017-05-04
15675-37557-JJ,1987-11-21
52494-68829-FM,2012-06-10
59623-29195-BE,2016-12-01
63121-28159-IG,2004-06-06
87058-81390-FE,2002-12-20
49834-1068-BA,2017-09-22
81666-91780-BB,2007-03-25
59216-39212-ME,2010-10-11
58616-37733-GB,2008-01-14
87763-57421-GB,2014-12-02
66369-47085-OM,1971-07-27
98390-8051-HI,2015-11-29
77446-24749-JO,2012-04-25
32698-10579-FN,1994-03-29
71215-52698-KE,2013-11-18
43639-18128-EJ,1996-06-19
83484-10075-AI,1998-09-15
90143-17471-DL,2013-09-25
29605-64505-MD,2019-04-29
96337-47929-FN,2014-08-20
79426-1202-LJ,2003-08-17
1968-14913-BA,2011-04-29
78860-63821-IA,2012-02-26
14154-672-JD,2019-04-30
34811-24728-DL,2008-10-08
17647-8996-BG,2018-03-13
24031-33428-LI,2017-03-01
33191-59949-OJ,2015-12-08
43102-64939-KD,2018-09-19
61409-54008-BH,1977-07-22
2756-37680-EL,2015-03-31
15370-87290-DH,2013-02-08
32748-19361-OA,2016-08-17
63234-98458-BB,2019-08-11
15775-15504-OE,2017-08-02
17830-22772-JE,2017-01-03
82758-75189-AB,2007-02-12
83649-20011-AE,2008-01-06
35038-82443-OB,2018-05-23
49893-45435-OO,2018-11-08
58981-18748-BG,2009-08-27
64087-98071-BA,2002-09-03
91884-26257-OB,2018-08-31
86023-61210-BO,2017-06-07
51168-55040-BB,2007-01-29
30310-38721-MB,2011-08-11
54100-68139-HB,2000-04-26
87090-77125-LI,2012-01-07
86093-87171-LD,2019-08-07
81711-59120-OF,2016-08-25
90640-8573-LM,2009-01-04
1325-52359-LK,2019-06-11
39519-81872-BE,2005-10-19
78370-84556-OE,1976-07-04
7480-46349-MB,2011-03-02
91010-36976-IL,2013-12-07
95196-9157-BM,2016-06-19
28741-18004-NF,2011-01-09
31605-55580-EL,2019-02-26
24109-38957-NE,2006-05-01
80015-77512-AH,2007-06-10
10112-2499-NK,2016-11-11
50389-5520-MO,2018-07-22
43680-96153-NO,2005-06-20
31644-96489-BI,2017-01-12
730-42595-OA,2000-06-18
95527-27738-BE,2019-06-28
98108-49479-KA,2000-06-19
96574-37401-DD,1993-07-28
52596-37924-NK,2019-08-30
12850-88584-OH,2014-09-29
90708-45547-HH,2010-05-16
93667-82338-KO,2016-08-22
420-2785-JA,2018-04-10
82198-74359-NJ,2013-01-25
31667-21527-JF,2018-11-16
77278-13708-AD,2018-06-23
9178-28065-IB,2015-10-29
51448-91813-FJ,2008-03-05
28417-73476-HJ,2004-08-17
61237-68519-HE,2015-12-20
4275-76070-LB,2019-02-18
34473-15738-KA,2010-11-09
54120-34866-IB,2007-01-04
59412-61382-DJ,2018-09-26
46340-54245-OE,2019-04-25
8241-51400-LB,2018-07-10
8110-15780-GJ,2017-05-20
97674-6730-IH,2010-07-27
5370-84456-NF,2009-06-29
13568-28769-BO,2008-01-20
26253-90537-JF,2017-05-04
54403-35632-DK,2019-03-03
50328-55079-BG,2015-10-25
41951-16715-JJ,2018-07-09
22696-56585-BE,2017-04-10
78538-15202-KL,2003-05-20
87257-75546-JF,2016-02-08
42439-77900-LL,2019-01-09
17016-88812-BB,2012-01-20
50341-79772-ON,1980-10-22
70488-15593-OI,2015-01-06
27786-87577-AK,2016-09-17
26949-42221-HI,2019-07-28
2940-96735-AA,2018-09-16
95222-89107-NO,1991-05-17
81584-38647-AB,2018-03-18
95919-83138-BO,2011-09-11
34938-10672-EM,2010-05-05
7484-37274-EA,2019-04-12
49232-60101-KL,2017-09-02
8067-46510-GI,1990-05-22
67996-48193-EL,2017-05-11
79978-24201-KO,2017-01-01
69001-5947-FJ,2014-12-27
32890-87446-MM,2004-12-29
66049-45318-LH,2012-09-22
49844-42006-BO,1998-01-29
33362-37487-ML,2014-01-13
11018-59661-IG,2017-05-08
88789-98169-DF,2011-05-30
21270-18848-MB,1983-06-07
56963-18345-KE,2010-04-21
67482-13098-KK,2019-05-09
13681-14947-BE,1977-09-25
39344-28392-OD,2019-08-30
13998-42146-MI,2015-03-31
19544-21470-EH,2015-07-24
84872-56411-AG,2016-12-16
15040-28263-NF,2019-06-05
56620-19630-MK,1967-09-29
6058-4379-AG,2019-01-14
15303-2174-ED,2017-07-11
21261-8240-KA,2007-02-02
44700-48507-BF,2016-04-17
40775-29545-HF,2006-07-03
5550-94550-HO,2018-08-25
96002-61138-AB,1979-12-07
94981-46896-MB,2099-05-03
98791-38387-FH,2016-09-17
53722-46276-LH,1998-01-11
3695-66710-GN,2019-08-28
18737-77217-GB,2015-06-30
56166-72954-OB,2007-06-05
57094-39854-MD,2013-02-24
82655-37631-GA,2016-12-09
4675-19610-KA,2017-02-24
39301-28881-BG,2012-08-24
90091-26765-BA,2016-12-24
74186-23798-AN,1990-07-28
28186-91636-IK,2008-06-07
83335-65033-OK,2017-06-26
63980-5317-JE,2017-01-27
69769-2056-BH,2003-11-22
66674-74017-MH,2016-04-09
28204-31989-OO,2018-02-18
29983-4737-NM,2016-08-07
41351-6409-EO,2008-03-22
74760-82612-OD,1997-07-09
22439-60718-IJ,2014-01-06
35206-99761-EF,2016-06-28
96720-21167-IN,2016-12-08
7722-38070-ID,2002-08-27
84755-94572-GA,1996-12-03
55231-34435-BL,2001-02-06
91558-96179-BH,2012-07-21
72870-84243-BM,2008-07-28
10395-671-LL,2013-08-29
62451-53817-BJ,2017-04-10
3006-2321-DB,2013-05-25
50669-59354-OO,2009-03-21
17910-11545-GM,1999-05-19
94384-63265-LB,1975-03-07
47424-41395-AF,2016-05-18
