numero,ONG,proyecto,presupuesto (US$),tipo,fecha
74,"Schmidt, Reinger And Zulauf","First Financial Bankshares, Inc.",229747,marcha,2003-10-16
75,Shields-Kuhlman,Refugio,43712,marcha,2013-12-22
76,Rath Inc,El Tesoro,330413,marcha,1992-11-16
77,Gutkowski Group,The Community Financial Corporation,701023,marcha,1983-09-10
78,Bradtke-Walsh,"Sierra Oncology, Inc.",144053,redes sociales,2004-01-31
79,"Rice, Daniel And Klocko",Dollar General Corporation,290586,marcha,2013-12-01
80,"Harvey, Heathcote And Legros",BlackRock Municipal Target Term Trust Inc. (The),429014,marcha,2011-06-04
81,"Baumbach, Reinger And Jaskolski",China Cord Blood Corporation,13307,redes sociales,1991-04-09
82,"Schmidt, Ryan And Jacobson",Check-Cap Ltd.,871549,marcha,2007-10-04
83,"Nolan, Reynolds And Waters",Cohen & Steers Reit and Preferred Income Fund Inc,650837,marcha,2008-01-09
84,Hagenes-Gutmann,"Investors Bancorp, Inc.",129633,marcha,2004-10-12
85,Conn-Jones,Bronce de Petorca,913644,marcha,1983-03-09
86,Erdman-Block,"Financial Engines, Inc.",824500,marcha,1988-04-21
87,Dooley-Runolfsson,"Diamond Hill Investment Group, Inc.",485874,redes sociales,2019-02-23
88,Carroll-Moen,Marte Lobo,316083,marcha,2013-09-04
89,Africa Esperanza,BLDRS Developed Markets 100 ADR Index Fund,621667,marcha,2009-10-20
90,Corkery-Halvorson,ENGlobal Corporation,680100,marcha,1955-12-03
91,Feil-Nikolaus,"Silicon Laboratories, Inc.",499625,marcha,2019-05-24
92,Deckow-Nikolaus,Ojos del Salado,528193,redes sociales,2003-02-03
93,Goldner-Klocko,Cosayach - Cala Cala,655932,redes sociales,2016-10-31
94,Gottlieb Inc,Spence,340801,marcha,1997-06-21
95,"Reinger, Keeling And Nienow",Janus Henderson Small Cap Growth Alpha ETF,140402,marcha,1986-09-19
96,Moore-Reilly,Sierra Miranda,729922,redes sociales,1982-06-04
97,Gottlieb ,Ojos del Salado,408874,redes sociales,2017-04-14
98,Price Inc,III de Atacama Minerals - Aguas Blancas,479774,marcha,2009-11-04
99,Hauck-Lind,Candelaria,767382,redes sociales,2015-06-07
100,Klocko Group,La Perla,878522,redes sociales,1994-01-12
101,Adecoi,BlackRock Municipal Target Term Trust Inc. (The),151098,redes sociales,1990-12-02
102,Reichert And Sons,SQM - Nueva Victoria,794978,marcha,2003-05-31
103,King ,Las Cenizas,760757,marcha,2012-05-06
104,Haag-Stoltenberg,El Guindo,26292,marcha,2004-05-15
105,Schroeder-Hamill,"Texas Capital Bancshares, Inc.",415951,marcha,1971-11-09
106,Goldner-Klocko,Cerro Bayo,541528,redes sociales,2019-07-30
107,Abbott ,"Silicon Laboratories, Inc.",637789,redes sociales,2019-07-14
108,Gottlieb ,"Urban One, Inc. ",556313,marcha,2009-12-13
109,Jenkins-Ward,"Appliance Recycling Centers of America, Inc.",817200,marcha,2008-02-01
110,"Friesen, Friesen And Hodkiewicz",III de Atacama Kozan,831046,marcha,1960-05-13
111,Yost Inc,Container Store (The),407202,redes sociales,2018-07-22
112,"Ratke, Connelly And Ward",Condor,104063,marcha,1992-02-05
113,Sanford ,Enel Generacion Chile S.A.,693014,redes sociales,2014-07-25
114,"Turner, Medhurst And Carroll",La Patagua,782573,marcha,1997-08-14
115,"Fisher, Cummings And Rowe",Quiborax,467288,marcha,1983-09-23
116,"Mckenzie, Paucek And Jaskolski",Caleta El Cobre,898401,redes sociales,1993-10-16
117,Ferry-Schuppe,"Blackhawk Network Holdings, Inc.",455722,marcha,2005-11-02
118,Kovacek-Swift,L.B. Foster Company,187199,redes sociales,2014-10-28
119,"Lang, Kohler And Dietrich",West Corporation,315821,redes sociales,2018-12-13
120,Keeling Group,Victoria,604087,redes sociales,2015-06-06
121,Bahringer-Lehner,Neff Corporation,215004,marcha,2016-01-22
122,"Cassin, Grant And Pfannerstill",Brookfield Global Listed Infrastructure Income Fund,353671,redes sociales,2018-08-25
123,Osinski-Zemlak,Unisys Corporation,798049,marcha,2005-12-27
124,Carroll-Mcclure,Western Alliance Bancorporation,315113,marcha,2005-06-24
125,O'Conner And Sons,Eaton Vance Corporation,515177,redes sociales,2011-01-14
126,Lind-Schuppe,"Appliance Recycling Centers of America, Inc.",146985,marcha,1988-08-28
127,Kuhlman-Bernhard,"Edge Therapeutics, Inc.",30870,marcha,1983-03-27
128,Brown ,"Pinnacle Financial Partners, Inc.",264685,marcha,1991-02-01
129,Quitzon Group,CMP - Cerro Negro Norte,2955,marcha,2018-11-10
130,Zieme-Langworth,La Pepa,707859,marcha,2009-06-17
131,Nolan Inc,Lota,421021,marcha,2017-09-24
132,"Dibbert, Mckenzie And Cronin",ENGlobal Corporation,748755,marcha,1972-08-27
133,"Auer, Bogisich And Jacobson","Evolving Systems, Inc.",98607,redes sociales,2012-12-04
134,Mcglynn ,CMP - Boqueron Chanar,284759,marcha,2005-01-14
135,"Hickle, Beatty And Gleichner",Peapack-Gladstone Financial Corporation,33997,redes sociales,1982-01-08
136,Ernser-Eichmann,Spence,911409,redes sociales,1998-11-11
137,Buckridge Group,El Tofo,29142,marcha,2017-04-19
138,"Wyman, Nicolas And Fahey",La Productora,135010,redes sociales,2019-06-01
139,Aufderhar-Mitchell,Chimborazo,539747,redes sociales,2017-07-04
140,"Steuber, Rutherford And Upton",Refugio,584573,marcha,1992-03-27
141,Greenholt Inc,Ojos del Salado,516683,marcha,2010-10-13
142,Jacobson Group,Zaldivar,915000,redes sociales,2007-05-31
143,Rowe-Wisoky,PowerShares BuyBack Achievers Portfolio,638880,marcha,2017-03-06
144,Weissnat Inc,"National American University Holdings, Inc.",399513,redes sociales,1971-08-23
145,Marvin-Kautzer,Tekla Healthcare Opportunies Fund,452579,marcha,2015-10-22
146,Stiedemann-Wuckert,Ministro Hales,127866,marcha,1994-05-04
147,Paucek Group,B.O.S. Better Online Solutions,575021,marcha,1981-05-07
148,Blick-Bartell,iShares MSCI EM ESG Optimized ETF,626082,marcha,1994-04-04
149,Block Group,"Tootsie Roll Industries, Inc.",603820,redes sociales,1976-06-28
150,"Oberbrunner, Cremin And Gislason",AdvisorShares Market Adaptive Unconstrained Income ETF,222534,redes sociales,2002-01-18
151,Rosenbaum-Leffler,Jeronimo,817475,marcha,2011-11-17
152,Prohaska-Lueilwitz,Nuveen Floating Rate Income Fund,353503,marcha,1985-02-11
153,"Kutch, Rodriguez And Hettinger",SQM - Mapocho,565829,redes sociales,2009-06-03
154,"Bruen, Cruickshank And Blick",HollyFrontier Corporation,350002,marcha,2008-09-04
155,Schoen And Sons,"LTC Properties, Inc.",682377,marcha,2019-03-09
156,Franecki Group,Ojos del Salado,732825,redes sociales,2001-08-17
157,Cruickshank-Schmitt,Los Bronces,619193,marcha,2017-11-26
158,Pouros And Sons,Northern Trust Corporation,45045,redes sociales,1983-09-06
159,Nikolaus-Pfannerstill,PowerShares BuyBack Achievers Portfolio,225653,redes sociales,1997-04-17
160,Bradtke And Sons,Forum Merger Corporation,706211,marcha,1981-10-04
161,Accion Natura,"CenterPoint Energy, Inc.",370297,marcha,2016-06-25
162,Feest-Graham,"CenterPoint Energy, Inc.",463183,marcha,2017-07-22
163,"Williamson, Lindgren And Cummerata",Gladstone Commercial Corporation,334887,marcha,2012-09-16
164,Bartell Inc,First Trust Multi-Asset Diversified Income Index Fund,8616,redes sociales,2008-03-13
165,Langosh-Reilly,"Waste Management, Inc.",737620,marcha,1999-06-16
166,Ziemann-Trantow,Caleta El Cobre,285547,marcha,1991-10-20
167,Bechtelar-Wuckert,Bed Bath & Beyond Inc.,70532,redes sociales,2001-01-30
168,"Yost, Mayer And Stokes","Fiserv, Inc.",13090,marcha,1973-04-06
169,Fadel Group,AmerisourceBergen Corporation (Holding Co),673597,redes sociales,2014-08-09
170,Brakus Group,HollyFrontier Corporation,933053,marcha,2005-04-21
171,"Hickle, Mertz And Harris",Peapack-Gladstone Financial Corporation,46762,redes sociales,1984-01-13
172,"Dibbert, Mckenzie And Cronin",Gladstone Commercial Corporation,260865,redes sociales,2013-07-03
173,"Wunsch, Barrows And Hoeger",Talcuna,267670,redes sociales,1998-12-23
174,Kreiger-Mccullough,The Community Financial Corporation,920889,marcha,1998-01-09
175,Zulauf And Sons,First Trust Multi-Asset Diversified Income Index Fund,210912,redes sociales,2012-12-11
176,"Kassulke, Hamill And Luettgen",Western Alliance Bancorporation,524780,redes sociales,2002-08-19
177,Aufderhar-Mitchell,"HCA Healthcare, Inc.",435605,marcha,1966-07-21
178,"Hayes, Goodwin And Feil","Mirna Therapeutics, Inc.",464376,marcha,1998-04-07
179,"Schmeler, Carroll And Schaden",Vanguard Russell 3000 ETF,98648,redes sociales,1996-11-26
180,Lehner-Stanton,"Waste Management, Inc.",215904,marcha,2018-12-30
181,Yundt Group,Array BioPharma Inc.,446892,redes sociales,2018-02-25
182,"Cartwright, Gusikowski And Miller",Arenal,631436,marcha,2013-10-05
183,"Halvorson, Jacobson And Ward",Costamare Inc.,691046,redes sociales,1970-12-20
184,Greenholt Inc,Gladstone Commercial Corporation,627971,marcha,2013-02-25
185,Thiel Group,Celite - Tilviche,431155,redes sociales,1981-12-09
186,Brekke-Crist,"Western Refining Logistics, LP",172111,marcha,1967-09-25
187,"Lebsack, Borer And Sanford","Under Armour, Inc.",796243,marcha,2012-02-27
188,Carroll-Mcclure,Northern Trust Corporation,265278,marcha,1980-05-14
189,Maggio-O'Keefe,Faride,1863,redes sociales,2004-12-19
190,Nikolaus-Pfannerstill,Don Alberto,769630,marcha,1989-07-17
191,"Mertz, Boyle And Franecki","First Hawaiian, Inc.",3253,redes sociales,2003-01-29
192,"Powlowski, Kohler And Deckow",Pampa Camarones,379433,redes sociales,2017-08-26
193,Buckridge Group,HollyFrontier Corporation,274486,marcha,2008-09-04
194,Sawayn Inc,Eaton Vance Corporation,758215,redes sociales,2006-01-08
195,Williamson-Littel,Elenita,70096,redes sociales,2011-01-27
196,"Larson, Franecki And Macejkovic",CoreSite Realty Corporation,415383,marcha,1982-07-31
197,Waelchi Inc,Gladstone Commercial Corporation,515859,redes sociales,2017-04-21
198,Funk And Sons,Entegra Financial Corp.,455709,redes sociales,1990-03-10
199,Rice-Price,Randgold Resources Limited,609093,redes sociales,1982-07-16
200,O'Reilly-Hilll,Dollar General Corporation,589301,redes sociales,2014-10-25
201,Franecki ,SAP SE,977495,redes sociales,2011-09-19
202,"Jacobs, Braun And Schimmel",Andacollo Cobre,959426,redes sociales,2012-07-14
203,D'Amore Group,Michilla,109126,redes sociales,1989-04-27
204,Daniel ,Ministro Hales,577645,marcha,2012-07-27
205,Wehner-Steuber,Lions Gate Entertainment Corporation,523651,redes sociales,1998-09-06
206,Mann-Schinner,"Aspen Technology, Inc.",66594,redes sociales,2015-10-16
207,Hessel-Toy,Altamira,954325,redes sociales,1961-11-02
208,Collins-Hermann,EQT Corporation,222620,marcha,2007-11-28
209,"Kihn, Orn And Farrell",Merus Labs International Inc.,867948,redes sociales,1988-06-16
210,Thiel Group,BRF S.A.,310928,marcha,1955-06-13
211,Reichert And Sons,"CenterPoint Energy, Inc.",695554,redes sociales,2009-09-22
212,Jenkins And Sons,"Idera Pharmaceuticals, Inc.",558597,marcha,2009-05-05
213,Thiel ,Fidus Investment Corporation,446598,redes sociales,1990-03-23
214,Bradtke Inc,"Cleveland BioLabs, Inc.",734461,redes sociales,1981-02-01
215,"Morissette, Christiansen And Collins",Sierra Miranda,209150,marcha,1997-05-10
216,Raynor-Oberbrunner,CVS Health Corporation,612325,marcha,1964-08-28
217,Sporer Inc,"Financial Engines, Inc.",875211,marcha,2001-04-08
218,"Stiedemann, Willms And Fay","Discovery Communications, Inc.",914698,redes sociales,1995-07-16
219,Adavas,Quebrada Blanca,110447,marcha,2009-08-14
220,"Reichert, Mayer And Schmitt","The Chefs' Warehouse, Inc.",951390,redes sociales,2013-08-06
221,"Schowalter, Johnson And Kerluke",Schwager,529799,redes sociales,2007-07-08
222,Hirthe ,"Appliance Recycling Centers of America, Inc.",960634,marcha,1982-10-31
223,Stiedemann-Wuckert,"Texas Capital Bancshares, Inc.",549191,redes sociales,1995-07-08
224,Kunde-Lowe,"Portola Pharmaceuticals, Inc.",589270,marcha,1976-01-26
225,Watsica-Hauck,Navio,131070,redes sociales,1979-07-27
226,Russel Group,"Sportsman's Warehouse Holdings, Inc.",927385,marcha,2003-12-20
227,Rogahn-Leannon,Arenal,347348,redes sociales,2018-08-08
228,"Skiles, Bauch And Rippin",Bronce de Petorca,978386,marcha,2006-10-28
229,Wiegand Group,Julia,951773,marcha,2013-05-14
230,"Kling, Effertz And Anderson","Shutterstock, Inc.",836108,marcha,2008-07-04
231,Hintz-Donnelly,PowerShares Golden Dragon China Portfolio,343214,marcha,2016-10-11
232,"Gutkowski, Kuhlman And Purdy",PowerShares BuyBack Achievers Portfolio,846013,marcha,1986-08-08
233,Carter-Muller,"Adams Diversified Equity Fund, Inc.",238903,redes sociales,1967-08-07
234,"Dare, O'Conner And Mohr","H&R Block, Inc.",123156,marcha,2006-01-05
235,Rowe-Fisher,VictoryShares US 500 Enhanced Volatility Wtd ETF,624760,redes sociales,1985-12-07
236,Cassin-Mayer,JM Global Holding Company,431190,redes sociales,1989-07-03
237,"Fisher, Cummings And Rowe",CVS Health Corporation,853147,redes sociales,1961-03-20
238,Rosenbaum And Sons,Northrop Grumman Corporation,787975,redes sociales,2010-07-10
239,Sauer-Stoltenberg,Los Pelambres,554315,redes sociales,2005-10-06
240,Hirthe ,Cummins Inc.,416613,marcha,1988-06-10
241,"Koelpin, Stehr And Senger","Apple Hospitality REIT, Inc.",600536,marcha,2016-08-03
242,Wilderman-Leannon,Cosayach - Negreiros,56543,redes sociales,1985-04-27
243,Cole-Reilly,Los Bronces,76496,marcha,2012-10-03
244,Jenkins And Sons,Cohen & Steers Reit and Preferred Income Fund Inc,490229,redes sociales,1991-03-05
245,"Beer, Zieme And Huels",Navio,337130,redes sociales,2003-10-18
246,"Blanda, Stanton And Altenwerth",Esperanza,404979,marcha,1993-07-09
247,"Watsica, Spencer And Weissnat",Merus Labs International Inc.,269464,redes sociales,2017-05-28
248,"Blick, Herman And Grady",Dollar General Corporation,573714,redes sociales,2018-09-23
249,"Funk, Turcotte And Jenkins",EPR Properties,958690,marcha,1971-12-12
250,"Lebsack, Conn And Kulas",El Teniente,230023,marcha,2009-09-29
251,Heaney Inc,Microsemi Corporation,923609,marcha,2000-11-16
252,"Reilly, Veum And Wehner","Biocept, Inc.",804699,marcha,2006-12-04
253,Koelpin-Hand,Candelaria,231787,marcha,1996-05-13
254,"Becker, Haag And Hammes",Biglari Holdings Inc.,707833,redes sociales,1980-03-30
255,Yundt Group,Chimberos,625964,redes sociales,2019-03-08
256,"Kilback, Frami And Abbott","The Travelers Companies, Inc.",968549,redes sociales,2010-03-11
257,Walsh-Doyle,Enel Generacion Chile S.A.,959037,marcha,2008-10-11
258,Keebler-Stark,Marte Lobo,456374,marcha,2012-11-13
259,Champlin ,Cabot Corporation,631607,marcha,2010-07-03
260,Braun-Simonis,"CenterPoint Energy, Inc.",599862,marcha,2013-03-18
261,Raynor And Sons,JM Global Holding Company,692300,redes sociales,1990-12-31
262,Friesen-Pfeffer,"Investors Bancorp, Inc.",646152,redes sociales,2014-11-05
263,Zieme ,Catamutun,729554,redes sociales,2018-08-01
264,Adane,NVIDIA Corporation,734663,marcha,2017-11-16
265,"Feil, Lehner And Krajcik",Pampa Camarones,42460,marcha,2009-12-20
266,Luettgen And Sons,SQM - Maria Elena,558246,redes sociales,1981-05-09
267,Harvey And Sons,"Mirna Therapeutics, Inc.",358996,redes sociales,2011-05-07
268,"Ratke, Swaniawski And Spinka",Sierra Gorda,549291,marcha,1992-10-03
269,O'Keefe-Dickinson,Pirquitas,548585,marcha,2018-11-11
270,Boehm-Luettgen,Carvana Co.,143614,redes sociales,2018-11-19
271,Skiles-Schamberger,Alliance National Municipal Income Fund Inc,639961,marcha,1986-06-25
272,"Gusikowski, Luettgen And Cremin",Urstadt Biddle Properties Inc.,916391,redes sociales,2011-09-03
273,"Stokes, Kilback And Boyle",Abeona Therapeutics Inc.,453286,marcha,1971-01-21
274,Watsica-Morissette,Lambert,949405,marcha,1969-01-06
275,Hintz-Reilly,El Teniente,669222,redes sociales,2007-12-17
276,Zboncak Inc,Las Arenitas,837739,redes sociales,1997-01-30
277,Lehner-Stanton,Zaldivar,204948,marcha,2011-09-16
278,Wilkinson-Zboncak,PowerShares KBW High Dividend Yield Financial Portfolio,77262,redes sociales,2018-07-20
279,Aufderhar-Mitchell,First Trust South Korea AlphaDEX Fund,687141,marcha,2014-06-02
280,Herman-Graham,Suncor EnergyInc.,675859,marcha,1988-04-01
281,Hermiston And Sons,Western Asset Bond Fund,850801,marcha,2016-10-26
282,"Wilderman, Dubuque And Quitzon","Idera Pharmaceuticals, Inc.",25855,redes sociales,2008-12-30
283,"Morissette, Christiansen And Collins","Meridian Waste Solutions, Inc",354217,redes sociales,2010-10-21
284,Hauck ,Quiborax - Ascotan,616447,marcha,2017-03-22
285,Becker And Sons,Tres Valles,618234,marcha,2014-10-16
286,Feil-Nikolaus,Cummins Inc.,627661,redes sociales,2012-11-06
287,Schowalter-Senger,Dynatronics Corporation,354445,redes sociales,1982-02-19
288,Africa Digna,Clifton Bancorp Inc.,505722,marcha,2003-04-28
289,Weber Inc,"Taiwan Fund, Inc. (The)",951596,redes sociales,2009-06-01
290,Mcglynn ,Cerro Bayo,960801,marcha,2017-08-21
291,Little-Weber,Condor,170671,marcha,2006-08-12
292,Kuphal And Sons,U.S. Energy Corp.,180271,redes sociales,2015-08-27
293,Hoeger ,Manto Verde,550937,redes sociales,1981-01-12
294,"Glover, Dickens And Russel","German American Bancorp, Inc.",929217,redes sociales,1995-07-02
295,Schmidt-Schinner,First Trust Senior Loan Fund ETF,950832,redes sociales,2006-03-21
296,"Russel, Kemmer And Pacocha",Los Pelambres,712558,redes sociales,2002-05-27
297,Luettgen-Satterfield,Microsemi Corporation,463908,redes sociales,2013-01-14
298,Dickens ,Applied DNA Sciences Inc,299992,redes sociales,2008-02-14
299,Yost Inc,Can Can,83355,redes sociales,2016-05-28
300,"Rau, Ryan And Lueilwitz","Westbury Bancorp, Inc.",121982,redes sociales,2019-06-20
301,"Yost, Mayer And Stokes",Bed Bath & Beyond Inc.,648858,marcha,1997-07-31
302,Lueilwitz ,"Western New England Bancorp, Inc.",7900,marcha,2018-12-12
303,"Cole, Reichert And Halvorson","Mirna Therapeutics, Inc.",568045,marcha,1983-04-13
304,Schowalter-Senger,PIMCO Dynamic Credit and Mortgage Income Fund,393859,marcha,1988-07-16
305,"Zemlak, Cruickshank And Boehm",Lota,401111,marcha,2007-06-16
306,"Moen, Koss And Paucek",Forum Merger Corporation,418998,redes sociales,2012-05-08
307,Senger Group,Quiborax - Ascotan,488914,marcha,2014-03-20
308,Deckow And Sons,CVS Health Corporation,639681,marcha,1981-01-22
309,Carter-Mueller,Kraton Corporation,971239,redes sociales,2005-07-29
310,Hoeger ,Mantos Blancos,268948,redes sociales,2019-08-07
311,Jaskolski-Boyer,SQM - Yumbes,878459,redes sociales,1982-06-20
312,"Kling, Effertz And Anderson",III de Atacama Kozan,854561,marcha,2016-05-25
313,Brekke-Crist,Ojos del Salado,553178,marcha,2014-04-02
314,Weimann And Sons,Dollar General Corporation,596263,redes sociales,2014-05-08
315,"Erdman, Rutherford And Cronin",iPath US Treasury Long Bond Bear ETN,135682,redes sociales,2011-03-30
316,Connelly-Maggio,E*TRADE Financial Corporation,574646,marcha,2014-04-24
317,Gutkowski ,Cosayach - Soledad,811989,redes sociales,2017-06-11
318,"Littel, Bode And Dibbert",AmerisourceBergen Corporation (Holding Co),653953,redes sociales,2014-09-07
319,"Oberbrunner, Cremin And Gislason",Voya Global Equity Dividend and Premium Opportunity Fund,30651,redes sociales,1979-09-13
320,"Gusikowski, Luettgen And Cremin",III de Atacama Kozan,864006,marcha,1964-03-26
321,Heller-Rohan,Las Pataguas,661725,redes sociales,1990-05-14
322,Mertz Inc,Franke,998815,redes sociales,2017-07-22
323,Boehm-Dooley,El Teniente,990823,marcha,1991-06-17
324,"Okuneva, Vonrueden And Quigley",Pullalli,250703,redes sociales,1992-07-21
325,Botsford-Romaguera,Caleta El Cobre,223337,redes sociales,1994-08-07
326,Rogahn-Leannon,Eaton Vance Corporation,865600,redes sociales,2019-08-20
327,Adem,Tuina,987452,marcha,2015-04-22
328,Mueller-Simonis,"support.com, Inc.",604707,redes sociales,2004-02-29
329,"Bernier, Shields And Mraz","XO Group, Inc.",981825,redes sociales,2018-01-04
330,"Oberbrunner, Cremin And Gislason","China Lodging Group, Limited",148170,redes sociales,1974-11-24
331,"Konopelski, Schaefer And Feil","Hawkins, Inc.",576738,marcha,2006-05-23
332,Koch ,Navio,128407,marcha,2007-09-19
333,Bahringer-Johnston,"Sierra Oncology, Inc.",326274,redes sociales,2016-04-19
334,Frami Group,Las Cenizas,87307,redes sociales,1984-08-30
335,Tromp ,"International Seaways, Inc.",373055,redes sociales,2014-11-19
336,Gusikowski-Emard,"German American Bancorp, Inc.",765860,marcha,1997-10-24
337,Ullrich Inc,Las Cenizas,40125,redes sociales,1992-05-11
338,"Hackett, Lockman And Littel",Romeral,605401,marcha,1976-05-07
339,Nolan Group,Peabody Energy Corporation,306059,redes sociales,2018-08-26
340,Brekke-Crist,"Adams Diversified Equity Fund, Inc.",812634,redes sociales,2099-06-07
341,Prohaska Inc,United Microelectronics Corporation,269046,marcha,2001-06-28
342,Hermiston And Sons,Terreno Realty Corporation,474721,redes sociales,1996-08-23
343,Hettinger-Nolan,Andes Travertine,647898,marcha,2004-10-31
344,Muller Inc,"LM Funding America, Inc.",475280,marcha,1976-12-22
345,"Carroll, Dubuque And Schultz",CoreSite Realty Corporation,702210,redes sociales,2016-11-04
